;e1_chain7_ECAI-CL_Ligne_0All
Theory redundancy (avg) ;2.92;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.92;
Theory redundancy (max) ;2.92;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;176817.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;176817;
Nb of Total number of external subsumes (max) ;176817;
Total size of Total number of external subsumes (avg) ;597321.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;597321;
Total size of Total number of external subsumes (max) ;597321;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;2.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;2;
Min size of Total number of external subsumes (max) ;2;
Product of nb of solve step (avg) ;8.9669709168161587E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;8966970916816158336;
Product of nb of solve step (max) ;8966970916816158336;
Product of total size of solve step (avg) ;4.6969815674589676E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;4696981567458967552;
Product of total size of solve step (max) ;4696981567458967552;
Product of max size of solve step (avg) ;1.475042581601127E16;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;14750425816011270;
Product of max size of solve step (max) ;14750425816011270;
Product of min size of solve step (avg) ;6561.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;6561;
Product of min size of solve step (max) ;6561;
Max of nb of solve step (avg) ;782.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;782;
Max of nb of solve step (max) ;782;
Max of total size of solve step (avg) ;14664.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;14664;
Max of total size of solve step (max) ;14664;
Max of max size of solve step (avg) ;137.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;137;
Max of max size of solve step (max) ;137;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;61.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;61;
Min of nb of solve step (max) ;61;
Min of total size of solve step (avg) ;707.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;707;
Min of total size of solve step (max) ;707;
Min of max size of solve step (avg) ;59.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;59;
Min of max size of solve step (max) ;59;
Min of min size of solve step (avg) ;3.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;3;
Min of min size of solve step (max) ;3;
Sum of nb of solve step (avg) ;3173.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;3173;
Sum of nb of solve step (max) ;3173;
Sum of total size of solve step (avg) ;49005.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;49005;
Sum of total size of solve step (max) ;49005;
Sum of max size of solve step (avg) ;873.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;873;
Sum of max size of solve step (max) ;873;
Sum of min size of solve step (avg) ;24.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;24;
Sum of min size of solve step (max) ;24;
Average of nb of solve step (avg) ;396.625;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;396.625;
Average of nb of solve step (max) ;396.625;
Average of total size of solve step (avg) ;6125.625;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;6125.625;
Average of total size of solve step (max) ;6125.625;
Average of max size of solve step (avg) ;109.125;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;109.125;
Average of max size of solve step (max) ;109.125;
Average of min size of solve step (avg) ;3.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;3.0;
Average of min size of solve step (max) ;3.0;
Standard deviation of nb of solve step (avg) ;247.50956420914324;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;247.50956420914324;
Standard deviation of nb of solve step (max) ;247.50956420914324;
Standard deviation of total size of solve step (avg) ;4496.9921319005;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;4496.9921319005;
Standard deviation of total size of solve step (max) ;4496.9921319005;
Standard deviation of max size of solve step (avg) ;27.14975828621684;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;27.14975828621684;
Standard deviation of max size of solve step (max) ;27.14975828621684;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;1.2096E7;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;12096000;
Product of nb of solve for hyp (max) ;12096000;
Product of total size of solve for hyp (avg) ;3.8824081478475955E17;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;388240814784759552;
Product of total size of solve for hyp (max) ;388240814784759552;
Product of max size of solve for hyp (avg) ;7.88261306976E11;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;788261306976;
Product of max size of solve for hyp (max) ;788261306976;
Product of min size of solve for hyp (avg) ;46656.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;46656;
Product of min size of solve for hyp (max) ;46656;
Max of nb of solve for hyp (avg) ;10.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;10;
Max of nb of solve for hyp (max) ;10;
Max of total size of solve for hyp (avg) ;257.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;257;
Max of total size of solve for hyp (max) ;257;
Max of max size of solve for hyp (avg) ;41.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;41;
Max of max size of solve for hyp (max) ;41;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;4.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;4;
Min of nb of solve for hyp (max) ;4;
Min of total size of solve for hyp (avg) ;56.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;56;
Min of total size of solve for hyp (max) ;56;
Min of max size of solve for hyp (avg) ;16.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;16;
Min of max size of solve for hyp (max) ;16;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;64.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;64;
Sum of nb of solve for hyp (max) ;64;
Sum of total size of solve for hyp (avg) ;1413.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;1413;
Sum of total size of solve for hyp (max) ;1413;
Sum of max size of solve for hyp (avg) ;254.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;254;
Sum of max size of solve for hyp (max) ;254;
Sum of min size of solve for hyp (avg) ;34.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;34;
Sum of min size of solve for hyp (max) ;34;
Average of nb of solve for hyp (avg) ;8.0;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;8.0;
Average of nb of solve for hyp (max) ;8.0;
Average of total size of solve for hyp (avg) ;176.625;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;176.625;
Average of total size of solve for hyp (max) ;176.625;
Average of max size of solve for hyp (avg) ;31.75;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;31.75;
Average of max size of solve for hyp (max) ;31.75;
Average of min size of solve for hyp (avg) ;4.25;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;4.25;
Average of min size of solve for hyp (max) ;4.25;
Standard deviation of nb of solve for hyp (avg) ;2.0615528128088303;
