;e1_chain7_ECAI-CL_Ligne_0Summ
Theory redundancy (avg) ;2.92;
Manifestation redundancy (avg) ;8.0;
Nb external subsumes (clause) (avg) ;176817.0;
Nb external subsumes (literal) (avg) ;597321.0;
Global Max size of solve step (avg) ;137.0;
Nb of solve step (avg) ;3173.0;
Total size of solve step (avg) ;49005.0;
Global Max size of solve for hyp (avg) ;41.0;
Nb of solve for hyp (avg) ;64.0;
Total size of solve for hyp (avg) ;1413.0;
Global Max size of solve for extended hyp (avg) ;137.0;
Nb of solve for extended hyp (avg) ;63.0;
Total size of solve for extended hyp (avg) ;4879.0;
Global Max size of solve for own context (avg) ;41.0;
Nb of solve for own context (avg) ;544.0;
Total size of solve for own context (avg) ;8872.0;
Global Max size of solve for external context (avg) ;28.0;
Nb of solve for external context (avg) ;716.0;
Total size of solve for external context (avg) ;6190.0;
Global Max size of solve for covered manif. (avg) ;37.0;
Nb of solve for covered manif. (avg) ;250.0;
Total size of solve for covered manif. (avg) ;3654.0;
Global Max size of solve for prove manif (avg) ;37.0;
Nb of solve for prove manif (avg) ;48.0;
Total size of solve for prove manif (avg) ;1009.0;
Global Max size of solve for add manif (avg) ;8.0;
Nb of solve for add manif (avg) ;7.0;
Total size of solve for add manif (avg) ;31.0;
Global Max size of solve for addToTheory (avg) ;15.0;
Nb of solve for addToTheory (avg) ;29.0;
Total size of solve for addToTheory (avg) ;99.0;
Global Max size of solve for hyp (NC) (avg) ;15.0;
Nb of solve for hyp (NC) (avg) ;1.0;
Total size of solve for hyp (NC) (avg) ;15.0;
Global Max size of solve for extended hyp (NC) (avg) ;87.0;
Nb of solve for extended hyp (NC) (avg) ;201.0;
Total size of solve for extended hyp (NC) (avg) ;6139.0;
Global Max size of solve for own context (NC) (avg) ;50.0;
Nb of solve for own context (NC) (avg) ;484.0;
Total size of solve for own context (NC) (avg) ;8289.0;
Global Max size of solve for external context (NC) (avg) ;50.0;
Nb of solve for external context (NC) (avg) ;766.0;
Total size of solve for external context (NC) (avg) ;8415.0;
Global Max size of  sent messages (avg) ;44.0;
Nb of  sent messages (avg) ;1345.0;
Total size of  sent messages (avg) ;21197.0;
Global Max size of  received messages (avg) ;44.0;
Nb of  received messages (avg) ;1368.0;
Total size of  received messages (avg) ;21197.0;
Global Max size of  initLocalConv (avg) ;1.0;
Nb of  initLocalConv (avg) ;50.0;
Total size of  initLocalConv (avg) ;50.0;
Global Max size of  acceptLocalConv (avg) ;1.0;
Nb of  acceptLocalConv (avg) ;50.0;
Total size of  acceptLocalConv (avg) ;50.0;
Global Max size of {Started} sent (avg) ;0.0;
Nb of {Started} sent (avg) ;8.0;
Total size of {Started} sent (avg) ;0.0;
Global Max size of {Request} sent (avg) ;18.0;
Nb of {Request} sent (avg) ;49.0;
Total size of {Request} sent (avg) ;899.0;
Global Max size of {Propose} sent (avg) ;44.0;
Nb of {Propose} sent (avg) ;183.0;
Total size of {Propose} sent (avg) ;3632.0;
Global Max size of {Acknowledge confirmation} sent (avg) ;44.0;
Nb of {Acknowledge confirmation} sent (avg) ;201.0;
Total size of {Acknowledge confirmation} sent (avg) ;4159.0;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Nb of {Acknowledge} sent (avg) ;127.0;
Total size of {Acknowledge} sent (avg) ;254.0;
Global Max size of {Confirm context} sent (avg) ;32.0;
Nb of {Confirm context} sent (avg) ;216.0;
Total size of {Confirm context} sent (avg) ;3521.0;
Global Max size of {Completeness counter-example} sent (avg) ;7.0;
Nb of {Completeness counter-example} sent (avg) ;55.0;
Total size of {Completeness counter-example} sent (avg) ;385.0;
Global Max size of {Propose again} sent (avg) ;32.0;
Nb of {Propose again} sent (avg) ;32.0;
Total size of {Propose again} sent (avg) ;694.0;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Nb of {End of local conversation} sent (avg) ;100.0;
Total size of {End of local conversation} sent (avg) ;1000.0;
Global Max size of {Accept Request} sent (avg) ;10.0;
Nb of {Accept Request} sent (avg) ;50.0;
Total size of {Accept Request} sent (avg) ;500.0;
Global Max size of {Deny} sent (avg) ;39.0;
Nb of {Deny} sent (avg) ;120.0;
Total size of {Deny} sent (avg) ;2584.0;
Global Max size of {Argue} sent (avg) ;14.0;
Nb of {Argue} sent (avg) ;48.0;
Total size of {Argue} sent (avg) ;658.0;
Global Max size of {Check Context} sent (avg) ;32.0;
Nb of {Check Context} sent (avg) ;50.0;
Total size of {Check Context} sent (avg) ;1326.0;
Global Max size of {Accept} sent (avg) ;44.0;
Nb of {Accept} sent (avg) ;50.0;
Total size of {Accept} sent (avg) ;1205.0;
Global Max size of {New neighbour} received (avg) ;0.0;
Nb of {New neighbour} received (avg) ;14.0;
Total size of {New neighbour} received (avg) ;0.0;
Global Max size of {Start} received (avg) ;0.0;
Nb of {Start} received (avg) ;8.0;
Total size of {Start} received (avg) ;0.0;
Global Max size of {Launch} received (avg) ;0.0;
Nb of {Launch} received (avg) ;-6.0;
Total size of {Launch} received (avg) ;-7.0;
Global Max size of {Accept Request} received (avg) ;10.0;
Nb of {Accept Request} received (avg) ;49.0;
Total size of {Accept Request} received (avg) ;499.0;
Global Max size of {Confirm context} received (avg) ;32.0;
Nb of {Confirm context} received (avg) ;216.0;
Total size of {Confirm context} received (avg) ;3521.0;
Global Max size of {Deny} received (avg) ;39.0;
Nb of {Deny} received (avg) ;120.0;
Total size of {Deny} received (avg) ;2584.0;
Global Max size of {Propose} received (avg) ;44.0;
Nb of {Propose} received (avg) ;183.0;
Total size of {Propose} received (avg) ;3632.0;
Global Max size of {Acknowledge confirmation} received (avg) ;44.0;
Nb of {Acknowledge confirmation} received (avg) ;201.0;
Total size of {Acknowledge confirmation} received (avg) ;4159.0;
Global Max size of {Withdraw} received (avg) ;2.0;
Nb of {Withdraw} received (avg) ;6.0;
Total size of {Withdraw} received (avg) ;13.0;
Global Max size of {Ask other hypothesis} received (avg) ;9.0;
Nb of {Ask other hypothesis} received (avg) ;43.0;
Total size of {Ask other hypothesis} received (avg) ;360.0;
Global Max size of {Accept} received (avg) ;44.0;
Nb of {Accept} received (avg) ;49.0;
Total size of {Accept} received (avg) ;1204.0;
Global Max size of {End of local conversation} received (avg) ;10.0;
Nb of {End of local conversation} received (avg) ;100.0;
Total size of {End of local conversation} received (avg) ;1000.0;
Global Max size of {Request} received (avg) ;18.0;
Nb of {Request} received (avg) ;50.0;
Total size of {Request} received (avg) ;900.0;
Global Max size of {Argue} received (avg) ;14.0;
Nb of {Argue} received (avg) ;48.0;
Total size of {Argue} received (avg) ;658.0;
Global Max size of {Acknowledge} received (avg) ;2.0;
Nb of {Acknowledge} received (avg) ;127.0;
Total size of {Acknowledge} received (avg) ;254.0;
Global Max size of {Completeness counter-example} received (avg) ;7.0;
Nb of {Completeness counter-example} received (avg) ;55.0;
Total size of {Completeness counter-example} received (avg) ;385.0;
Global Max size of {Finish} received (avg) ;0.0;
Nb of {Finish} received (avg) ;8.0;
Total size of {Finish} received (avg) ;0.0;
