;e1_chain7_ECAI_Ligne_8Summ
Theory redundancy (avg) ;1.0;
Manifestation redundancy (avg) ;1.0;
Nb external subsumes (clause) (avg) ;1054.0;
Nb external subsumes (literal) (avg) ;3516.0;
Global Max size of solve step (avg) ;3.0;
Nb of solve step (avg) ;1.0;
Total size of solve step (avg) ;3.0;
Global Max size of solve for hyp (avg) ;3.0;
Nb of solve for hyp (avg) ;1.0;
Total size of solve for hyp (avg) ;3.0;
Global Max size of solve for extended hyp (avg) ;0.0;
Nb of solve for extended hyp (avg) ;0.0;
Total size of solve for extended hyp (avg) ;0.0;
Global Max size of solve for own context (avg) ;0.0;
Nb of solve for own context (avg) ;0.0;
Total size of solve for own context (avg) ;0.0;
Global Max size of solve for external context (avg) ;0.0;
Nb of solve for external context (avg) ;0.0;
Total size of solve for external context (avg) ;0.0;
Global Max size of solve for covered manif. (avg) ;0.0;
Nb of solve for covered manif. (avg) ;0.0;
Total size of solve for covered manif. (avg) ;0.0;
Global Max size of solve for prove manif (avg) ;0.0;
Nb of solve for prove manif (avg) ;0.0;
Total size of solve for prove manif (avg) ;0.0;
Global Max size of solve for add manif (avg) ;0.0;
Nb of solve for add manif (avg) ;0.0;
Total size of solve for add manif (avg) ;0.0;
Global Max size of solve for addToTheory (avg) ;0.0;
Nb of solve for addToTheory (avg) ;0.0;
Total size of solve for addToTheory (avg) ;0.0;
Global Max size of solve for hyp (NC) (avg) ;0.0;
Nb of solve for hyp (NC) (avg) ;0.0;
Total size of solve for hyp (NC) (avg) ;0.0;
Global Max size of solve for extended hyp (NC) (avg) ;0.0;
Nb of solve for extended hyp (NC) (avg) ;0.0;
Total size of solve for extended hyp (NC) (avg) ;0.0;
Global Max size of solve for own context (NC) (avg) ;0.0;
Nb of solve for own context (NC) (avg) ;0.0;
Total size of solve for own context (NC) (avg) ;0.0;
Global Max size of solve for external context (NC) (avg) ;0.0;
Nb of solve for external context (NC) (avg) ;0.0;
Total size of solve for external context (NC) (avg) ;0.0;
Global Max size of  sent messages (avg) ;18.0;
Nb of  sent messages (avg) ;64.0;
Total size of  sent messages (avg) ;476.0;
Global Max size of  received messages (avg) ;18.0;
Nb of  received messages (avg) ;87.0;
Total size of  received messages (avg) ;476.0;
Global Max size of  initLocalConv (avg) ;1.0;
Nb of  initLocalConv (avg) ;7.0;
Total size of  initLocalConv (avg) ;7.0;
Global Max size of  acceptLocalConv (avg) ;1.0;
Nb of  acceptLocalConv (avg) ;7.0;
Total size of  acceptLocalConv (avg) ;7.0;
Global Max size of {Started} sent (avg) ;0.0;
Nb of {Started} sent (avg) ;8.0;
Total size of {Started} sent (avg) ;0.0;
Global Max size of {Request} sent (avg) ;18.0;
Nb of {Request} sent (avg) ;6.0;
Total size of {Request} sent (avg) ;125.0;
Global Max size of {Propose} sent (avg) ;6.0;
Nb of {Propose} sent (avg) ;6.0;
Total size of {Propose} sent (avg) ;41.0;
Global Max size of {Acknowledge confirmation} sent (avg) ;6.0;
Nb of {Acknowledge confirmation} sent (avg) ;6.0;
Total size of {Acknowledge confirmation} sent (avg) ;41.0;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Nb of {End of local conversation} sent (avg) ;14.0;
Total size of {End of local conversation} sent (avg) ;140.0;
Global Max size of {New neighbour} received (avg) ;0.0;
Nb of {New neighbour} received (avg) ;14.0;
Total size of {New neighbour} received (avg) ;0.0;
Global Max size of {Start} received (avg) ;0.0;
Nb of {Start} received (avg) ;8.0;
Total size of {Start} received (avg) ;0.0;
Global Max size of {Launch} received (avg) ;0.0;
Nb of {Launch} received (avg) ;-6.0;
Total size of {Launch} received (avg) ;-7.0;
Global Max size of {Accept Request} received (avg) ;10.0;
Nb of {Accept Request} received (avg) ;6.0;
Total size of {Accept Request} received (avg) ;69.0;
Global Max size of {Confirm context} received (avg) ;2.0;
Nb of {Confirm context} received (avg) ;6.0;
Total size of {Confirm context} received (avg) ;13.0;
Global Max size of {Accept} received (avg) ;6.0;
Nb of {Accept} received (avg) ;6.0;
Total size of {Accept} received (avg) ;41.0;
Global Max size of {End of local conversation} received (avg) ;10.0;
Nb of {End of local conversation} received (avg) ;14.0;
Total size of {End of local conversation} received (avg) ;140.0;
Global Max size of {Finish} received (avg) ;0.0;
Nb of {Finish} received (avg) ;8.0;
Total size of {Finish} received (avg) ;0.0;
