;e1_chain7_Inc-CL_Ligne_0All
Theory redundancy (avg) ;2.96;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.96;
Theory redundancy (max) ;2.96;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;210247.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;210247;
Nb of Total number of external subsumes (max) ;210247;
Total size of Total number of external subsumes (avg) ;705749.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;705749;
Total size of Total number of external subsumes (max) ;705749;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;2.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;2;
Min size of Total number of external subsumes (max) ;2;
Product of nb of solve step (avg) ;-3.6475390657635021E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;-3647539065763502080;
Product of nb of solve step (max) ;0;
Product of total size of solve step (avg) ;-8.4679157797340186E17;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;-846791577973401856;
Product of total size of solve step (max) ;0;
Product of max size of solve step (avg) ;1.572566058070623E16;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;15725660580706230;
Product of max size of solve step (max) ;15725660580706230;
Product of min size of solve step (avg) ;6561.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;6561;
Product of min size of solve step (max) ;6561;
Max of nb of solve step (avg) ;1012.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;1012;
Max of nb of solve step (max) ;1012;
Max of total size of solve step (avg) ;14879.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;14879;
Max of total size of solve step (max) ;14879;
Max of max size of solve step (avg) ;137.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;137;
Max of max size of solve step (max) ;137;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;66.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;66;
Min of nb of solve step (max) ;66;
Min of total size of solve step (avg) ;754.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;754;
Min of total size of solve step (max) ;754;
Min of max size of solve step (avg) ;59.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;59;
Min of max size of solve step (max) ;59;
Min of min size of solve step (avg) ;3.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;3;
Min of min size of solve step (max) ;3;
Sum of nb of solve step (avg) ;3635.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;3635;
Sum of nb of solve step (max) ;3635;
Sum of total size of solve step (avg) ;58442.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;58442;
Sum of total size of solve step (max) ;58442;
Sum of max size of solve step (avg) ;881.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;881;
Sum of max size of solve step (max) ;881;
Sum of min size of solve step (avg) ;24.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;24;
Sum of min size of solve step (max) ;24;
Average of nb of solve step (avg) ;454.375;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;454.375;
Average of nb of solve step (max) ;454.375;
Average of total size of solve step (avg) ;7305.25;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;7305.25;
Average of total size of solve step (max) ;7305.25;
Average of max size of solve step (avg) ;110.125;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;110.125;
Average of max size of solve step (max) ;110.125;
Average of min size of solve step (avg) ;3.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;3.0;
Average of min size of solve step (max) ;3.0;
Standard deviation of nb of solve step (avg) ;312.63794455408;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;312.63794455408;
Standard deviation of nb of solve step (max) ;312.63794455408;
Standard deviation of total size of solve step (avg) ;5650.124771852388;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;5650.124771852388;
Standard deviation of total size of solve step (max) ;5650.124771852388;
Standard deviation of max size of solve step (avg) ;27.710275621148195;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;27.710275621148195;
Standard deviation of max size of solve step (max) ;27.710275621148195;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;2.4216192E7;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;24216192;
Product of nb of solve for hyp (max) ;24216192;
Product of total size of solve for hyp (avg) ;9.677528731421591E17;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;967752873142159104;
Product of total size of solve for hyp (max) ;967752873142159104;
Product of max size of solve for hyp (avg) ;8.83808132064E11;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;883808132064;
Product of max size of solve for hyp (max) ;883808132064;
Product of min size of solve for hyp (avg) ;46656.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;46656;
Product of min size of solve for hyp (max) ;46656;
Max of nb of solve for hyp (avg) ;13.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;13;
Max of nb of solve for hyp (max) ;13;
Max of total size of solve for hyp (avg) ;347.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;347;
Max of total size of solve for hyp (max) ;347;
Max of max size of solve for hyp (avg) ;41.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;41;
Max of max size of solve for hyp (max) ;41;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;4.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;4;
Min of nb of solve for hyp (max) ;4;
Min of total size of solve for hyp (avg) ;56.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;56;
Min of total size of solve for hyp (max) ;56;
Min of max size of solve for hyp (avg) ;16.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;16;
Min of max size of solve for hyp (max) ;16;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;71.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;71;
Sum of nb of solve for hyp (max) ;71;
Sum of total size of solve for hyp (avg) ;1607.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;1607;
Sum of total size of solve for hyp (max) ;1607;
Sum of max size of solve for hyp (avg) ;258.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;258;
Sum of max size of solve for hyp (max) ;258;
Sum of min size of solve for hyp (avg) ;34.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;34;
Sum of min size of solve for hyp (max) ;34;
Average of nb of solve for hyp (avg) ;8.875;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;8.875;
Average of nb of solve for hyp (max) ;8.875;
Average of total size of solve for hyp (avg) ;200.875;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;200.875;
Average of total size of solve for hyp (max) ;200.875;
Average of max size of solve for hyp (avg) ;32.25;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;32.25;
Average of max size of solve for hyp (max) ;32.25;
Average of min size of solve for hyp (avg) ;4.25;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;4.25;
Average of min size of solve for hyp (max) ;4.25;
Standard deviation of nb of solve for hyp (avg) ;2.8034576865007255;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;2.8034576865007255;
Standard deviation of nb of solve for hyp (max) ;2.8034576865007255;
Standard deviation of total size of solve for hyp (avg) ;91.8210726086338;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;91.8210726086338;
Standard deviation of total size of solve for hyp (max) ;91.8210726086338;
Standard deviation of max size of solve for hyp (avg) ;7.495832175282475;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;7.495832175282475;
Standard deviation of max size of solve for hyp (max) ;7.495832175282475;
Standard deviation of min size of solve for hyp (avg) ;2.165063509461097;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.165063509461097;
Standard deviation of min size of solve for hyp (max) ;2.165063509461097;
Product of nb of solve for extended hyp (avg) ;1.8162144E7;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;18162144;
Product of nb of solve for extended hyp (max) ;18162144;
Product of total size of solve for extended hyp (avg) ;7.5790779759636378E18;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;7579077975963638272;
Product of total size of solve for extended hyp (max) ;7579077975963638272;
Product of max size of solve for extended hyp (avg) ;1.572566058070623E16;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;15725660580706230;
Product of max size of solve for extended hyp (max) ;15725660580706230;
Product of min size of solve for extended hyp (avg) ;6.51015225E8;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;651015225;
Product of min size of solve for extended hyp (max) ;651015225;
Max of nb of solve for extended hyp (avg) ;13.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;13;
Max of nb of solve for extended hyp (max) ;13;
Max of total size of solve for extended hyp (avg) ;1229.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;1229;
Max of total size of solve for extended hyp (max) ;1229;
Max of max size of solve for extended hyp (avg) ;137.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;137;
Max of max size of solve for extended hyp (max) ;137;
Max of min size of solve for extended hyp (avg) ;35.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;35;
Max of min size of solve for extended hyp (max) ;35;
Min of nb of solve for extended hyp (avg) ;3.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;3;
Min of nb of solve for extended hyp (max) ;3;
Min of total size of solve for extended hyp (avg) ;90.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;90;
Min of total size of solve for extended hyp (max) ;90;
Min of max size of solve for extended hyp (avg) ;59.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;59;
