;e1_chain7_Inc-CL_Ligne_0Summ
Theory redundancy (avg) ;2.96;
Manifestation redundancy (avg) ;8.0;
Nb external subsumes (clause) (avg) ;210247.0;
Nb external subsumes (literal) (avg) ;705749.0;
Global Max size of solve step (avg) ;137.0;
Nb of solve step (avg) ;3635.0;
Total size of solve step (avg) ;58442.0;
Global Max size of solve for hyp (avg) ;41.0;
Nb of solve for hyp (avg) ;71.0;
Total size of solve for hyp (avg) ;1607.0;
Global Max size of solve for extended hyp (avg) ;137.0;
Nb of solve for extended hyp (avg) ;70.0;
Total size of solve for extended hyp (avg) ;5584.0;
Global Max size of solve for own context (avg) ;41.0;
Nb of solve for own context (avg) ;699.0;
Total size of solve for own context (avg) ;11293.0;
Global Max size of solve for external context (avg) ;28.0;
Nb of solve for external context (avg) ;722.0;
Total size of solve for external context (avg) ;6145.0;
Global Max size of solve for covered manif. (avg) ;37.0;
Nb of solve for covered manif. (avg) ;305.0;
Total size of solve for covered manif. (avg) ;4617.0;
Global Max size of solve for prove manif (avg) ;37.0;
Nb of solve for prove manif (avg) ;49.0;
Total size of solve for prove manif (avg) ;1035.0;
Global Max size of solve for add manif (avg) ;8.0;
Nb of solve for add manif (avg) ;7.0;
Total size of solve for add manif (avg) ;31.0;
Global Max size of solve for addToTheory (avg) ;15.0;
Nb of solve for addToTheory (avg) ;30.0;
Total size of solve for addToTheory (avg) ;102.0;
Global Max size of solve for hyp (NC) (avg) ;15.0;
Nb of solve for hyp (NC) (avg) ;1.0;
Total size of solve for hyp (NC) (avg) ;15.0;
Global Max size of solve for extended hyp (NC) (avg) ;87.0;
Nb of solve for extended hyp (NC) (avg) ;228.0;
Total size of solve for extended hyp (NC) (avg) ;7318.0;
Global Max size of solve for own context (NC) (avg) ;50.0;
Nb of solve for own context (NC) (avg) ;655.0;
Total size of solve for own context (NC) (avg) ;12570.0;
Global Max size of solve for external context (NC) (avg) ;46.0;
Nb of solve for external context (NC) (avg) ;798.0;
Total size of solve for external context (NC) (avg) ;8125.0;
Global Max size of  sent messages (avg) ;44.0;
Nb of  sent messages (avg) ;1654.0;
Total size of  sent messages (avg) ;25810.0;
Global Max size of  received messages (avg) ;44.0;
Nb of  received messages (avg) ;1677.0;
Total size of  received messages (avg) ;25810.0;
Global Max size of  initLocalConv (avg) ;1.0;
Nb of  initLocalConv (avg) ;58.0;
Total size of  initLocalConv (avg) ;58.0;
Global Max size of  acceptLocalConv (avg) ;1.0;
Nb of  acceptLocalConv (avg) ;58.0;
Total size of  acceptLocalConv (avg) ;58.0;
Global Max size of {Started} sent (avg) ;0.0;
Nb of {Started} sent (avg) ;8.0;
Total size of {Started} sent (avg) ;0.0;
Global Max size of {Request} sent (avg) ;18.0;
Nb of {Request} sent (avg) ;57.0;
Total size of {Request} sent (avg) ;1043.0;
Global Max size of {Propose} sent (avg) ;44.0;
Nb of {Propose} sent (avg) ;229.0;
Total size of {Propose} sent (avg) ;4701.0;
Global Max size of {Acknowledge confirmation} sent (avg) ;44.0;
Nb of {Acknowledge confirmation} sent (avg) ;246.0;
Total size of {Acknowledge confirmation} sent (avg) ;5280.0;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Nb of {Acknowledge} sent (avg) ;170.0;
Total size of {Acknowledge} sent (avg) ;340.0;
Global Max size of {Confirm context} sent (avg) ;32.0;
Nb of {Confirm context} sent (avg) ;270.0;
