;v0.3.11e1_exEcai-2ag_ECAI-CL_Clique_2Summ
Theory redundancy (avg) ;1.3;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.3;
Theory redundancy (max) ;1.3;
Manifestation redundancy (avg) ;2.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;2.0;
Manifestation redundancy (max) ;2.0;
Nb external subsumes (clause) (avg) ;1653.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;1653;
Nb external subsumes (clause) (max) ;1653;
Nb external subsumes (literal) (avg) ;4362.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;4362;
Nb external subsumes (literal) (max) ;4362;
Global Max size of solve step (avg) ;63.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;63;
Global Max size of solve step (max) ;63;
Nb of solve step (avg) ;89.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;89;
Nb of solve step (max) ;89;
Total size of solve step (avg) ;813.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;813;
Total size of solve step (max) ;813;
Global Max size of solve for hyp (avg) ;16.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;16;
Global Max size of solve for hyp (max) ;16;
Nb of solve for hyp (avg) ;6.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;6;
Nb of solve for hyp (max) ;6;
Total size of solve for hyp (avg) ;60.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;60;
Total size of solve for hyp (max) ;60;
Global Max size of solve for extended hyp (avg) ;13.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;13;
Global Max size of solve for extended hyp (max) ;13;
Nb of solve for extended hyp (avg) ;3.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;3;
Nb of solve for extended hyp (max) ;3;
Total size of solve for extended hyp (avg) ;35.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;35;
Total size of solve for extended hyp (max) ;35;
Global Max size of solve for own context (avg) ;17.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;17;
Global Max size of solve for own context (max) ;17;
Nb of solve for own context (avg) ;6.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;6;
Nb of solve for own context (max) ;6;
Total size of solve for own context (avg) ;80.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;80;
Total size of solve for own context (max) ;80;
Global Max size of solve for external context (avg) ;63.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;63;
