;v0.3.11e1_exEcai-2ag_Inc_Clique_2All
Theory redundancy (avg) ;1.1;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.1;
Theory redundancy (max) ;1.1;
Manifestations redundancy (avg) ;2.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;2.0;
Manifestations redundancy (max) ;2.0;
Nb of Total number of external subsumes (avg) ;1083.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;1083;
Nb of Total number of external subsumes (max) ;1083;
Total size of Total number of external subsumes (avg) ;3177.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;3177;
Total size of Total number of external subsumes (max) ;3177;
Max size of Total number of external subsumes (avg) ;6.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;6;
Max size of Total number of external subsumes (max) ;6;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;594.0;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;594;
Product of nb of solve step (max) ;594;
Product of total size of solve step (avg) ;53965.0;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;53965;
Product of total size of solve step (max) ;53965;
Product of max size of solve step (avg) ;1449.0;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;1449;
Product of max size of solve step (max) ;1449;
Product of min size of solve step (avg) ;4.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;4;
Product of min size of solve step (max) ;4;
Max of nb of solve step (avg) ;27.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;27;
Max of nb of solve step (max) ;27;
Max of total size of solve step (avg) ;251.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;251;
Max of total size of solve step (max) ;251;
Max of max size of solve step (avg) ;63.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;63;
Max of max size of solve step (max) ;63;
Max of min size of solve step (avg) ;2.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;2;
Max of min size of solve step (max) ;2;
Min of nb of solve step (avg) ;22.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;22;
Min of nb of solve step (max) ;22;
Min of total size of solve step (avg) ;215.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;215;
Min of total size of solve step (max) ;215;
Min of max size of solve step (avg) ;23.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;23;
Min of max size of solve step (max) ;23;
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;49.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;49;
Sum of nb of solve step (max) ;49;
Sum of total size of solve step (avg) ;466.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;466;
Sum of total size of solve step (max) ;466;
Sum of max size of solve step (avg) ;86.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;86;
Sum of max size of solve step (max) ;86;
Sum of min size of solve step (avg) ;4.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;4;
Sum of min size of solve step (max) ;4;
Average of nb of solve step (avg) ;24.5;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;24.5;
Average of nb of solve step (max) ;24.5;
Average of total size of solve step (avg) ;233.0;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;233.0;
Average of total size of solve step (max) ;233.0;
Average of max size of solve step (avg) ;43.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;43.0;
Average of max size of solve step (max) ;43.0;
Average of min size of solve step (avg) ;2.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.0;
Average of min size of solve step (max) ;2.0;
Standard deviation of nb of solve step (avg) ;2.5;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;2.5;
Standard deviation of nb of solve step (max) ;2.5;
Standard deviation of total size of solve step (avg) ;18.0;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;18.0;
Standard deviation of total size of solve step (max) ;18.0;
Standard deviation of max size of solve step (avg) ;20.0;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;20.0;
Standard deviation of max size of solve step (max) ;20.0;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
