;v0.3.11e1_exEcai-2ag_Inc_Clique_2Summ
Theory redundancy (avg) ;1.1;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.1;
Theory redundancy (max) ;1.1;
Manifestation redundancy (avg) ;2.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;2.0;
Manifestation redundancy (max) ;2.0;
Nb external subsumes (clause) (avg) ;1083.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;1083;
Nb external subsumes (clause) (max) ;1083;
Nb external subsumes (literal) (avg) ;3177.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;3177;
Nb external subsumes (literal) (max) ;3177;
Global Max size of solve step (avg) ;63.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;63;
Global Max size of solve step (max) ;63;
Nb of solve step (avg) ;49.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;49;
Nb of solve step (max) ;49;
Total size of solve step (avg) ;466.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;466;
Total size of solve step (max) ;466;
Global Max size of solve for hyp (avg) ;11.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;11;
Global Max size of solve for hyp (max) ;11;
Nb of solve for hyp (avg) ;3.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;3;
Nb of solve for hyp (max) ;3;
Total size of solve for hyp (avg) ;23.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;23;
Total size of solve for hyp (max) ;23;
Global Max size of solve for extended hyp (avg) ;13.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;13;
Global Max size of solve for extended hyp (max) ;13;
Nb of solve for extended hyp (avg) ;2.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;2;
Nb of solve for extended hyp (max) ;2;
Total size of solve for extended hyp (avg) ;22.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;22;
Total size of solve for extended hyp (max) ;22;
Global Max size of solve for own context (avg) ;17.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;17;
Global Max size of solve for own context (max) ;17;
Nb of solve for own context (avg) ;5.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;5;
Nb of solve for own context (max) ;5;
Total size of solve for own context (avg) ;54.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;54;
Total size of solve for own context (max) ;54;
Global Max size of solve for external context (avg) ;63.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;63;
Global Max size of solve for external context (max) ;63;
Nb of solve for external context (avg) ;10.0;
Nb of solve for external context (stddev) ;0.0;
Nb of solve for external context (min) ;10;
Nb of solve for external context (max) ;10;
Total size of solve for external context (avg) ;151.0;
Total size of solve for external context (stddev) ;0.0;
Total size of solve for external context (min) ;151;
Total size of solve for external context (max) ;151;
Global Max size of solve for covered manif. (avg) ;16.0;
Global Max size of solve for covered manif. (stddev) ;0.0;
Global Max size of solve for covered manif. (min) ;16;
Global Max size of solve for covered manif. (max) ;16;
Nb of solve for covered manif. (avg) ;2.0;
Nb of solve for covered manif. (stddev) ;0.0;
Nb of solve for covered manif. (min) ;2;
Nb of solve for covered manif. (max) ;2;
Total size of solve for covered manif. (avg) ;32.0;
Total size of solve for covered manif. (stddev) ;0.0;
Total size of solve for covered manif. (min) ;32;
Total size of solve for covered manif. (max) ;32;
Global Max size of solve for prove manif (avg) ;0.0;
Global Max size of solve for prove manif (stddev) ;0.0;
Global Max size of solve for prove manif (min) ;0;
Global Max size of solve for prove manif (max) ;0;
Nb of solve for prove manif (avg) ;0.0;
Nb of solve for prove manif (stddev) ;0.0;
Nb of solve for prove manif (min) ;0;
Nb of solve for prove manif (max) ;0;
Total size of solve for prove manif (avg) ;0.0;
Total size of solve for prove manif (stddev) ;0.0;
Total size of solve for prove manif (min) ;0;
Total size of solve for prove manif (max) ;0;
Global Max size of solve for add manif (avg) ;3.0;
Global Max size of solve for add manif (stddev) ;0.0;
Global Max size of solve for add manif (min) ;3;
Global Max size of solve for add manif (max) ;3;
Nb of solve for add manif (avg) ;1.0;
Nb of solve for add manif (stddev) ;0.0;
Nb of solve for add manif (min) ;1;
Nb of solve for add manif (max) ;1;
Total size of solve for add manif (avg) ;3.0;
Total size of solve for add manif (stddev) ;0.0;
Total size of solve for add manif (min) ;3;
Total size of solve for add manif (max) ;3;
Global Max size of solve for addToTheory (avg) ;2.0;
Global Max size of solve for addToTheory (stddev) ;0.0;
Global Max size of solve for addToTheory (min) ;2;
Global Max size of solve for addToTheory (max) ;2;
