;v0.3.11e1_exEcai-3ag_ECAI_Ligne_3All
Theory redundancy (avg) ;1.2;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.2;
Theory redundancy (max) ;1.2;
Manifestations redundancy (avg) ;3.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;3.0;
Manifestations redundancy (max) ;3.0;
Nb of Total number of external subsumes (avg) ;1661.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;1661;
Nb of Total number of external subsumes (max) ;1661;
Total size of Total number of external subsumes (avg) ;4359.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;4359;
Total size of Total number of external subsumes (max) ;4359;
Max size of Total number of external subsumes (avg) ;6.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;6;
Max size of Total number of external subsumes (max) ;6;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;43248.0;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;43248;
Product of nb of solve step (max) ;43248;
Product of total size of solve step (avg) ;1.705032E7;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;17050320;
Product of total size of solve step (max) ;17050320;
Product of max size of solve step (avg) ;11100.0;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;11100;
Product of max size of solve step (max) ;11100;
Product of min size of solve step (avg) ;8.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;8;
Product of min size of solve step (max) ;8;
Max of nb of solve step (avg) ;53.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;53;
Max of nb of solve step (max) ;53;
Max of total size of solve step (avg) ;398.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;398;
Max of total size of solve step (max) ;398;
Max of max size of solve step (avg) ;37.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;37;
Max of max size of solve step (max) ;37;
Max of min size of solve step (avg) ;2.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;2;
Max of min size of solve step (max) ;2;
Min of nb of solve step (avg) ;24.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;24;
Min of nb of solve step (max) ;24;
Min of total size of solve step (avg) ;168.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;168;
Min of total size of solve step (max) ;168;
Min of max size of solve step (avg) ;15.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;15;
Min of max size of solve step (max) ;15;
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;111.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;111;
Sum of nb of solve step (max) ;111;
Sum of total size of solve step (avg) ;821.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;821;
Sum of total size of solve step (max) ;821;
Sum of max size of solve step (avg) ;72.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;72;
Sum of max size of solve step (max) ;72;
Sum of min size of solve step (avg) ;6.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;6;
Sum of min size of solve step (max) ;6;
Average of nb of solve step (avg) ;37.0;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;37.0;
Average of nb of solve step (max) ;37.0;
Average of total size of solve step (avg) ;273.6666666666667;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;273.6666666666667;
Average of total size of solve step (max) ;273.6666666666667;
Average of max size of solve step (avg) ;24.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;24.0;
Average of max size of solve step (max) ;24.0;
Average of min size of solve step (avg) ;2.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.0;
Average of min size of solve step (max) ;2.0;
Standard deviation of nb of solve step (avg) ;12.027745701779143;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;12.027745701779143;
Standard deviation of nb of solve step (max) ;12.027745701779143;
Standard deviation of total size of solve step (avg) ;94.82029787386712;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;94.82029787386712;
Standard deviation of total size of solve step (max) ;94.82029787386712;
Standard deviation of max size of solve step (avg) ;9.41629792788369;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;9.41629792788369;
Standard deviation of max size of solve step (max) ;9.41629792788369;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;6.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;6;
Product of nb of solve for hyp (max) ;6;
Product of total size of solve for hyp (avg) ;1920.0;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;1920;
Product of total size of solve for hyp (max) ;1920;
Product of max size of solve for hyp (avg) ;648.0;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;648;
Product of max size of solve for hyp (max) ;648;
Product of min size of solve for hyp (avg) ;168.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;168;
Product of min size of solve for hyp (max) ;168;
Max of nb of solve for hyp (avg) ;3.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;3;
Max of nb of solve for hyp (max) ;3;
Max of total size of solve for hyp (avg) ;16.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;16;
Max of total size of solve for hyp (max) ;16;
Max of max size of solve for hyp (avg) ;9.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;9;
Max of max size of solve for hyp (max) ;9;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;1.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;1;
Min of nb of solve for hyp (max) ;1;
Min of total size of solve for hyp (avg) ;8.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;8;
Min of total size of solve for hyp (max) ;8;
Min of max size of solve for hyp (avg) ;8.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;8;
Min of max size of solve for hyp (max) ;8;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;6.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;6;
Sum of nb of solve for hyp (max) ;6;
Sum of total size of solve for hyp (avg) ;39.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;39;
Sum of total size of solve for hyp (max) ;39;
Sum of max size of solve for hyp (avg) ;26.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;26;
Sum of max size of solve for hyp (max) ;26;
Sum of min size of solve for hyp (avg) ;18.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;18;
Sum of min size of solve for hyp (max) ;18;
Average of nb of solve for hyp (avg) ;2.0;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;2.0;
Average of nb of solve for hyp (max) ;2.0;
Average of total size of solve for hyp (avg) ;13.0;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;13.0;
Average of total size of solve for hyp (max) ;13.0;
Average of max size of solve for hyp (avg) ;8.666666666666666;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;8.666666666666666;
Average of max size of solve for hyp (max) ;8.666666666666666;
Average of min size of solve for hyp (avg) ;6.0;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;6.0;
Average of min size of solve for hyp (max) ;6.0;
Standard deviation of nb of solve for hyp (avg) ;0.816496580927726;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.816496580927726;
Standard deviation of nb of solve for hyp (max) ;0.816496580927726;
Standard deviation of total size of solve for hyp (avg) ;3.559026084010437;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;3.559026084010437;
Standard deviation of total size of solve for hyp (max) ;3.559026084010437;
Standard deviation of max size of solve for hyp (avg) ;0.4714045207910317;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;0.4714045207910317;
Standard deviation of max size of solve for hyp (max) ;0.4714045207910317;
Standard deviation of min size of solve for hyp (avg) ;2.160246899469287;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.160246899469287;
Standard deviation of min size of solve for hyp (max) ;2.160246899469287;
Product of nb of solve for extended hyp (avg) ;2.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;2;
Product of nb of solve for extended hyp (max) ;2;
Product of total size of solve for extended hyp (avg) ;3696.0;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;3696;
Product of total size of solve for extended hyp (max) ;3696;
Product of max size of solve for extended hyp (avg) ;1848.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;1848;
Product of max size of solve for extended hyp (max) ;1848;
Product of min size of solve for extended hyp (avg) ;1848.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1848;
Product of min size of solve for extended hyp (max) ;1848;
Max of nb of solve for extended hyp (avg) ;2.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;2;
Max of nb of solve for extended hyp (max) ;2;
Max of total size of solve for extended hyp (avg) ;22.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;22;
Max of total size of solve for extended hyp (max) ;22;
Max of max size of solve for extended hyp (avg) ;14.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;14;
Max of max size of solve for extended hyp (max) ;14;
Max of min size of solve for extended hyp (avg) ;14.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;14;
Max of min size of solve for extended hyp (max) ;14;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;12.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;12;
Min of total size of solve for extended hyp (max) ;12;
Min of max size of solve for extended hyp (avg) ;11.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;11;
Min of max size of solve for extended hyp (max) ;11;
Min of min size of solve for extended hyp (avg) ;11.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;11;
Min of min size of solve for extended hyp (max) ;11;
Sum of nb of solve for extended hyp (avg) ;4.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;4;
Sum of nb of solve for extended hyp (max) ;4;
Sum of total size of solve for extended hyp (avg) ;48.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;48;
Sum of total size of solve for extended hyp (max) ;48;
Sum of max size of solve for extended hyp (avg) ;37.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;37;
Sum of max size of solve for extended hyp (max) ;37;
Sum of min size of solve for extended hyp (avg) ;37.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;37;
Sum of min size of solve for extended hyp (max) ;37;
Average of nb of solve for extended hyp (avg) ;1.3333333333333333;
Average of nb of solve for extended hyp (stddev) ;0.0;
