;v0.3.12e10_exEcai-3ag_Inc-CL_Ligne_3Summ
Theory redundancy (avg) ;1.5999999999999999;
Theory redundancy (stddev) ;2.220446049250313E-16;
Theory redundancy (min) ;1.6;
Theory redundancy (max) ;1.6;
Manifestation redundancy (avg) ;3.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;3.0;
Manifestation redundancy (max) ;3.0;
Nb external subsumes (clause) (avg) ;7293.8;
Nb external subsumes (clause) (stddev) ;1.8330302779823362;
Nb external subsumes (clause) (min) ;7291;
Nb external subsumes (clause) (max) ;7296;
Nb external subsumes (literal) (avg) ;16143.0;
Nb external subsumes (literal) (stddev) ;2.8284271247461903;
Nb external subsumes (literal) (min) ;16137;
Nb external subsumes (literal) (max) ;16147;
Global Max size of solve step (avg) ;37.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;37;
Global Max size of solve step (max) ;37;
Nb of solve step (avg) ;176.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;176;
Nb of solve step (max) ;176;
Total size of solve step (avg) ;1492.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;1492;
Total size of solve step (max) ;1492;
Global Max size of solve for hyp (avg) ;16.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;16;
Global Max size of solve for hyp (max) ;16;
Nb of solve for hyp (avg) ;9.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;9;
Nb of solve for hyp (max) ;9;
Total size of solve for hyp (avg) ;76.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;76;
Total size of solve for hyp (max) ;76;
Global Max size of solve for extended hyp (avg) ;15.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;15;
Global Max size of solve for extended hyp (max) ;15;
Nb of solve for extended hyp (avg) ;5.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;5;
Nb of solve for extended hyp (max) ;5;
Total size of solve for extended hyp (avg) ;59.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;59;
Total size of solve for extended hyp (max) ;59;
Global Max size of solve for own context (avg) ;37.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;37;
Global Max size of solve for own context (max) ;37;
Nb of solve for own context (avg) ;27.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;27;
Nb of solve for own context (max) ;27;
Total size of solve for own context (avg) ;291.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;291;
Total size of solve for own context (max) ;291;
Global Max size of solve for external context (avg) ;37.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;37;
Global Max size of solve for external context (max) ;37;
Nb of solve for external context (avg) ;32.0;
Nb of solve for external context (stddev) ;0.0;
Nb of solve for external context (min) ;32;
Nb of solve for external context (max) ;32;
Total size of solve for external context (avg) ;270.0;
Total size of solve for external context (stddev) ;0.0;
Total size of solve for external context (min) ;270;
Total size of solve for external context (max) ;270;
Global Max size of solve for covered manif. (avg) ;25.0;
Global Max size of solve for covered manif. (stddev) ;0.0;
Global Max size of solve for covered manif. (min) ;25;
Global Max size of solve for covered manif. (max) ;25;
Nb of solve for covered manif. (avg) ;13.0;
Nb of solve for covered manif. (stddev) ;0.0;
Nb of solve for covered manif. (min) ;13;
Nb of solve for covered manif. (max) ;13;
Total size of solve for covered manif. (avg) ;171.0;
Total size of solve for covered manif. (stddev) ;0.0;
Total size of solve for covered manif. (min) ;171;
Total size of solve for covered manif. (max) ;171;
Global Max size of solve for prove manif (avg) ;25.0;
Global Max size of solve for prove manif (stddev) ;0.0;
Global Max size of solve for prove manif (min) ;25;
Global Max size of solve for prove manif (max) ;25;
Nb of solve for prove manif (avg) ;5.0;
Nb of solve for prove manif (stddev) ;0.0;
Nb of solve for prove manif (min) ;5;
Nb of solve for prove manif (max) ;5;
Total size of solve for prove manif (avg) ;111.0;
