;v0.3.12e10_exEcai-3ag_Inc_Ligne_3All
Theory redundancy (avg) ;1.5999999999999999;
Theory redundancy (stddev) ;2.220446049250313E-16;
Theory redundancy (min) ;1.6;
Theory redundancy (max) ;1.6;
Manifestations redundancy (avg) ;3.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;3.0;
Manifestations redundancy (max) ;3.0;
Nb of Total number of external subsumes (avg) ;6546.4;
Nb of Total number of external subsumes (stddev) ;4.1036569057366385;
Nb of Total number of external subsumes (min) ;6537;
Nb of Total number of external subsumes (max) ;6552;
Total size of Total number of external subsumes (avg) ;14717.4;
Total size of Total number of external subsumes (stddev) ;7.565712127751095;
Total size of Total number of external subsumes (min) ;14705;
Total size of Total number of external subsumes (max) ;14729;
Max size of Total number of external subsumes (avg) ;6.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;6;
Max size of Total number of external subsumes (max) ;6;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;239598.0;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;239598;
Product of nb of solve step (max) ;239598;
Product of total size of solve step (avg) ;1.33505757E8;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;133505757;
Product of total size of solve step (max) ;133505757;
Product of max size of solve step (avg) ;23125.0;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;23125;
Product of max size of solve step (max) ;23125;
Product of min size of solve step (avg) ;8.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;8;
Product of min size of solve step (max) ;8;
Max of nb of solve step (avg) ;87.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;87;
Max of nb of solve step (max) ;87;
Max of total size of solve step (avg) ;693.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;693;
Max of total size of solve step (max) ;693;
Max of max size of solve step (avg) ;37.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;37;
Max of max size of solve step (max) ;37;
Max of min size of solve step (avg) ;2.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;2;
Max of min size of solve step (max) ;2;
Min of nb of solve step (avg) ;51.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;51;
Min of nb of solve step (max) ;51;
Min of total size of solve step (avg) ;383.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;383;
Min of total size of solve step (max) ;383;
Min of max size of solve step (avg) ;25.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;25;
Min of max size of solve step (max) ;25;
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;192.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;192;
Sum of nb of solve step (max) ;192;
Sum of total size of solve step (avg) ;1579.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;1579;
Sum of total size of solve step (max) ;1579;
Sum of max size of solve step (avg) ;87.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;87;
Sum of max size of solve step (max) ;87;
Sum of min size of solve step (avg) ;6.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;6;
Sum of min size of solve step (max) ;6;
Average of nb of solve step (avg) ;64.0;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;64.0;
Average of nb of solve step (max) ;64.0;
Average of total size of solve step (avg) ;526.3333333333333;
Average of total size of solve step (stddev) ;1.1368683772161603E-13;
Average of total size of solve step (min) ;526.3333333333334;
Average of total size of solve step (max) ;526.3333333333334;
Average of max size of solve step (avg) ;29.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;29.0;
