;v0.3.135e1_chain8_ECAI-CL_Ligne_8Summ
Theory redundancy (avg) ;2.28;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.28;
Theory redundancy (max) ;2.28;
Manifestation redundancy (avg) ;8.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;8.0;
Manifestation redundancy (max) ;8.0;
Nb external subsumes (clause) (avg) ;549686.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;549686;
Nb external subsumes (clause) (max) ;549686;
Nb external subsumes (literal) (avg) ;1147436.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;1147436;
Nb external subsumes (literal) (max) ;1147436;
Global Max size of solve step (avg) ;45.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;45;
Global Max size of solve step (max) ;45;
Nb of solve step (avg) ;7411.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;7411;
Nb of solve step (max) ;7411;
Total size of solve step (avg) ;78188.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;78188;
Total size of solve step (max) ;78188;
Global Max size of solve for hyp (avg) ;31.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;31;
Global Max size of solve for hyp (max) ;31;
Nb of solve for hyp (avg) ;158.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;158;
Nb of solve for hyp (max) ;158;
Total size of solve for hyp (avg) ;2863.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;2863;
Total size of solve for hyp (max) ;2863;
Global Max size of solve for extended hyp (avg) ;36.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;36;
Global Max size of solve for extended hyp (max) ;36;
Nb of solve for extended hyp (avg) ;143.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;143;
