;v0.3.135e1_chain8_ECAI_Ligne_8Summ
Theory redundancy (avg) ;5.24;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;5.24;
Theory redundancy (max) ;5.24;
Manifestation redundancy (avg) ;8.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;8.0;
Manifestation redundancy (max) ;8.0;
Nb external subsumes (clause) (avg) ;1681582.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;1681582;
Nb external subsumes (clause) (max) ;1681582;
Nb external subsumes (literal) (avg) ;3424201.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;3424201;
Nb external subsumes (literal) (max) ;3424201;
Global Max size of solve step (avg) ;93.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;93;
Global Max size of solve step (max) ;93;
Nb of solve step (avg) ;12328.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;12328;
Nb of solve step (max) ;12328;
Total size of solve step (avg) ;140449.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;140449;
Total size of solve step (max) ;140449;
Global Max size of solve for hyp (avg) ;69.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;69;
Global Max size of solve for hyp (max) ;69;
Nb of solve for hyp (avg) ;133.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;133;
Nb of solve for hyp (max) ;133;
Total size of solve for hyp (avg) ;4619.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;4619;
Total size of solve for hyp (max) ;4619;
Global Max size of solve for extended hyp (avg) ;93.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;93;
Global Max size of solve for extended hyp (max) ;93;
Nb of solve for extended hyp (avg) ;124.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;124;
Nb of solve for extended hyp (max) ;124;
Total size of solve for extended hyp (avg) ;5935.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;5935;
Total size of solve for extended hyp (max) ;5935;
Global Max size of solve for own context (avg) ;45.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;45;
Global Max size of solve for own context (max) ;45;
Nb of solve for own context (avg) ;1570.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;1570;
Nb of solve for own context (max) ;1570;
Total size of solve for own context (avg) ;15044.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;15044;
Total size of solve for own context (max) ;15044;
Global Max size of solve for external context (avg) ;34.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;34;
Global Max size of solve for external context (max) ;34;
Nb of solve for external context (avg) ;3389.0;
Nb of solve for external context (stddev) ;0.0;
Nb of solve for external context (min) ;3389;
Nb of solve for external context (max) ;3389;
Total size of solve for external context (avg) ;19163.0;
Total size of solve for external context (stddev) ;0.0;
Total size of solve for external context (min) ;19163;
Total size of solve for external context (max) ;19163;
Global Max size of solve for covered manif. (avg) ;37.0;
Global Max size of solve for covered manif. (stddev) ;0.0;
Global Max size of solve for covered manif. (min) ;37;
Global Max size of solve for covered manif. (max) ;37;
Nb of solve for covered manif. (avg) ;507.0;
Nb of solve for covered manif. (stddev) ;0.0;
Nb of solve for covered manif. (min) ;507;
Nb of solve for covered manif. (max) ;507;
Total size of solve for covered manif. (avg) ;7372.0;
Total size of solve for covered manif. (stddev) ;0.0;
Total size of solve for covered manif. (min) ;7372;
Total size of solve for covered manif. (max) ;7372;
Global Max size of solve for prove manif (avg) ;37.0;
Global Max size of solve for prove manif (stddev) ;0.0;
Global Max size of solve for prove manif (min) ;37;
Global Max size of solve for prove manif (max) ;37;
Nb of solve for prove manif (avg) ;107.0;
Nb of solve for prove manif (stddev) ;0.0;
Nb of solve for prove manif (min) ;107;
Nb of solve for prove manif (max) ;107;
Total size of solve for prove manif (avg) ;2028.0;
Total size of solve for prove manif (stddev) ;0.0;
Total size of solve for prove manif (min) ;2028;
Total size of solve for prove manif (max) ;2028;
Global Max size of solve for add manif (avg) ;8.0;
Global Max size of solve for add manif (stddev) ;0.0;
Global Max size of solve for add manif (min) ;8;
Global Max size of solve for add manif (max) ;8;
Nb of solve for add manif (avg) ;7.0;
Nb of solve for add manif (stddev) ;0.0;
Nb of solve for add manif (min) ;7;
Nb of solve for add manif (max) ;7;
Total size of solve for add manif (avg) ;31.0;
Total size of solve for add manif (stddev) ;0.0;
Total size of solve for add manif (min) ;31;
Total size of solve for add manif (max) ;31;
Global Max size of solve for addToTheory (avg) ;15.0;
Global Max size of solve for addToTheory (stddev) ;0.0;
Global Max size of solve for addToTheory (min) ;15;
Global Max size of solve for addToTheory (max) ;15;
Nb of solve for addToTheory (avg) ;71.0;
Nb of solve for addToTheory (stddev) ;0.0;
Nb of solve for addToTheory (min) ;71;
Nb of solve for addToTheory (max) ;71;
Total size of solve for addToTheory (avg) ;269.0;
Total size of solve for addToTheory (stddev) ;0.0;
Total size of solve for addToTheory (min) ;269;
Total size of solve for addToTheory (max) ;269;
Global Max size of solve for hyp (NC) (avg) ;15.0;
Global Max size of solve for hyp (NC) (stddev) ;0.0;
Global Max size of solve for hyp (NC) (min) ;15;
Global Max size of solve for hyp (NC) (max) ;15;
Nb of solve for hyp (NC) (avg) ;9.0;
Nb of solve for hyp (NC) (stddev) ;0.0;
Nb of solve for hyp (NC) (min) ;9;
Nb of solve for hyp (NC) (max) ;9;
Total size of solve for hyp (NC) (avg) ;93.0;
Total size of solve for hyp (NC) (stddev) ;0.0;
Total size of solve for hyp (NC) (min) ;93;
Total size of solve for hyp (NC) (max) ;93;
Global Max size of solve for extended hyp (NC) (avg) ;24.0;
Global Max size of solve for extended hyp (NC) (stddev) ;0.0;
Global Max size of solve for extended hyp (NC) (min) ;24;
Global Max size of solve for extended hyp (NC) (max) ;24;
Nb of solve for extended hyp (NC) (avg) ;1029.0;
Nb of solve for extended hyp (NC) (stddev) ;0.0;
Nb of solve for extended hyp (NC) (min) ;1029;
Nb of solve for extended hyp (NC) (max) ;1029;
Total size of solve for extended hyp (NC) (avg) ;9662.0;
Total size of solve for extended hyp (NC) (stddev) ;0.0;
Total size of solve for extended hyp (NC) (min) ;9662;
Total size of solve for extended hyp (NC) (max) ;9662;
Global Max size of solve for own context (NC) (avg) ;78.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;78;
Global Max size of solve for own context (NC) (max) ;78;
Nb of solve for own context (NC) (avg) ;1828.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;1828;
Nb of solve for own context (NC) (max) ;1828;
Total size of solve for own context (NC) (avg) ;31832.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;31832;
Total size of solve for own context (NC) (max) ;31832;
Global Max size of solve for external context (NC) (avg) ;78.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;78;
Global Max size of solve for external context (NC) (max) ;78;
Nb of solve for external context (NC) (avg) ;3554.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;3554;
Nb of solve for external context (NC) (max) ;3554;
Total size of solve for external context (NC) (avg) ;44401.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;44401;
Total size of solve for external context (NC) (max) ;44401;
Global Max size of  sent messages (avg) ;121.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;121;
Global Max size of  sent messages (max) ;121;
Nb of  sent messages (avg) ;2699.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;2699;
Nb of  sent messages (max) ;2699;
Total size of  sent messages (avg) ;68139.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;68139;
Total size of  sent messages (max) ;68139;
Global Max size of  received messages (avg) ;121.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;121;
Global Max size of  received messages (max) ;121;
Nb of  received messages (avg) ;2722.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;2722;
Nb of  received messages (max) ;2722;
Total size of  received messages (avg) ;68139.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;68139;
Total size of  received messages (max) ;68139;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;95.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;95;
Nb of  initLocalConv (max) ;95;
Total size of  initLocalConv (avg) ;95.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;95;
Total size of  initLocalConv (max) ;95;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;95.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;95;
Nb of  acceptLocalConv (max) ;95;
Total size of  acceptLocalConv (avg) ;95.0;
Total size of  acceptLocalConv (stddev) ;0.0;
Total size of  acceptLocalConv (min) ;95;
Total size of  acceptLocalConv (max) ;95;
Global Max size of {Started} sent (avg) ;0.0;
Global Max size of {Started} sent (stddev) ;0.0;
Global Max size of {Started} sent (min) ;0;
Global Max size of {Started} sent (max) ;0;
Nb of {Started} sent (avg) ;8.0;
Nb of {Started} sent (stddev) ;0.0;
Nb of {Started} sent (min) ;8;
Nb of {Started} sent (max) ;8;
Total size of {Started} sent (avg) ;0.0;
Total size of {Started} sent (stddev) ;0.0;
Total size of {Started} sent (min) ;0;
Total size of {Started} sent (max) ;0;
Global Max size of {Request} sent (avg) ;18.0;
Global Max size of {Request} sent (stddev) ;0.0;
Global Max size of {Request} sent (min) ;18;
Global Max size of {Request} sent (max) ;18;
Nb of {Request} sent (avg) ;94.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;94;
Nb of {Request} sent (max) ;94;
Total size of {Request} sent (avg) ;1709.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;1709;
Total size of {Request} sent (max) ;1709;
Global Max size of {Propose} sent (avg) ;121.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;121;
Global Max size of {Propose} sent (max) ;121;
Nb of {Propose} sent (avg) ;384.0;
Nb of {Propose} sent (stddev) ;0.0;
Nb of {Propose} sent (min) ;384;
Nb of {Propose} sent (max) ;384;
Total size of {Propose} sent (avg) ;13680.0;
Total size of {Propose} sent (stddev) ;0.0;
Total size of {Propose} sent (min) ;13680;
Total size of {Propose} sent (max) ;13680;
Global Max size of {Acknowledge confirmation} sent (avg) ;121.0;
Global Max size of {Acknowledge confirmation} sent (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} sent (min) ;121;
Global Max size of {Acknowledge confirmation} sent (max) ;121;
Nb of {Acknowledge confirmation} sent (avg) ;316.0;
Nb of {Acknowledge confirmation} sent (stddev) ;0.0;
Nb of {Acknowledge confirmation} sent (min) ;316;
Nb of {Acknowledge confirmation} sent (max) ;316;
Total size of {Acknowledge confirmation} sent (avg) ;11485.0;
Total size of {Acknowledge confirmation} sent (stddev) ;0.0;
Total size of {Acknowledge confirmation} sent (min) ;11485;
Total size of {Acknowledge confirmation} sent (max) ;11485;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;266.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;266;
Nb of {Acknowledge} sent (max) ;266;
Total size of {Acknowledge} sent (avg) ;532.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
Total size of {Acknowledge} sent (min) ;532;
Total size of {Acknowledge} sent (max) ;532;
Global Max size of {Confirm context} sent (avg) ;87.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;87;
Global Max size of {Confirm context} sent (max) ;87;
Nb of {Confirm context} sent (avg) ;414.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;414;
Nb of {Confirm context} sent (max) ;414;
Total size of {Confirm context} sent (avg) ;12188.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;12188;
Total size of {Confirm context} sent (max) ;12188;
Global Max size of {Completeness counter-example} sent (avg) ;7.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;7;
Global Max size of {Completeness counter-example} sent (max) ;7;
Nb of {Completeness counter-example} sent (avg) ;114.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;114;
Nb of {Completeness counter-example} sent (max) ;114;
Total size of {Completeness counter-example} sent (avg) ;798.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;798;
Total size of {Completeness counter-example} sent (max) ;798;
Global Max size of {Propose again} sent (avg) ;32.0;
Global Max size of {Propose again} sent (stddev) ;0.0;
Global Max size of {Propose again} sent (min) ;32;
Global Max size of {Propose again} sent (max) ;32;
Nb of {Propose again} sent (avg) ;36.0;
Nb of {Propose again} sent (stddev) ;0.0;
Nb of {Propose again} sent (min) ;36;
Nb of {Propose again} sent (max) ;36;
Total size of {Propose again} sent (avg) ;854.0;
Total size of {Propose again} sent (stddev) ;0.0;
Total size of {Propose again} sent (min) ;854;
Total size of {Propose again} sent (max) ;854;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;190.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;190;
Nb of {End of local conversation} sent (max) ;190;
