;v0.3.135e1_chain8_Inc-CL_Ligne_8All
Theory redundancy (avg) ;2.28;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.28;
Theory redundancy (max) ;2.28;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;572732.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;572732;
Nb of Total number of external subsumes (max) ;572732;
Total size of Total number of external subsumes (avg) ;1201335.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;1201335;
Total size of Total number of external subsumes (max) ;1201335;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;-9.1796019872306299E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;-9179601987230629888;
Product of nb of solve step (max) ;0;
Product of total size of solve step (avg) ;5.7756007354143928E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;5775600735414392416;
Product of total size of solve step (max) ;5775600735414392416;
Product of max size of solve step (avg) ;1.51898592384E12;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;1518985923840;
Product of max size of solve step (max) ;1518985923840;
Product of min size of solve step (avg) ;384.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;384;
Product of min size of solve step (max) ;384;
Max of nb of solve step (avg) ;1245.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;1245;
Max of nb of solve step (max) ;1245;
Max of total size of solve step (avg) ;16042.0;
