;v0.3.135e1_chain8_Inc-CL_Ligne_8Summ
Theory redundancy (avg) ;2.28;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.28;
Theory redundancy (max) ;2.28;
Manifestation redundancy (avg) ;8.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;8.0;
Manifestation redundancy (max) ;8.0;
Nb external subsumes (clause) (avg) ;572732.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;572732;
Nb external subsumes (clause) (max) ;572732;
Nb external subsumes (literal) (avg) ;1201335.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;1201335;
Nb external subsumes (literal) (max) ;1201335;
Global Max size of solve step (avg) ;45.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;45;
Global Max size of solve step (max) ;45;
Nb of solve step (avg) ;6819.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;6819;
Nb of solve step (max) ;6819;
Total size of solve step (avg) ;73520.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;73520;
Total size of solve step (max) ;73520;
Global Max size of solve for hyp (avg) ;31.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;31;
Global Max size of solve for hyp (max) ;31;
Nb of solve for hyp (avg) ;164.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;164;
Nb of solve for hyp (max) ;164;
Total size of solve for hyp (avg) ;2987.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;2987;
Total size of solve for hyp (max) ;2987;
Global Max size of solve for extended hyp (avg) ;36.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;36;
Global Max size of solve for extended hyp (max) ;36;
Nb of solve for extended hyp (avg) ;149.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;149;
Nb of solve for extended hyp (max) ;149;
