;v0.3.135e1_chain8_Inc_Ligne_8All
Theory redundancy (avg) ;5.12;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;5.12;
Theory redundancy (max) ;5.12;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;1574797.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;1574797;
Nb of Total number of external subsumes (max) ;1574797;
Total size of Total number of external subsumes (avg) ;3223122.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;3223122;
Total size of Total number of external subsumes (max) ;3223122;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;-4.6123408000458926E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;-4612340800045892864;
Product of nb of solve step (max) ;0;
Product of total size of solve step (avg) ;-1.8693337142246953E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;-1869333714224695296;
Product of total size of solve step (max) ;0;
Product of max size of solve step (avg) ;1.804371158016E15;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;1804371158016000;
Product of max size of solve step (max) ;1804371158016000;
Product of min size of solve step (avg) ;384.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;384;
Product of min size of solve step (max) ;384;
Max of nb of solve step (avg) ;1875.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;1875;
Max of nb of solve step (max) ;1875;
Max of total size of solve step (avg) ;27658.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;27658;
Max of total size of solve step (max) ;27658;
Max of max size of solve step (avg) ;90.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;90;
Max of max size of solve step (max) ;90;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;617.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;617;
Min of nb of solve step (max) ;617;
Min of total size of solve step (avg) ;5759.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;5759;
Min of total size of solve step (max) ;5759;
Min of max size of solve step (avg) ;63.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;63;
Min of max size of solve step (max) ;63;
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;9813.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;9813;
Sum of nb of solve step (max) ;9813;
Sum of total size of solve step (avg) ;109375.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;109375;
Sum of total size of solve step (max) ;109375;
Sum of max size of solve step (avg) ;652.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;652;
Sum of max size of solve step (max) ;652;
Sum of min size of solve step (avg) ;17.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;17;
Sum of min size of solve step (max) ;17;
Average of nb of solve step (avg) ;1226.625;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;1226.625;
Average of nb of solve step (max) ;1226.625;
Average of total size of solve step (avg) ;13671.875;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;13671.875;
Average of total size of solve step (max) ;13671.875;
Average of max size of solve step (avg) ;81.5;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;81.5;
Average of max size of solve step (max) ;81.5;
Average of min size of solve step (avg) ;2.125;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.125;
Average of min size of solve step (max) ;2.125;
Standard deviation of nb of solve step (avg) ;398.2081545812441;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;398.2081545812441;
Standard deviation of nb of solve step (max) ;398.2081545812441;
Standard deviation of total size of solve step (avg) ;6317.9201569325805;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;6317.9201569325805;
Standard deviation of total size of solve step (max) ;6317.9201569325805;
Standard deviation of max size of solve step (avg) ;10.653637876331258;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;10.653637876331258;
Standard deviation of max size of solve step (max) ;10.653637876331258;
Standard deviation of min size of solve step (avg) ;0.33071891388307384;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.33071891388307384;
