;v0.3.135e1_chain8_Inc_Ligne_8Summ
Theory redundancy (avg) ;5.12;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;5.12;
Theory redundancy (max) ;5.12;
Manifestation redundancy (avg) ;8.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;8.0;
Manifestation redundancy (max) ;8.0;
Nb external subsumes (clause) (avg) ;1574797.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;1574797;
Nb external subsumes (clause) (max) ;1574797;
Nb external subsumes (literal) (avg) ;3223122.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;3223122;
Nb external subsumes (literal) (max) ;3223122;
Global Max size of solve step (avg) ;90.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;90;
Global Max size of solve step (max) ;90;
Nb of solve step (avg) ;9813.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;9813;
Nb of solve step (max) ;9813;
Total size of solve step (avg) ;109375.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;109375;
Total size of solve step (max) ;109375;
Global Max size of solve for hyp (avg) ;67.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;67;
Global Max size of solve for hyp (max) ;67;
Nb of solve for hyp (avg) ;127.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;127;
Nb of solve for hyp (max) ;127;
Total size of solve for hyp (avg) ;4259.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;4259;
Total size of solve for hyp (max) ;4259;
Global Max size of solve for extended hyp (avg) ;90.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;90;
Global Max size of solve for extended hyp (max) ;90;
Nb of solve for extended hyp (avg) ;117.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;117;
Nb of solve for extended hyp (max) ;117;
Total size of solve for extended hyp (avg) ;5326.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;5326;
Total size of solve for extended hyp (max) ;5326;
Global Max size of solve for own context (avg) ;45.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;45;
Global Max size of solve for own context (max) ;45;
Nb of solve for own context (avg) ;1544.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;1544;
Nb of solve for own context (max) ;1544;
Total size of solve for own context (avg) ;14332.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;14332;
Total size of solve for own context (max) ;14332;
Global Max size of solve for external context (avg) ;34.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;34;
Global Max size of solve for external context (max) ;34;
Nb of solve for external context (avg) ;2260.0;
Nb of solve for external context (stddev) ;0.0;
Nb of solve for external context (min) ;2260;
Nb of solve for external context (max) ;2260;
Total size of solve for external context (avg) ;12477.0;
Total size of solve for external context (stddev) ;0.0;
Total size of solve for external context (min) ;12477;
Total size of solve for external context (max) ;12477;
Global Max size of solve for covered manif. (avg) ;37.0;
Global Max size of solve for covered manif. (stddev) ;0.0;
Global Max size of solve for covered manif. (min) ;37;
Global Max size of solve for covered manif. (max) ;37;
Nb of solve for covered manif. (avg) ;479.0;
Nb of solve for covered manif. (stddev) ;0.0;
Nb of solve for covered manif. (min) ;479;
Nb of solve for covered manif. (max) ;479;
Total size of solve for covered manif. (avg) ;6844.0;
Total size of solve for covered manif. (stddev) ;0.0;
Total size of solve for covered manif. (min) ;6844;
Total size of solve for covered manif. (max) ;6844;
Global Max size of solve for prove manif (avg) ;37.0;
Global Max size of solve for prove manif (stddev) ;0.0;
Global Max size of solve for prove manif (min) ;37;
Global Max size of solve for prove manif (max) ;37;
Nb of solve for prove manif (avg) ;104.0;
Nb of solve for prove manif (stddev) ;0.0;
Nb of solve for prove manif (min) ;104;
Nb of solve for prove manif (max) ;104;
Total size of solve for prove manif (avg) ;1970.0;
Total size of solve for prove manif (stddev) ;0.0;
Total size of solve for prove manif (min) ;1970;
Total size of solve for prove manif (max) ;1970;
Global Max size of solve for add manif (avg) ;8.0;
Global Max size of solve for add manif (stddev) ;0.0;
Global Max size of solve for add manif (min) ;8;
Global Max size of solve for add manif (max) ;8;
Nb of solve for add manif (avg) ;7.0;
Nb of solve for add manif (stddev) ;0.0;
Nb of solve for add manif (min) ;7;
Nb of solve for add manif (max) ;7;
Total size of solve for add manif (avg) ;31.0;
Total size of solve for add manif (stddev) ;0.0;
Total size of solve for add manif (min) ;31;
Total size of solve for add manif (max) ;31;
Global Max size of solve for addToTheory (avg) ;15.0;
Global Max size of solve for addToTheory (stddev) ;0.0;
Global Max size of solve for addToTheory (min) ;15;
Global Max size of solve for addToTheory (max) ;15;
Nb of solve for addToTheory (avg) ;69.0;
Nb of solve for addToTheory (stddev) ;0.0;
Nb of solve for addToTheory (min) ;69;
Nb of solve for addToTheory (max) ;69;
Total size of solve for addToTheory (avg) ;263.0;
