;v0.3.136e1_DAREschedule_ECAI-CL_DARE_8Summ
Theory redundancy (avg) ;1.7692307692307692;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.7692307692307692;
Theory redundancy (max) ;1.7692307692307692;
Manifestation redundancy (avg) ;8.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;8.0;
Manifestation redundancy (max) ;8.0;
Nb external subsumes (clause) (avg) ;62434.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;62434;
Nb external subsumes (clause) (max) ;62434;
Nb external subsumes (literal) (avg) ;149308.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;149308;
Nb external subsumes (literal) (max) ;149308;
Global Max size of solve step (avg) ;42.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;42;
Global Max size of solve step (max) ;42;
Nb of solve step (avg) ;773.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;773;
Nb of solve step (max) ;773;
Total size of solve step (avg) ;9265.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;9265;
Total size of solve step (max) ;9265;
Global Max size of solve for hyp (avg) ;14.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;14;
Global Max size of solve for hyp (max) ;14;
Nb of solve for hyp (avg) ;28.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;28;
Nb of solve for hyp (max) ;28;
Total size of solve for hyp (avg) ;249.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;249;
Total size of solve for hyp (max) ;249;
Global Max size of solve for extended hyp (avg) ;39.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;39;
Global Max size of solve for extended hyp (max) ;39;
Nb of solve for extended hyp (avg) ;28.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;28;
Nb of solve for extended hyp (max) ;28;
Total size of solve for extended hyp (avg) ;382.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;382;
Total size of solve for extended hyp (max) ;382;
Global Max size of solve for own context (avg) ;17.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;17;
Global Max size of solve for own context (max) ;17;
Nb of solve for own context (avg) ;104.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;104;
Nb of solve for own context (max) ;104;
Total size of solve for own context (avg) ;1372.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;1372;
Total size of solve for own context (max) ;1372;
Global Max size of solve for external context (avg) ;11.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;11;
Global Max size of solve for external context (max) ;11;
Nb of solve for external context (avg) ;123.0;
Nb of solve for external context (stddev) ;0.0;
Nb of solve for external context (min) ;123;
Nb of solve for external context (max) ;123;
Total size of solve for external context (avg) ;1133.0;
Total size of solve for external context (stddev) ;0.0;
Total size of solve for external context (min) ;1133;
Total size of solve for external context (max) ;1133;
Global Max size of solve for covered manif. (avg) ;42.0;
Global Max size of solve for covered manif. (stddev) ;0.0;
Global Max size of solve for covered manif. (min) ;42;
Global Max size of solve for covered manif. (max) ;42;
Nb of solve for covered manif. (avg) ;176.0;
Nb of solve for covered manif. (stddev) ;0.0;
Nb of solve for covered manif. (min) ;176;
Nb of solve for covered manif. (max) ;176;
Total size of solve for covered manif. (avg) ;2827.0;
Total size of solve for covered manif. (stddev) ;0.0;
Total size of solve for covered manif. (min) ;2827;
Total size of solve for covered manif. (max) ;2827;
Global Max size of solve for prove manif (avg) ;34.0;
Global Max size of solve for prove manif (stddev) ;0.0;
Global Max size of solve for prove manif (min) ;34;
Global Max size of solve for prove manif (max) ;34;
Nb of solve for prove manif (avg) ;80.0;
Nb of solve for prove manif (stddev) ;0.0;
Nb of solve for prove manif (min) ;80;
Nb of solve for prove manif (max) ;80;
Total size of solve for prove manif (avg) ;2400.0;
Total size of solve for prove manif (stddev) ;0.0;
Total size of solve for prove manif (min) ;2400;
Total size of solve for prove manif (max) ;2400;
Global Max size of solve for add manif (avg) ;3.0;
Global Max size of solve for add manif (stddev) ;0.0;
Global Max size of solve for add manif (min) ;3;
Global Max size of solve for add manif (max) ;3;
Nb of solve for add manif (avg) ;7.0;
Nb of solve for add manif (stddev) ;0.0;
Nb of solve for add manif (min) ;7;
Nb of solve for add manif (max) ;7;
Total size of solve for add manif (avg) ;21.0;
Total size of solve for add manif (stddev) ;0.0;
Total size of solve for add manif (min) ;21;
Total size of solve for add manif (max) ;21;
Global Max size of solve for addToTheory (avg) ;0.0;
Global Max size of solve for addToTheory (stddev) ;0.0;
Global Max size of solve for addToTheory (min) ;0;
Global Max size of solve for addToTheory (max) ;0;
Nb of solve for addToTheory (avg) ;0.0;
Nb of solve for addToTheory (stddev) ;0.0;
Nb of solve for addToTheory (min) ;0;
