;v0.3.136e1_DAREschedule_ECAI_DARE_8All
Theory redundancy (avg) ;5.8076923076923075;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;5.8076923076923075;
Theory redundancy (max) ;5.8076923076923075;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;978558.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;978558;
Nb of Total number of external subsumes (max) ;978558;
Total size of Total number of external subsumes (avg) ;2702528.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;2702528;
Total size of Total number of external subsumes (max) ;2702528;
Max size of Total number of external subsumes (avg) ;14.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;14;
Max size of Total number of external subsumes (max) ;14;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;8.4076489008974909E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;8407648900897490944;
Product of nb of solve step (max) ;8407648900897490944;
Product of total size of solve step (avg) ;-2.4626944641242916E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;-2462694464124291456;
Product of total size of solve step (max) ;0;
Product of max size of solve step (avg) ;4.4364572916061088E17;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;443645729160610902;
Product of max size of solve step (max) ;443645729160610902;
Product of min size of solve step (avg) ;729.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;729;
Product of min size of solve step (max) ;729;
Max of nb of solve step (avg) ;5190.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;5190;
Max of nb of solve step (max) ;5190;
Max of total size of solve step (avg) ;85459.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;85459;
Max of total size of solve step (max) ;85459;
