;v0.3.136e1_DAREschedule_ECAI_DARE_8Summ
Theory redundancy (avg) ;5.8076923076923075;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;5.8076923076923075;
Theory redundancy (max) ;5.8076923076923075;
Manifestation redundancy (avg) ;8.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;8.0;
Manifestation redundancy (max) ;8.0;
Nb external subsumes (clause) (avg) ;978558.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;978558;
Nb external subsumes (clause) (max) ;978558;
Nb external subsumes (literal) (avg) ;2702528.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;2702528;
Nb external subsumes (literal) (max) ;2702528;
Global Max size of solve step (avg) ;449.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;449;
Global Max size of solve step (max) ;449;
Nb of solve step (avg) ;17856.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;17856;
Nb of solve step (max) ;17856;
Total size of solve step (avg) ;285550.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;285550;
Total size of solve step (max) ;285550;
Global Max size of solve for hyp (avg) ;141.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;141;
Global Max size of solve for hyp (max) ;141;
Nb of solve for hyp (avg) ;141.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;141;
Nb of solve for hyp (max) ;141;
Total size of solve for hyp (avg) ;5697.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;5697;
Total size of solve for hyp (max) ;5697;
Global Max size of solve for extended hyp (avg) ;449.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;449;
Global Max size of solve for extended hyp (max) ;449;
Nb of solve for extended hyp (avg) ;131.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;131;
Nb of solve for extended hyp (max) ;131;
Total size of solve for extended hyp (avg) ;22801.0;
Total size of solve for extended hyp (stddev) ;0.0;
