;v0.3.136e1_t08r1-dist1-6ag_Inc-CL_Ligne_6All
Theory redundancy (avg) ;1.6625;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.6625;
Theory redundancy (max) ;1.6625;
Manifestations redundancy (avg) ;2.55;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;2.55;
Manifestations redundancy (max) ;2.55;
Nb of Total number of external subsumes (avg) ;1.6748445E7;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;16748445;
Nb of Total number of external subsumes (max) ;16748445;
Total size of Total number of external subsumes (avg) ;2.95132849E8;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;295132849;
Total size of Total number of external subsumes (max) ;295132849;
Max size of Total number of external subsumes (avg) ;26.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;26;
Max size of Total number of external subsumes (max) ;26;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;1.90976520310409267E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;1909765203104092620;
Product of nb of solve step (max) ;1909765203104092620;
Product of total size of solve step (avg) ;5.3572961447603354E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;5357296144760335300;
Product of total size of solve step (max) ;5357296144760335300;
Product of max size of solve step (avg) ;-1.77754766192676198E18;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;-1777547661926762001;
Product of max size of solve step (max) ;0;
Product of min size of solve step (avg) ;43740.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;43740;
Product of min size of solve step (max) ;43740;
Max of nb of solve step (avg) ;33718.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;33718;
Max of nb of solve step (max) ;33718;
Max of total size of solve step (avg) ;3469510.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;3469510;
Max of total size of solve step (max) ;3469510;
Max of max size of solve step (avg) ;2074259.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;2074259;
Max of max size of solve step (max) ;2074259;
Max of min size of solve step (avg) ;36.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;36;
Max of min size of solve step (max) ;36;
Min of nb of solve step (avg) ;13.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;13;
Min of nb of solve step (max) ;13;
Min of total size of solve step (avg) ;471.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;471;
Min of total size of solve step (max) ;471;
Min of max size of solve step (avg) ;39.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;39;
Min of max size of solve step (max) ;39;
Min of min size of solve step (avg) ;3.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;3;
Min of min size of solve step (max) ;3;
Sum of nb of solve step (avg) ;50854.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;50854;
Sum of nb of solve step (max) ;50854;
Sum of total size of solve step (avg) ;4085344.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;4085344;
Sum of total size of solve step (max) ;4085344;
Sum of max size of solve step (avg) ;2116436.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;2116436;
Sum of max size of solve step (max) ;2116436;
Sum of min size of solve step (avg) ;63.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;63;
Sum of min size of solve step (max) ;63;
Average of nb of solve step (avg) ;8475.666666666666;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;8475.666666666666;
Average of nb of solve step (max) ;8475.666666666666;
Average of total size of solve step (avg) ;680890.6666666666;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;680890.6666666666;
Average of total size of solve step (max) ;680890.6666666666;
Average of max size of solve step (avg) ;352739.3333333333;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;352739.3333333333;
Average of max size of solve step (max) ;352739.3333333333;
Average of min size of solve step (avg) ;10.5;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;10.5;
Average of min size of solve step (max) ;10.5;
Standard deviation of nb of solve step (avg) ;12170.578535504748;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;12170.578535504748;
Standard deviation of nb of solve step (max) ;12170.578535504748;
Standard deviation of total size of solve step (avg) ;1258260.0950376764;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;1258260.0950376764;
Standard deviation of total size of solve step (max) ;1258260.0950376764;
Standard deviation of max size of solve step (avg) ;769947.0851328392;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;769947.0851328392;
Standard deviation of max size of solve step (max) ;769947.0851328392;
Standard deviation of min size of solve step (avg) ;12.216791722870616;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;12.216791722870616;
Standard deviation of min size of solve step (max) ;12.216791722870616;
Product of nb of solve for hyp (avg) ;1152.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;1152;
Product of nb of solve for hyp (max) ;1152;
Product of total size of solve for hyp (avg) ;2.8906254137592E15;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;2890625413759200;
Product of total size of solve for hyp (max) ;2890625413759200;
Product of max size of solve for hyp (avg) ;1.544024386164E13;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;15440243861640;
Product of max size of solve for hyp (max) ;15440243861640;
Product of min size of solve for hyp (avg) ;2.158543296E10;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;21585432960;
Product of min size of solve for hyp (max) ;21585432960;
Max of nb of solve for hyp (avg) ;9.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;9;
Max of nb of solve for hyp (max) ;9;
Max of total size of solve for hyp (avg) ;7795.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;7795;
Max of total size of solve for hyp (max) ;7795;
Max of max size of solve for hyp (avg) ;2582.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;2582;
Max of max size of solve for hyp (max) ;2582;
Max of min size of solve for hyp (avg) ;106.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;106;
Max of min size of solve for hyp (max) ;106;
Min of nb of solve for hyp (avg) ;1.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;1;
Min of nb of solve for hyp (max) ;1;
Min of total size of solve for hyp (avg) ;39.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;39;
Min of total size of solve for hyp (max) ;39;
Min of max size of solve for hyp (avg) ;39.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;39;
Min of max size of solve for hyp (max) ;39;
Min of min size of solve for hyp (avg) ;39.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;39;
Min of min size of solve for hyp (max) ;39;
Sum of nb of solve for hyp (avg) ;29.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;29;
Sum of nb of solve for hyp (max) ;29;
Sum of total size of solve for hyp (avg) ;9980.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;9980;
Sum of total size of solve for hyp (max) ;9980;
Sum of max size of solve for hyp (avg) ;3133.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;3133;
Sum of max size of solve for hyp (max) ;3133;
Sum of min size of solve for hyp (avg) ;343.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;343;
Sum of min size of solve for hyp (max) ;343;
Average of nb of solve for hyp (avg) ;4.833333333333333;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;4.833333333333333;
Average of nb of solve for hyp (max) ;4.833333333333333;
Average of total size of solve for hyp (avg) ;1663.3333333333333;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;1663.3333333333333;
Average of total size of solve for hyp (max) ;1663.3333333333333;
Average of max size of solve for hyp (avg) ;522.1666666666666;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;522.1666666666666;
Average of max size of solve for hyp (max) ;522.1666666666666;
Average of min size of solve for hyp (avg) ;57.166666666666664;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;57.166666666666664;
Average of min size of solve for hyp (max) ;57.166666666666664;
Standard deviation of nb of solve for hyp (avg) ;3.531603350069515;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;3.531603350069515;
Standard deviation of nb of solve for hyp (max) ;3.531603350069515;
Standard deviation of total size of solve for hyp (avg) ;2776.971891987546;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;2776.971891987546;
Standard deviation of total size of solve for hyp (max) ;2776.971891987546;
