;v0.3.136e1_t08r1-dist1-6ag_Inc-CL_Ligne_6Summ
Theory redundancy (avg) ;1.6625;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.6625;
Theory redundancy (max) ;1.6625;
Manifestation redundancy (avg) ;2.55;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;2.55;
Manifestation redundancy (max) ;2.55;
Nb external subsumes (clause) (avg) ;1.6748445E7;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;16748445;
Nb external subsumes (clause) (max) ;16748445;
Nb external subsumes (literal) (avg) ;2.95132849E8;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;295132849;
Nb external subsumes (literal) (max) ;295132849;
Global Max size of solve step (avg) ;2074259.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;2074259;
Global Max size of solve step (max) ;2074259;
Nb of solve step (avg) ;50854.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;50854;
Nb of solve step (max) ;50854;
Total size of solve step (avg) ;4085344.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;4085344;
Total size of solve step (max) ;4085344;
Global Max size of solve for hyp (avg) ;2582.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;2582;
Global Max size of solve for hyp (max) ;2582;
Nb of solve for hyp (avg) ;29.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;29;
Nb of solve for hyp (max) ;29;
Total size of solve for hyp (avg) ;9980.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;9980;
Total size of solve for hyp (max) ;9980;
Global Max size of solve for extended hyp (avg) ;2074259.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;2074259;
Global Max size of solve for extended hyp (max) ;2074259;
Nb of solve for extended hyp (avg) ;20.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;20;
Nb of solve for extended hyp (max) ;20;
Total size of solve for extended hyp (avg) ;2644564.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;2644564;
Total size of solve for extended hyp (max) ;2644564;
Global Max size of solve for own context (avg) ;119.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;119;
Global Max size of solve for own context (max) ;119;
Nb of solve for own context (avg) ;253.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;253;
Nb of solve for own context (max) ;253;
Total size of solve for own context (avg) ;12124.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;12124;
Total size of solve for own context (max) ;12124;
Global Max size of solve for external context (avg) ;88.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;88;
Global Max size of solve for external context (max) ;88;
Nb of solve for external context (avg) ;291.0;
Nb of solve for external context (stddev) ;0.0;
Nb of solve for external context (min) ;291;
Nb of solve for external context (max) ;291;
Total size of solve for external context (avg) ;12340.0;
Total size of solve for external context (stddev) ;0.0;
Total size of solve for external context (min) ;12340;
Total size of solve for external context (max) ;12340;
Global Max size of solve for covered manif. (avg) ;84.0;
Global Max size of solve for covered manif. (stddev) ;0.0;
Global Max size of solve for covered manif. (min) ;84;
Global Max size of solve for covered manif. (max) ;84;
Nb of solve for covered manif. (avg) ;342.0;
Nb of solve for covered manif. (stddev) ;0.0;
Nb of solve for covered manif. (min) ;342;
Nb of solve for covered manif. (max) ;342;
Total size of solve for covered manif. (avg) ;15956.0;
Total size of solve for covered manif. (stddev) ;0.0;
Total size of solve for covered manif. (min) ;15956;
Total size of solve for covered manif. (max) ;15956;
Global Max size of solve for prove manif (avg) ;72.0;
Global Max size of solve for prove manif (stddev) ;0.0;
Global Max size of solve for prove manif (min) ;72;
Global Max size of solve for prove manif (max) ;72;
Nb of solve for prove manif (avg) ;219.0;
Nb of solve for prove manif (stddev) ;0.0;
Nb of solve for prove manif (min) ;219;
Nb of solve for prove manif (max) ;219;
Total size of solve for prove manif (avg) ;8620.0;
Total size of solve for prove manif (stddev) ;0.0;
Total size of solve for prove manif (min) ;8620;
Total size of solve for prove manif (max) ;8620;
Global Max size of solve for add manif (avg) ;8.0;
Global Max size of solve for add manif (stddev) ;0.0;
Global Max size of solve for add manif (min) ;8;
Global Max size of solve for add manif (max) ;8;
Nb of solve for add manif (avg) ;7.0;
Nb of solve for add manif (stddev) ;0.0;
Nb of solve for add manif (min) ;7;
Nb of solve for add manif (max) ;7;
Total size of solve for add manif (avg) ;56.0;
Total size of solve for add manif (stddev) ;0.0;
Total size of solve for add manif (min) ;56;
Total size of solve for add manif (max) ;56;
Global Max size of solve for addToTheory (avg) ;66.0;
Global Max size of solve for addToTheory (stddev) ;0.0;
Global Max size of solve for addToTheory (min) ;66;
Global Max size of solve for addToTheory (max) ;66;
Nb of solve for addToTheory (avg) ;86.0;
Nb of solve for addToTheory (stddev) ;0.0;
Nb of solve for addToTheory (min) ;86;
Nb of solve for addToTheory (max) ;86;
Total size of solve for addToTheory (avg) ;2569.0;
Total size of solve for addToTheory (stddev) ;0.0;
Total size of solve for addToTheory (min) ;2569;
Total size of solve for addToTheory (max) ;2569;
Global Max size of solve for hyp (NC) (avg) ;71.0;
Global Max size of solve for hyp (NC) (stddev) ;0.0;
Global Max size of solve for hyp (NC) (min) ;71;
Global Max size of solve for hyp (NC) (max) ;71;
Nb of solve for hyp (NC) (avg) ;224.0;
Nb of solve for hyp (NC) (stddev) ;0.0;
Nb of solve for hyp (NC) (min) ;224;
Nb of solve for hyp (NC) (max) ;224;
Total size of solve for hyp (NC) (avg) ;9369.0;
Total size of solve for hyp (NC) (stddev) ;0.0;
Total size of solve for hyp (NC) (min) ;9369;
Total size of solve for hyp (NC) (max) ;9369;
Global Max size of solve for extended hyp (NC) (avg) ;95.0;
Global Max size of solve for extended hyp (NC) (stddev) ;0.0;
Global Max size of solve for extended hyp (NC) (min) ;95;
Global Max size of solve for extended hyp (NC) (max) ;95;
Nb of solve for extended hyp (NC) (avg) ;49036.0;
Nb of solve for extended hyp (NC) (stddev) ;0.0;
Nb of solve for extended hyp (NC) (min) ;49036;
Nb of solve for extended hyp (NC) (max) ;49036;
Total size of solve for extended hyp (NC) (avg) ;1367875.0;
Total size of solve for extended hyp (NC) (stddev) ;0.0;
Total size of solve for extended hyp (NC) (min) ;1367875;
Total size of solve for extended hyp (NC) (max) ;1367875;
Global Max size of solve for own context (NC) (avg) ;15.0;
Global Max size of solve for own context (NC) (stddev) ;0.0;
Global Max size of solve for own context (NC) (min) ;15;
Global Max size of solve for own context (NC) (max) ;15;
Nb of solve for own context (NC) (avg) ;48.0;
Nb of solve for own context (NC) (stddev) ;0.0;
Nb of solve for own context (NC) (min) ;48;
Nb of solve for own context (NC) (max) ;48;
Total size of solve for own context (NC) (avg) ;552.0;
Total size of solve for own context (NC) (stddev) ;0.0;
Total size of solve for own context (NC) (min) ;552;
Total size of solve for own context (NC) (max) ;552;
Global Max size of solve for external context (NC) (avg) ;15.0;
Global Max size of solve for external context (NC) (stddev) ;0.0;
Global Max size of solve for external context (NC) (min) ;15;
Global Max size of solve for external context (NC) (max) ;15;
Nb of solve for external context (NC) (avg) ;299.0;
Nb of solve for external context (NC) (stddev) ;0.0;
Nb of solve for external context (NC) (min) ;299;
Nb of solve for external context (NC) (max) ;299;
Total size of solve for external context (NC) (avg) ;1339.0;
Total size of solve for external context (NC) (stddev) ;0.0;
Total size of solve for external context (NC) (min) ;1339;
Total size of solve for external context (NC) (max) ;1339;
Global Max size of  sent messages (avg) ;524.0;
Global Max size of  sent messages (stddev) ;0.0;
Global Max size of  sent messages (min) ;524;
Global Max size of  sent messages (max) ;524;
Nb of  sent messages (avg) ;249.0;
Nb of  sent messages (stddev) ;0.0;
Nb of  sent messages (min) ;249;
Nb of  sent messages (max) ;249;
Total size of  sent messages (avg) ;47245.0;
Total size of  sent messages (stddev) ;0.0;
Total size of  sent messages (min) ;47245;
Total size of  sent messages (max) ;47245;
Global Max size of  received messages (avg) ;524.0;
Global Max size of  received messages (stddev) ;0.0;
Global Max size of  received messages (min) ;524;
Global Max size of  received messages (max) ;524;
Nb of  received messages (avg) ;260.0;
Nb of  received messages (stddev) ;0.0;
Nb of  received messages (min) ;260;
Nb of  received messages (max) ;260;
Total size of  received messages (avg) ;47245.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;47245;
Total size of  received messages (max) ;47245;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;4.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;4;
Nb of  initLocalConv (max) ;4;
Total size of  initLocalConv (avg) ;4.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;4;
Total size of  initLocalConv (max) ;4;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;4.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;4;
Nb of  acceptLocalConv (max) ;4;
Total size of  acceptLocalConv (avg) ;4.0;
