;v0.3.138e1_DAREschedule_ECAI-CL_DARE_8All
Theory redundancy (avg) ;3.769230769230769;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;3.769230769230769;
Theory redundancy (max) ;3.769230769230769;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;925333.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;925333;
Nb of Total number of external subsumes (max) ;925333;
Total size of Total number of external subsumes (avg) ;2216536.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;2216536;
Total size of Total number of external subsumes (max) ;2216536;
Max size of Total number of external subsumes (avg) ;14.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;14;
Max size of Total number of external subsumes (max) ;14;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;1.8435129041118208E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;1843512904111820800;
Product of nb of solve step (max) ;1843512904111820800;
Product of total size of solve step (avg) ;1.67135731548991514E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;1671357315489915072;
Product of total size of solve step (max) ;1671357315489915072;
Product of max size of solve step (avg) ;-3.7607113807174851E18;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;-3760711380717485168;
Product of max size of solve step (max) ;0;
Product of min size of solve step (avg) ;729.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;729;
Product of min size of solve step (max) ;729;
Max of nb of solve step (avg) ;3502.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;3502;
Max of nb of solve step (max) ;3502;
Max of total size of solve step (avg) ;54838.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;54838;
Max of total size of solve step (max) ;54838;
Max of max size of solve step (avg) ;597.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;597;
Max of max size of solve step (max) ;597;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;294.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;294;
Min of nb of solve step (max) ;294;
Min of total size of solve step (avg) ;3274.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;3274;
Min of total size of solve step (max) ;3274;
Min of max size of solve step (avg) ;177.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;177;
Min of max size of solve step (max) ;177;
Min of min size of solve step (avg) ;1.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;1;
Min of min size of solve step (max) ;1;
Sum of nb of solve step (avg) ;8442.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;8442;
Sum of nb of solve step (max) ;8442;
Sum of total size of solve step (avg) ;131706.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;131706;
Sum of total size of solve step (max) ;131706;
Sum of max size of solve step (avg) ;2897.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;2897;
Sum of max size of solve step (max) ;2897;
Sum of min size of solve step (avg) ;20.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;20;
Sum of min size of solve step (max) ;20;
Average of nb of solve step (avg) ;1055.25;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;1055.25;
Average of nb of solve step (max) ;1055.25;
Average of total size of solve step (avg) ;16463.25;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;16463.25;
Average of total size of solve step (max) ;16463.25;
Average of max size of solve step (avg) ;362.125;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;362.125;
Average of max size of solve step (max) ;362.125;
Average of min size of solve step (avg) ;2.5;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.5;
Average of min size of solve step (max) ;2.5;
Standard deviation of nb of solve step (avg) ;997.054756520423;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;997.054756520423;
Standard deviation of nb of solve step (max) ;997.054756520423;
Standard deviation of total size of solve step (avg) ;15931.607952039869;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;15931.607952039869;
Standard deviation of total size of solve step (max) ;15931.607952039869;
Standard deviation of max size of solve step (avg) ;143.2667420408519;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;143.2667420408519;
Standard deviation of max size of solve step (max) ;143.2667420408519;
Standard deviation of min size of solve step (avg) ;0.8660254037844386;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.8660254037844386;
Standard deviation of min size of solve step (max) ;0.8660254037844386;
Product of nb of solve for hyp (avg) ;7.57344E7;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;75734400;
Product of nb of solve for hyp (max) ;75734400;
Product of total size of solve for hyp (avg) ;5.3443147487856804E18;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;5344314748785680384;
Product of total size of solve for hyp (max) ;5344314748785680384;
Product of max size of solve for hyp (avg) ;1.38079168978905E14;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;138079168978905;
Product of max size of solve for hyp (max) ;138079168978905;
Product of min size of solve for hyp (avg) ;17496.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;17496;
Product of min size of solve for hyp (max) ;17496;
Max of nb of solve for hyp (avg) ;23.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;23;
Max of nb of solve for hyp (max) ;23;
Max of total size of solve for hyp (avg) ;1018.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;1018;
Max of total size of solve for hyp (max) ;1018;
Max of max size of solve for hyp (avg) ;139.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;139;
Max of max size of solve for hyp (max) ;139;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;5.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;5;
Min of nb of solve for hyp (max) ;5;
Min of total size of solve for hyp (avg) ;62.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;62;
Min of total size of solve for hyp (max) ;62;
Min of max size of solve for hyp (avg) ;27.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;27;
Min of max size of solve for hyp (max) ;27;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;86.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;86;
Sum of nb of solve for hyp (max) ;86;
Sum of total size of solve for hyp (avg) ;3372.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;3372;
Sum of total size of solve for hyp (max) ;3372;
Sum of max size of solve for hyp (avg) ;572.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;572;
Sum of max size of solve for hyp (max) ;572;
Sum of min size of solve for hyp (avg) ;29.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;29;
Sum of min size of solve for hyp (max) ;29;
Average of nb of solve for hyp (avg) ;10.75;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;10.75;
Average of nb of solve for hyp (max) ;10.75;
Average of total size of solve for hyp (avg) ;421.5;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;421.5;
Average of total size of solve for hyp (max) ;421.5;
Average of max size of solve for hyp (avg) ;71.5;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;71.5;
Average of max size of solve for hyp (max) ;71.5;
Average of min size of solve for hyp (avg) ;3.625;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;3.625;
Average of min size of solve for hyp (max) ;3.625;
Standard deviation of nb of solve for hyp (avg) ;5.379358697837503;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;5.379358697837503;
Standard deviation of nb of solve for hyp (max) ;5.379358697837503;
Standard deviation of total size of solve for hyp (avg) ;365.8452541717604;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;365.8452541717604;
Standard deviation of total size of solve for hyp (max) ;365.8452541717604;
Standard deviation of max size of solve for hyp (avg) ;42.97382924525112;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;42.97382924525112;
Standard deviation of max size of solve for hyp (max) ;42.97382924525112;
Standard deviation of min size of solve for hyp (avg) ;1.653594569415369;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;1.653594569415369;
Standard deviation of min size of solve for hyp (max) ;1.653594569415369;
Product of nb of solve for extended hyp (avg) ;1.90512E7;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;19051200;
Product of nb of solve for extended hyp (max) ;19051200;
Product of total size of solve for extended hyp (avg) ;-3.9163748564647872E17;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;-391637485646478688;
Product of total size of solve for extended hyp (max) ;0;
Product of max size of solve for extended hyp (avg) ;-3.7607113807174851E18;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;-3760711380717485168;
Product of max size of solve for extended hyp (max) ;0;
Product of min size of solve for extended hyp (avg) ;1.86535791E8;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;186535791;
Product of min size of solve for extended hyp (max) ;186535791;
Max of nb of solve for extended hyp (avg) ;21.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;21;
Max of nb of solve for extended hyp (max) ;21;
Max of total size of solve for extended hyp (avg) ;5089.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;5089;
Max of total size of solve for extended hyp (max) ;5089;
Max of max size of solve for extended hyp (avg) ;597.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;597;
Max of max size of solve for extended hyp (max) ;597;
Max of min size of solve for extended hyp (avg) ;39.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;39;
Max of min size of solve for extended hyp (max) ;39;
Min of nb of solve for extended hyp (avg) ;4.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;4;
Min of nb of solve for extended hyp (max) ;4;
Min of total size of solve for extended hyp (avg) ;406.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;406;
Min of total size of solve for extended hyp (max) ;406;
Min of max size of solve for extended hyp (avg) ;177.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;177;
Min of max size of solve for extended hyp (max) ;177;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;74.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;74;
Sum of nb of solve for extended hyp (max) ;74;
Sum of total size of solve for extended hyp (avg) ;16117.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;16117;
Sum of total size of solve for extended hyp (max) ;16117;
Sum of max size of solve for extended hyp (avg) ;2897.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;2897;
Sum of max size of solve for extended hyp (max) ;2897;
Sum of min size of solve for extended hyp (avg) ;102.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;102;
Sum of min size of solve for extended hyp (max) ;102;
Average of nb of solve for extended hyp (avg) ;9.25;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;9.25;
Average of nb of solve for extended hyp (max) ;9.25;
Average of total size of solve for extended hyp (avg) ;2014.625;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;2014.625;
Average of total size of solve for extended hyp (max) ;2014.625;
Average of max size of solve for extended hyp (avg) ;362.125;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;362.125;
Average of max size of solve for extended hyp (max) ;362.125;
Average of min size of solve for extended hyp (avg) ;12.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;12.75;
Average of min size of solve for extended hyp (max) ;12.75;
Standard deviation of nb of solve for extended hyp (avg) ;5.09288719686584;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;5.09288719686584;
Standard deviation of nb of solve for extended hyp (max) ;5.09288719686584;
Standard deviation of total size of solve for extended hyp (avg) ;1558.8525377260673;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;1558.8525377260673;
Standard deviation of total size of solve for extended hyp (max) ;1558.8525377260673;
Standard deviation of max size of solve for extended hyp (avg) ;143.2667420408519;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;143.2667420408519;
Standard deviation of max size of solve for extended hyp (max) ;143.2667420408519;
Standard deviation of min size of solve for extended hyp (avg) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (max) ;9.921567416492215;
Product of nb of solve for own context (avg) ;5.763888928413E15;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;5763888928413000;
Product of nb of solve for own context (max) ;5763888928413000;
Product of total size of solve for own context (avg) ;7.5176658799413535E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;7517665879941352960;
Product of total size of solve for own context (max) ;7517665879941352960;
Product of max size of solve for own context (avg) ;2.4276159940032E14;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;242761599400320;
Product of max size of solve for own context (max) ;242761599400320;
Product of min size of solve for own context (avg) ;196608.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;196608;
Product of min size of solve for own context (max) ;196608;
Max of nb of solve for own context (avg) ;438.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;438;
Max of nb of solve for own context (max) ;438;
Max of total size of solve for own context (avg) ;9333.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;9333;
Max of total size of solve for own context (max) ;9333;
Max of max size of solve for own context (avg) ;92.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;92;
Max of max size of solve for own context (max) ;92;
Max of min size of solve for own context (avg) ;8.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;8;
Max of min size of solve for own context (max) ;8;
Min of nb of solve for own context (avg) ;25.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;25;
Min of nb of solve for own context (max) ;25;
Min of total size of solve for own context (avg) ;462.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;462;
Min of total size of solve for own context (max) ;462;
Min of max size of solve for own context (avg) ;41.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;41;
Min of max size of solve for own context (max) ;41;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;1039.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;1039;
Sum of nb of solve for own context (max) ;1039;
Sum of total size of solve for own context (avg) ;21039.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;21039;
Sum of total size of solve for own context (max) ;21039;
Sum of max size of solve for own context (avg) ;530.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;530;
Sum of max size of solve for own context (max) ;530;
Sum of min size of solve for own context (avg) ;38.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;38;
Sum of min size of solve for own context (max) ;38;
Average of nb of solve for own context (avg) ;129.875;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;129.875;
Average of nb of solve for own context (max) ;129.875;
Average of total size of solve for own context (avg) ;2629.875;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;2629.875;
Average of total size of solve for own context (max) ;2629.875;
Average of max size of solve for own context (avg) ;66.25;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;66.25;
Average of max size of solve for own context (max) ;66.25;
Average of min size of solve for own context (avg) ;4.75;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.75;
Average of min size of solve for own context (max) ;4.75;
Standard deviation of nb of solve for own context (avg) ;122.92521862905106;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;122.92521862905106;
Standard deviation of nb of solve for own context (max) ;122.92521862905106;
Standard deviation of total size of solve for own context (avg) ;2693.1608491464076;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;2693.1608491464076;
Standard deviation of total size of solve for own context (max) ;2693.1608491464076;
Standard deviation of max size of solve for own context (avg) ;20.90305001668417;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;20.90305001668417;
Standard deviation of max size of solve for own context (max) ;20.90305001668417;
Standard deviation of min size of solve for own context (avg) ;1.3919410907075054;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;1.3919410907075054;
Standard deviation of min size of solve for own context (max) ;1.3919410907075054;
Product of nb of solve for external context (avg) ;2.352878822391552E16;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;23528788223915520;
Product of nb of solve for external context (max) ;23528788223915520;
Product of total size of solve for external context (avg) ;2.08732760659955302E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;2087327606599553024;
Product of total size of solve for external context (max) ;2087327606599553024;
Product of max size of solve for external context (avg) ;1.4754611800656E13;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;14754611800656;
Product of max size of solve for external context (max) ;14754611800656;
Product of min size of solve for external context (avg) ;4096.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;4096;
Product of min size of solve for external context (max) ;4096;
Max of nb of solve for external context (avg) ;467.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;467;
Max of nb of solve for external context (max) ;467;
Max of total size of solve for external context (avg) ;8056.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;8056;
Max of total size of solve for external context (max) ;8056;
Max of max size of solve for external context (avg) ;104.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;104;
