;v0.3.1395e1_DAREscheduleBisW2_Inc-CL_DARE_8All
Theory redundancy (avg) ;2.9615384615384617;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.9615384615384617;
Theory redundancy (max) ;2.9615384615384617;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;528418.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;528418;
Nb of Total number of external subsumes (max) ;528418;
Total size of Total number of external subsumes (avg) ;1252204.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;1252204;
Total size of Total number of external subsumes (max) ;1252204;
Max size of Total number of external subsumes (avg) ;14.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;14;
Max size of Total number of external subsumes (max) ;14;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;1.80956859185470387E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;1809568591854703840;
Product of nb of solve step (max) ;1809568591854703840;
Product of total size of solve step (avg) ;-5.9315793272039578E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;-5931579327203957440;
Product of total size of solve step (max) ;0;
Product of max size of solve step (avg) ;7.982472027463381E18;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;7982472027463381100;
Product of max size of solve step (max) ;7982472027463381100;
Product of min size of solve step (avg) ;729.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;729;
Product of min size of solve step (max) ;729;
Max of nb of solve step (avg) ;1998.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;1998;
Max of nb of solve step (max) ;1998;
Max of total size of solve step (avg) ;34938.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;34938;
Max of total size of solve step (max) ;34938;
Max of max size of solve step (avg) ;1330.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;1330;
Max of max size of solve step (max) ;1330;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;218.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;218;
Min of nb of solve step (max) ;218;
