;v0.3.1395e1_DAREscheduleBisW2_Inc_DARE_8All
Theory redundancy (avg) ;5.1923076923076925;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;5.1923076923076925;
Theory redundancy (max) ;5.1923076923076925;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;1271126.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;1271126;
Nb of Total number of external subsumes (max) ;1271126;
Total size of Total number of external subsumes (avg) ;3676932.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;3676932;
Total size of Total number of external subsumes (max) ;3676932;
Max size of Total number of external subsumes (avg) ;15.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;15;
Max size of Total number of external subsumes (max) ;15;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;6.5561053620922245E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;6556105362092224512;
Product of nb of solve step (max) ;6556105362092224512;
Product of total size of solve step (avg) ;4.9070125358119813E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;4907012535811981248;
Product of total size of solve step (max) ;4907012535811981248;
Product of max size of solve step (avg) ;-7.2892161597128018E18;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;-7289216159712801584;
Product of max size of solve step (max) ;0;
Product of min size of solve step (avg) ;81.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;81;
Product of min size of solve step (max) ;81;
Max of nb of solve step (avg) ;4858.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;4858;
Max of nb of solve step (max) ;4858;
Max of total size of solve step (avg) ;112665.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;112665;
Max of total size of solve step (max) ;112665;
Max of max size of solve step (avg) ;4168.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;4168;
Max of max size of solve step (max) ;4168;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;616.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;616;
Min of nb of solve step (max) ;616;
Min of total size of solve step (avg) ;15692.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;15692;
Min of total size of solve step (max) ;15692;
Min of max size of solve step (avg) ;827.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;827;
Min of max size of solve step (max) ;827;
Min of min size of solve step (avg) ;1.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;1;
Min of min size of solve step (max) ;1;
