;v0.3.1395e1_DAREscheduleBis_Inc-CL_DARE_8All
Theory redundancy (avg) ;3.4615384615384617;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;3.4615384615384617;
Theory redundancy (max) ;3.4615384615384617;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;1037029.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;1037029;
Nb of Total number of external subsumes (max) ;1037029;
Total size of Total number of external subsumes (avg) ;2532907.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;2532907;
Total size of Total number of external subsumes (max) ;2532907;
Max size of Total number of external subsumes (avg) ;14.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;14;
Max size of Total number of external subsumes (max) ;14;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;-7.6193807951633869E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;-7619380795163387376;
Product of nb of solve step (max) ;0;
Product of total size of solve step (avg) ;-7.5723017002420767E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;-7572301700242076672;
Product of total size of solve step (max) ;0;
Product of max size of solve step (avg) ;6.3313526088899953E18;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;6331352608889995072;
Product of max size of solve step (max) ;6331352608889995072;
Product of min size of solve step (avg) ;729.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;729;
Product of min size of solve step (max) ;729;
Max of nb of solve step (avg) ;2899.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;2899;
Max of nb of solve step (max) ;2899;
Max of total size of solve step (avg) ;51436.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;51436;
Max of total size of solve step (max) ;51436;
Max of max size of solve step (avg) ;1944.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;1944;
Max of max size of solve step (max) ;1944;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;279.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;279;
Min of nb of solve step (max) ;279;
Min of total size of solve step (avg) ;3292.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;3292;
Min of total size of solve step (max) ;3292;
Min of max size of solve step (avg) ;211.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;211;
Min of max size of solve step (max) ;211;
Min of min size of solve step (avg) ;1.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;1;
Min of min size of solve step (max) ;1;
Sum of nb of solve step (avg) ;8336.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;8336;
Sum of nb of solve step (max) ;8336;
Sum of total size of solve step (avg) ;169453.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;169453;
Sum of total size of solve step (max) ;169453;
Sum of max size of solve step (avg) ;9746.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;9746;
Sum of max size of solve step (max) ;9746;
Sum of min size of solve step (avg) ;20.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;20;
Sum of min size of solve step (max) ;20;
Average of nb of solve step (avg) ;1042.0;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;1042.0;
Average of nb of solve step (max) ;1042.0;
Average of total size of solve step (avg) ;21181.625;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;21181.625;
Average of total size of solve step (max) ;21181.625;
Average of max size of solve step (avg) ;1218.25;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;1218.25;
Average of max size of solve step (max) ;1218.25;
Average of min size of solve step (avg) ;2.5;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.5;
Average of min size of solve step (max) ;2.5;
Standard deviation of nb of solve step (avg) ;785.0283434373564;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;785.0283434373564;
Standard deviation of nb of solve step (max) ;785.0283434373564;
Standard deviation of total size of solve step (avg) ;14711.927125104141;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;14711.927125104141;
Standard deviation of total size of solve step (max) ;14711.927125104141;
Standard deviation of max size of solve step (avg) ;516.759796714102;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;516.759796714102;
Standard deviation of max size of solve step (max) ;516.759796714102;
Standard deviation of min size of solve step (avg) ;0.8660254037844386;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.8660254037844386;
Standard deviation of min size of solve step (max) ;0.8660254037844386;
Product of nb of solve for hyp (avg) ;3.784704E7;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;37847040;
Product of nb of solve for hyp (max) ;37847040;
Product of total size of solve for hyp (avg) ;5.058610620763348E18;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;5058610620763347648;
Product of total size of solve for hyp (max) ;5058610620763347648;
Product of max size of solve for hyp (avg) ;5.4393734304E13;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;54393734304000;
Product of max size of solve for hyp (max) ;54393734304000;
Product of min size of solve for hyp (avg) ;17496.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;17496;
Product of min size of solve for hyp (max) ;17496;
Max of nb of solve for hyp (avg) ;16.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;16;
Max of nb of solve for hyp (max) ;16;
Max of total size of solve for hyp (avg) ;584.0;
