;v0.3.1395e1_chain8-2_ECAI_Clique_2All
Theory redundancy (avg) ;1.56;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.56;
Theory redundancy (max) ;1.56;
Manifestations redundancy (avg) ;2.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;2.0;
Manifestations redundancy (max) ;2.0;
Nb of Total number of external subsumes (avg) ;170746.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;170746;
Nb of Total number of external subsumes (max) ;170746;
Total size of Total number of external subsumes (avg) ;358293.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;358293;
Total size of Total number of external subsumes (max) ;358293;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;2.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;2;
Min size of Total number of external subsumes (max) ;2;
Product of nb of solve step (avg) ;3328560.0;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;3328560;
Product of nb of solve step (max) ;3328560;
Product of total size of solve step (avg) ;2.3793714E8;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;237937140;
Product of total size of solve step (max) ;237937140;
Product of max size of solve step (avg) ;4608.0;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;4608;
Product of max size of solve step (max) ;4608;
Product of min size of solve step (avg) ;9.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;9;
Product of min size of solve step (max) ;9;
Max of nb of solve step (avg) ;1840.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;1840;
Max of nb of solve step (max) ;1840;
Max of total size of solve step (avg) ;17815.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;17815;
Max of total size of solve step (max) ;17815;
Max of max size of solve step (avg) ;72.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;72;
Max of max size of solve step (max) ;72;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;1809.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;1809;
Min of nb of solve step (max) ;1809;
Min of total size of solve step (avg) ;13356.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;13356;
Min of total size of solve step (max) ;13356;
Min of max size of solve step (avg) ;64.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;64;
Min of max size of solve step (max) ;64;
Min of min size of solve step (avg) ;3.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;3;
Min of min size of solve step (max) ;3;
Sum of nb of solve step (avg) ;3649.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;3649;
Sum of nb of solve step (max) ;3649;
Sum of total size of solve step (avg) ;31171.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;31171;
Sum of total size of solve step (max) ;31171;
Sum of max size of solve step (avg) ;136.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;136;
Sum of max size of solve step (max) ;136;
Sum of min size of solve step (avg) ;6.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;6;
Sum of min size of solve step (max) ;6;
Average of nb of solve step (avg) ;1824.5;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;1824.5;
Average of nb of solve step (max) ;1824.5;
Average of total size of solve step (avg) ;15585.5;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;15585.5;
Average of total size of solve step (max) ;15585.5;
Average of max size of solve step (avg) ;68.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;68.0;
Average of max size of solve step (max) ;68.0;
Average of min size of solve step (avg) ;3.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;3.0;
Average of min size of solve step (max) ;3.0;
Standard deviation of nb of solve step (avg) ;15.5;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;15.5;
Standard deviation of nb of solve step (max) ;15.5;
Standard deviation of total size of solve step (avg) ;2229.5;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;2229.5;
Standard deviation of total size of solve step (max) ;2229.5;
Standard deviation of max size of solve step (avg) ;4.0;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;4.0;
Standard deviation of max size of solve step (max) ;4.0;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;64.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;64;
Product of nb of solve for hyp (max) ;64;
Product of total size of solve for hyp (avg) ;71823.0;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;71823;
Product of total size of solve for hyp (max) ;71823;
Product of max size of solve for hyp (avg) ;3080.0;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;3080;
Product of max size of solve for hyp (max) ;3080;
Product of min size of solve for hyp (avg) ;64.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;64;
Product of min size of solve for hyp (max) ;64;
Max of nb of solve for hyp (avg) ;8.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;8;
Max of nb of solve for hyp (max) ;8;
Max of total size of solve for hyp (avg) ;269.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;269;
Max of total size of solve for hyp (max) ;269;
Max of max size of solve for hyp (avg) ;56.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;56;
Max of max size of solve for hyp (max) ;56;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;8.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;8;
Min of nb of solve for hyp (max) ;8;
Min of total size of solve for hyp (avg) ;267.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;267;
Min of total size of solve for hyp (max) ;267;
Min of max size of solve for hyp (avg) ;55.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;55;
Min of max size of solve for hyp (max) ;55;
Min of min size of solve for hyp (avg) ;8.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;8;
Min of min size of solve for hyp (max) ;8;
Sum of nb of solve for hyp (avg) ;16.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;16;
Sum of nb of solve for hyp (max) ;16;
Sum of total size of solve for hyp (avg) ;536.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;536;
Sum of total size of solve for hyp (max) ;536;
Sum of max size of solve for hyp (avg) ;111.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;111;
Sum of max size of solve for hyp (max) ;111;
Sum of min size of solve for hyp (avg) ;16.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;16;
Sum of min size of solve for hyp (max) ;16;
Average of nb of solve for hyp (avg) ;8.0;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;8.0;
Average of nb of solve for hyp (max) ;8.0;
Average of total size of solve for hyp (avg) ;268.0;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;268.0;
Average of total size of solve for hyp (max) ;268.0;
Average of max size of solve for hyp (avg) ;55.5;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;55.5;
Average of max size of solve for hyp (max) ;55.5;
Average of min size of solve for hyp (avg) ;8.0;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;8.0;
Average of min size of solve for hyp (max) ;8.0;
Standard deviation of nb of solve for hyp (avg) ;0.0;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.0;
Standard deviation of nb of solve for hyp (max) ;0;
Standard deviation of total size of solve for hyp (avg) ;1.0;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;1.0;
Standard deviation of total size of solve for hyp (max) ;1.0;
Standard deviation of max size of solve for hyp (avg) ;0.5;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;0.5;
Standard deviation of max size of solve for hyp (max) ;0.5;
Standard deviation of min size of solve for hyp (avg) ;0.0;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;0.0;
Standard deviation of min size of solve for hyp (max) ;0;
Product of nb of solve for extended hyp (avg) ;42.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;42;
Product of nb of solve for extended hyp (max) ;42;
Product of total size of solve for extended hyp (avg) ;72688.0;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;72688;
Product of total size of solve for extended hyp (max) ;72688;
Product of max size of solve for extended hyp (avg) ;4536.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;4536;
Product of max size of solve for extended hyp (max) ;4536;
Product of min size of solve for extended hyp (avg) ;121.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;121;
Product of min size of solve for extended hyp (max) ;121;
Max of nb of solve for extended hyp (avg) ;7.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;7;
Max of nb of solve for extended hyp (max) ;7;
Max of total size of solve for extended hyp (avg) ;308.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;308;
Max of total size of solve for extended hyp (max) ;308;
Max of max size of solve for extended hyp (avg) ;72.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;72;
Max of max size of solve for extended hyp (max) ;72;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;6.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;6;
Min of nb of solve for extended hyp (max) ;6;
Min of total size of solve for extended hyp (avg) ;236.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;236;
Min of total size of solve for extended hyp (max) ;236;
Min of max size of solve for extended hyp (avg) ;63.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;63;
Min of max size of solve for extended hyp (max) ;63;
Min of min size of solve for extended hyp (avg) ;11.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;11;
Min of min size of solve for extended hyp (max) ;11;
Sum of nb of solve for extended hyp (avg) ;13.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;13;
Sum of nb of solve for extended hyp (max) ;13;
Sum of total size of solve for extended hyp (avg) ;544.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;544;
Sum of total size of solve for extended hyp (max) ;544;
Sum of max size of solve for extended hyp (avg) ;135.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;135;
Sum of max size of solve for extended hyp (max) ;135;
Sum of min size of solve for extended hyp (avg) ;22.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;22;
Sum of min size of solve for extended hyp (max) ;22;
Average of nb of solve for extended hyp (avg) ;6.5;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;6.5;
Average of nb of solve for extended hyp (max) ;6.5;
Average of total size of solve for extended hyp (avg) ;272.0;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;272.0;
Average of total size of solve for extended hyp (max) ;272.0;
Average of max size of solve for extended hyp (avg) ;67.5;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;67.5;
Average of max size of solve for extended hyp (max) ;67.5;
Average of min size of solve for extended hyp (avg) ;11.0;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;11.0;
Average of min size of solve for extended hyp (max) ;11.0;
Standard deviation of nb of solve for extended hyp (avg) ;0.5;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.5;
Standard deviation of nb of solve for extended hyp (max) ;0.5;
Standard deviation of total size of solve for extended hyp (avg) ;36.0;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;36.0;
Standard deviation of total size of solve for extended hyp (max) ;36.0;
Standard deviation of max size of solve for extended hyp (avg) ;4.5;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;4.5;
Standard deviation of max size of solve for extended hyp (max) ;4.5;
Standard deviation of min size of solve for extended hyp (avg) ;0.0;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;0.0;
Standard deviation of min size of solve for extended hyp (max) ;0;
Product of nb of solve for own context (avg) ;3400.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;3400;
Product of nb of solve for own context (max) ;3400;
Product of total size of solve for own context (avg) ;420320.0;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;420320;
Product of total size of solve for own context (max) ;420320;
Product of max size of solve for own context (avg) ;1350.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1350;
Product of max size of solve for own context (max) ;1350;
Product of min size of solve for own context (avg) ;16.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;16;
Product of min size of solve for own context (max) ;16;
Max of nb of solve for own context (avg) ;136.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;136;
Max of nb of solve for own context (max) ;136;
Max of total size of solve for own context (avg) ;1420.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;1420;
Max of total size of solve for own context (max) ;1420;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;25.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;25;
Min of nb of solve for own context (max) ;25;
Min of total size of solve for own context (avg) ;296.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;296;
Min of total size of solve for own context (max) ;296;
Min of max size of solve for own context (avg) ;30.0;
Min of max size of solve for own context (stddev) ;0.0;
