;v0.3.1395e1_chain8-2_Inc-CL_Clique_2All
Theory redundancy (avg) ;1.4;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.4;
Theory redundancy (max) ;1.4;
Manifestations redundancy (avg) ;2.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;2.0;
Manifestations redundancy (max) ;2.0;
Nb of Total number of external subsumes (avg) ;488190.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;488190;
Nb of Total number of external subsumes (max) ;488190;
Total size of Total number of external subsumes (avg) ;1005650.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;1005650;
Total size of Total number of external subsumes (max) ;1005650;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;2.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;2;
Min size of Total number of external subsumes (max) ;2;
Product of nb of solve step (avg) ;177210.0;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;177210;
Product of nb of solve step (max) ;177210;
Product of total size of solve step (avg) ;1.7372706E7;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;17372706;
Product of total size of solve step (max) ;17372706;
Product of max size of solve step (avg) ;2916.0;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;2916;
Product of max size of solve step (max) ;2916;
Product of min size of solve step (avg) ;9.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;9;
Product of min size of solve step (max) ;9;
Max of nb of solve step (avg) ;495.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;495;
Max of nb of solve step (max) ;495;
Max of total size of solve step (avg) ;5538.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;5538;
Max of total size of solve step (max) ;5538;
Max of max size of solve step (avg) ;54.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;54;
Max of max size of solve step (max) ;54;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;358.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;358;
Min of nb of solve step (max) ;358;
Min of total size of solve step (avg) ;3137.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;3137;
Min of total size of solve step (max) ;3137;
Min of max size of solve step (avg) ;54.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;54;
Min of max size of solve step (max) ;54;
Min of min size of solve step (avg) ;3.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;3;
Min of min size of solve step (max) ;3;
Sum of nb of solve step (avg) ;853.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;853;
Sum of nb of solve step (max) ;853;
Sum of total size of solve step (avg) ;8675.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;8675;
Sum of total size of solve step (max) ;8675;
Sum of max size of solve step (avg) ;108.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;108;
Sum of max size of solve step (max) ;108;
Sum of min size of solve step (avg) ;6.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;6;
Sum of min size of solve step (max) ;6;
Average of nb of solve step (avg) ;426.5;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;426.5;
Average of nb of solve step (max) ;426.5;
Average of total size of solve step (avg) ;4337.5;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;4337.5;
Average of total size of solve step (max) ;4337.5;
Average of max size of solve step (avg) ;54.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;54.0;
Average of max size of solve step (max) ;54.0;
Average of min size of solve step (avg) ;3.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;3.0;
Average of min size of solve step (max) ;3.0;
Standard deviation of nb of solve step (avg) ;68.5;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;68.5;
Standard deviation of nb of solve step (max) ;68.5;
Standard deviation of total size of solve step (avg) ;1200.5;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;1200.5;
Standard deviation of total size of solve step (max) ;1200.5;
Standard deviation of max size of solve step (avg) ;0.0;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;0.0;
Standard deviation of max size of solve step (max) ;0;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;36.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;36;
Product of nb of solve for hyp (max) ;36;
Product of total size of solve for hyp (avg) ;26732.0;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;26732;
Product of total size of solve for hyp (max) ;26732;
Product of max size of solve for hyp (avg) ;1892.0;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;1892;
Product of max size of solve for hyp (max) ;1892;
Product of min size of solve for hyp (avg) ;64.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;64;
Product of min size of solve for hyp (max) ;64;
Max of nb of solve for hyp (avg) ;6.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;6;
Max of nb of solve for hyp (max) ;6;
Max of total size of solve for hyp (avg) ;164.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;164;
Max of total size of solve for hyp (max) ;164;
Max of max size of solve for hyp (avg) ;44.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;44;
Max of max size of solve for hyp (max) ;44;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;6.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;6;
Min of nb of solve for hyp (max) ;6;
Min of total size of solve for hyp (avg) ;163.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;163;
Min of total size of solve for hyp (max) ;163;
Min of max size of solve for hyp (avg) ;43.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;43;
Min of max size of solve for hyp (max) ;43;
Min of min size of solve for hyp (avg) ;8.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;8;
Min of min size of solve for hyp (max) ;8;
Sum of nb of solve for hyp (avg) ;12.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;12;
Sum of nb of solve for hyp (max) ;12;
Sum of total size of solve for hyp (avg) ;327.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;327;
Sum of total size of solve for hyp (max) ;327;
Sum of max size of solve for hyp (avg) ;87.0;
