;v0.3.1395e1_chain8-4_ECAI-CL_Circuit_4All
Theory redundancy (avg) ;1.76;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.76;
Theory redundancy (max) ;1.76;
Manifestations redundancy (avg) ;4.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;4.0;
Manifestations redundancy (max) ;4.0;
Nb of Total number of external subsumes (avg) ;200544.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;200544;
Nb of Total number of external subsumes (max) ;200544;
Total size of Total number of external subsumes (avg) ;416439.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;416439;
Total size of Total number of external subsumes (max) ;416439;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;6.821221536E10;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;68212215360;
Product of nb of solve step (max) ;68212215360;
Product of total size of solve step (avg) ;1.005121639528944E15;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;1005121639528944;
Product of total size of solve step (max) ;1005121639528944;
Product of max size of solve step (avg) ;4082400.0;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;4082400;
Product of max size of solve step (max) ;4082400;
Product of min size of solve step (avg) ;16.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;16;
Product of min size of solve step (max) ;16;
Max of nb of solve step (avg) ;664.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;664;
Max of nb of solve step (max) ;664;
Max of total size of solve step (avg) ;7833.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;7833;
Max of total size of solve step (max) ;7833;
Max of max size of solve step (avg) ;48.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;48;
Max of max size of solve step (max) ;48;
Max of min size of solve step (avg) ;2.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;2;
Max of min size of solve step (max) ;2;
Min of nb of solve step (avg) ;360.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;360;
Min of nb of solve step (max) ;360;
Min of total size of solve step (avg) ;3599.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;3599;
Min of total size of solve step (max) ;3599;
Min of max size of solve step (avg) ;42.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;42;
Min of max size of solve step (max) ;42;
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;2104.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;2104;
Sum of nb of solve step (max) ;2104;
Sum of total size of solve step (avg) ;23499.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;23499;
Sum of total size of solve step (max) ;23499;
Sum of max size of solve step (avg) ;180.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;180;
Sum of max size of solve step (max) ;180;
Sum of min size of solve step (avg) ;8.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;8;
Sum of min size of solve step (max) ;8;
Average of nb of solve step (avg) ;526.0;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;526.0;
Average of nb of solve step (max) ;526.0;
Average of total size of solve step (avg) ;5874.75;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;5874.75;
Average of total size of solve step (max) ;5874.75;
Average of max size of solve step (avg) ;45.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;45.0;
Average of max size of solve step (max) ;45.0;
Average of min size of solve step (avg) ;2.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.0;
Average of min size of solve step (max) ;2.0;
Standard deviation of nb of solve step (avg) ;121.93645886280281;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;121.93645886280281;
Standard deviation of nb of solve step (max) ;121.93645886280281;
Standard deviation of total size of solve step (avg) ;1624.9895961205414;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;1624.9895961205414;
Standard deviation of total size of solve step (max) ;1624.9895961205414;
Standard deviation of max size of solve step (avg) ;2.1213203435596424;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;2.1213203435596424;
Standard deviation of max size of solve step (max) ;2.1213203435596424;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;2352.0;
