;v0.3.1395e1_chain8-4_ECAI_Circuit_4All
Theory redundancy (avg) ;2.88;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.88;
Theory redundancy (max) ;2.88;
Manifestations redundancy (avg) ;4.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;4.0;
Manifestations redundancy (max) ;4.0;
Nb of Total number of external subsumes (avg) ;881326.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;881326;
Nb of Total number of external subsumes (max) ;881326;
Total size of Total number of external subsumes (avg) ;1808708.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;1808708;
Total size of Total number of external subsumes (max) ;1808708;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;7.89457315248E12;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;7894573152480;
Product of nb of solve step (max) ;7894573152480;
Product of total size of solve step (avg) ;1.4765270933448368E17;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;147652709334483672;
Product of total size of solve step (max) ;147652709334483672;
Product of max size of solve step (avg) ;5.327532E7;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;53275320;
Product of max size of solve step (max) ;53275320;
Product of min size of solve step (avg) ;16.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;16;
Product of min size of solve step (max) ;16;
Max of nb of solve step (avg) ;2161.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;2161;
Max of nb of solve step (max) ;2161;
Max of total size of solve step (avg) ;30297.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;30297;
Max of total size of solve step (max) ;30297;
Max of max size of solve step (avg) ;90.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;90;
Max of max size of solve step (max) ;90;
Max of min size of solve step (avg) ;2.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;2;
Max of min size of solve step (max) ;2;
Min of nb of solve step (avg) ;1299.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;1299;
Min of nb of solve step (max) ;1299;
Min of total size of solve step (avg) ;14652.0;
Min of total size of solve step (stddev) ;0.0;
