;v0.3.1395e1_chain8-4_ECAI_Ligne_4All
Theory redundancy (avg) ;2.8;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.8;
Theory redundancy (max) ;2.8;
Manifestations redundancy (avg) ;4.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;4.0;
Manifestations redundancy (max) ;4.0;
Nb of Total number of external subsumes (avg) ;738608.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;738608;
Nb of Total number of external subsumes (max) ;738608;
Total size of Total number of external subsumes (avg) ;1509969.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;1509969;
Total size of Total number of external subsumes (max) ;1509969;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;2.05364840692E12;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;2053648406920;
Product of nb of solve step (max) ;2053648406920;
Product of total size of solve step (avg) ;3.363098581957554E16;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;33630985819575540;
Product of total size of solve step (max) ;33630985819575540;
Product of max size of solve step (avg) ;4.2357168E7;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;42357168;
Product of max size of solve step (max) ;42357168;
Product of min size of solve step (avg) ;16.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;16;
Product of min size of solve step (max) ;16;
Max of nb of solve step (avg) ;1903.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;1903;
Max of nb of solve step (max) ;1903;
Max of total size of solve step (avg) ;18531.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;18531;
Max of total size of solve step (max) ;18531;
Max of max size of solve step (avg) ;87.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;87;
Max of max size of solve step (max) ;87;
Max of min size of solve step (avg) ;2.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;2;
Max of min size of solve step (max) ;2;
Min of nb of solve step (avg) ;670.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;670;
Min of nb of solve step (max) ;670;
Min of total size of solve step (avg) ;7694.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;7694;
Min of total size of solve step (max) ;7694;
Min of max size of solve step (avg) ;69.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;69;
Min of max size of solve step (max) ;69;
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;5130.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;5130;
