;v0.3.1395e1_chain8-4_Inc-CL_Ligne_4All
Theory redundancy (avg) ;2.0;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.0;
Theory redundancy (max) ;2.0;
Manifestations redundancy (avg) ;4.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;4.0;
Manifestations redundancy (max) ;4.0;
Nb of Total number of external subsumes (avg) ;433782.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;433782;
Nb of Total number of external subsumes (max) ;433782;
Total size of Total number of external subsumes (avg) ;890937.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;890937;
Total size of Total number of external subsumes (max) ;890937;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;6.760117966E10;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;67601179660;
Product of nb of solve step (max) ;67601179660;
Product of total size of solve step (avg) ;1.13258891877859E15;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;1132588918778590;
Product of total size of solve step (max) ;1132588918778590;
Product of max size of solve step (avg) ;8033256.0;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;8033256;
Product of max size of solve step (max) ;8033256;
Product of min size of solve step (avg) ;16.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;16;
Product of min size of solve step (max) ;16;
Max of nb of solve step (avg) ;697.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;697;
Max of nb of solve step (max) ;697;
Max of total size of solve step (avg) ;7163.0;
Max of total size of solve step (stddev) ;0.0;
