;v0.3.1395e1_chain8-4_Inc_Circuit_4All
Theory redundancy (avg) ;2.88;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.88;
Theory redundancy (max) ;2.88;
Manifestations redundancy (avg) ;4.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;4.0;
Manifestations redundancy (max) ;4.0;
Nb of Total number of external subsumes (avg) ;956206.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;956206;
Nb of Total number of external subsumes (max) ;956206;
Total size of Total number of external subsumes (avg) ;1971530.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;1971530;
Total size of Total number of external subsumes (max) ;1971530;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;3.659748741425E12;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;3659748741425;
Product of nb of solve step (max) ;3659748741425;
Product of total size of solve step (avg) ;8.2625527601600992E16;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;82625527601600984;
Product of total size of solve step (max) ;82625527601600984;
Product of max size of solve step (avg) ;5.327532E7;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;53275320;
Product of max size of solve step (max) ;53275320;
Product of min size of solve step (avg) ;16.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;16;
Product of min size of solve step (max) ;16;
Max of nb of solve step (avg) ;1583.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;1583;
Max of nb of solve step (max) ;1583;
Max of total size of solve step (avg) ;26078.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;26078;
Max of total size of solve step (max) ;26078;
Max of max size of solve step (avg) ;90.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;90;
Max of max size of solve step (max) ;90;
Max of min size of solve step (avg) ;2.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;2;
Max of min size of solve step (max) ;2;
Min of nb of solve step (avg) ;1205.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;1205;
Min of nb of solve step (max) ;1205;
Min of total size of solve step (avg) ;14201.0;
Min of total size of solve step (stddev) ;0.0;
