;v0.3.1395e1_chain8_ECAI-CL_Circuit_8All
Theory redundancy (avg) ;1.8;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.8;
Theory redundancy (max) ;1.8;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;42809.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;42809;
Nb of Total number of external subsumes (max) ;42809;
Total size of Total number of external subsumes (avg) ;91895.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;91895;
Total size of Total number of external subsumes (max) ;91895;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;2.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;2;
Min size of Total number of external subsumes (max) ;2;
Product of nb of solve step (avg) ;1.25663801687424E16;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;12566380168742400;
Product of nb of solve step (max) ;12566380168742400;
Product of total size of solve step (avg) ;-6.562169585653461E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;-6562169585653461504;
Product of total size of solve step (max) ;0;
Product of max size of solve step (avg) ;4.33026E11;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;433026000000;
Product of max size of solve step (max) ;433026000000;
Product of min size of solve step (avg) ;6561.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;6561;
Product of min size of solve step (max) ;6561;
Max of nb of solve step (avg) ;224.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;224;
Max of nb of solve step (max) ;224;
Max of total size of solve step (avg) ;2872.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;2872;
Max of total size of solve step (max) ;2872;
Max of max size of solve step (avg) ;45.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;45;
Max of max size of solve step (max) ;45;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;63.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;63;
Min of nb of solve step (max) ;63;
Min of total size of solve step (avg) ;515.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;515;
Min of total size of solve step (max) ;515;
Min of max size of solve step (avg) ;18.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;18;
Min of max size of solve step (max) ;18;
Min of min size of solve step (avg) ;3.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;3;
Min of min size of solve step (max) ;3;
Sum of nb of solve step (avg) ;916.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;916;
Sum of nb of solve step (max) ;916;
Sum of total size of solve step (avg) ;9015.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;9015;
Sum of total size of solve step (max) ;9015;
Sum of max size of solve step (avg) ;235.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;235;
Sum of max size of solve step (max) ;235;
Sum of min size of solve step (avg) ;24.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;24;
Sum of min size of solve step (max) ;24;
Average of nb of solve step (avg) ;114.5;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;114.5;
Average of nb of solve step (max) ;114.5;
Average of total size of solve step (avg) ;1126.875;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;1126.875;
Average of total size of solve step (max) ;1126.875;
Average of max size of solve step (avg) ;29.375;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;29.375;
Average of max size of solve step (max) ;29.375;
Average of min size of solve step (avg) ;3.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;3.0;
Average of min size of solve step (max) ;3.0;
Standard deviation of nb of solve step (avg) ;58.5;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;58.5;
Standard deviation of nb of solve step (max) ;58.5;
Standard deviation of total size of solve step (avg) ;778.6033068097001;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;778.6033068097001;
Standard deviation of total size of solve step (max) ;778.6033068097001;
Standard deviation of max size of solve step (avg) ;7.330373455697875;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;7.330373455697875;
Standard deviation of max size of solve step (max) ;7.330373455697875;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;18432.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;18432;
Product of nb of solve for hyp (max) ;18432;
Product of total size of solve for hyp (avg) ;4.949218340352E13;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;49492183403520;
Product of total size of solve for hyp (max) ;49492183403520;
Product of max size of solve for hyp (avg) ;8.681088735E10;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;86810887350;
Product of max size of solve for hyp (max) ;86810887350;
Product of min size of solve for hyp (avg) ;46656.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;46656;
Product of min size of solve for hyp (max) ;46656;
Max of nb of solve for hyp (avg) ;4.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;4;
Max of nb of solve for hyp (max) ;4;
Max of total size of solve for hyp (avg) ;66.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;66;
Max of total size of solve for hyp (max) ;66;
Max of max size of solve for hyp (avg) ;27.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;27;
Max of max size of solve for hyp (max) ;27;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;2.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;2;
Min of nb of solve for hyp (max) ;2;
Min of total size of solve for hyp (avg) ;19.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;19;
Min of total size of solve for hyp (max) ;19;
Min of max size of solve for hyp (avg) ;11.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;11;
Min of max size of solve for hyp (max) ;11;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;28.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;28;
Sum of nb of solve for hyp (max) ;28;
Sum of total size of solve for hyp (avg) ;441.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;441;
Sum of total size of solve for hyp (max) ;441;
Sum of max size of solve for hyp (avg) ;193.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;193;
Sum of max size of solve for hyp (max) ;193;
Sum of min size of solve for hyp (avg) ;34.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;34;
Sum of min size of solve for hyp (max) ;34;
Average of nb of solve for hyp (avg) ;3.5;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;3.5;
Average of nb of solve for hyp (max) ;3.5;
Average of total size of solve for hyp (avg) ;55.125;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;55.125;
Average of total size of solve for hyp (max) ;55.125;
Average of max size of solve for hyp (avg) ;24.125;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;24.125;
Average of max size of solve for hyp (max) ;24.125;
Average of min size of solve for hyp (avg) ;4.25;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;4.25;
Average of min size of solve for hyp (max) ;4.25;
Standard deviation of nb of solve for hyp (avg) ;0.7071067811865476;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.7071067811865476;
Standard deviation of nb of solve for hyp (max) ;0.7071067811865476;
Standard deviation of total size of solve for hyp (avg) ;16.335831016510912;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;16.335831016510912;
Standard deviation of total size of solve for hyp (max) ;16.335831016510912;
Standard deviation of max size of solve for hyp (avg) ;5.23061898822692;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;5.23061898822692;
Standard deviation of max size of solve for hyp (max) ;5.23061898822692;
Standard deviation of min size of solve for hyp (avg) ;2.165063509461097;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.165063509461097;
Standard deviation of min size of solve for hyp (max) ;2.165063509461097;
Product of nb of solve for extended hyp (avg) ;972.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;972;
Product of nb of solve for extended hyp (max) ;972;
Product of total size of solve for extended hyp (avg) ;5.25932171875E12;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;5259321718750;
Product of total size of solve for extended hyp (max) ;5259321718750;
Product of max size of solve for extended hyp (avg) ;1.515591E11;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;151559100000;
Product of max size of solve for extended hyp (max) ;151559100000;
Product of min size of solve for extended hyp (avg) ;495616.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;495616;
Product of min size of solve for extended hyp (max) ;495616;
Max of nb of solve for extended hyp (avg) ;3.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;3;
Max of nb of solve for extended hyp (max) ;3;
Max of total size of solve for extended hyp (avg) ;55.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;55;
Max of total size of solve for extended hyp (max) ;55;
Max of max size of solve for extended hyp (avg) ;30.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;30;
Max of max size of solve for extended hyp (max) ;30;
