;v0.3.1395e1_chain8_ECAI-CL_Ligne_8All
Theory redundancy (avg) ;2.28;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;2.28;
Theory redundancy (max) ;2.28;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;186593.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;186593;
Nb of Total number of external subsumes (max) ;186593;
Total size of Total number of external subsumes (avg) ;385384.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;385384;
Total size of Total number of external subsumes (max) ;385384;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;7.8374045565577687E18;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;7837404556557768192;
Product of nb of solve step (max) ;7837404556557768192;
Product of total size of solve step (avg) ;9.3723429660129613E17;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;937234296601296192;
Product of total size of solve step (max) ;937234296601296192;
Product of max size of solve step (avg) ;1.51898592384E12;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;1518985923840;
Product of max size of solve step (max) ;1518985923840;
Product of min size of solve step (avg) ;384.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;384;
Product of min size of solve step (max) ;384;
Max of nb of solve step (avg) ;622.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;622;
Max of nb of solve step (max) ;622;
Max of total size of solve step (avg) ;7833.0;
