;v0.3.1395e1_exEcai-2ag_ECAI_Clique_2Summ
Theory redundancy (avg) ;1.3;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.3;
Theory redundancy (max) ;1.3;
Manifestation redundancy (avg) ;2.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;2.0;
Manifestation redundancy (max) ;2.0;
Nb external subsumes (clause) (avg) ;2022.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;2022;
Nb external subsumes (clause) (max) ;2022;
Nb external subsumes (literal) (avg) ;4997.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;4997;
Nb external subsumes (literal) (max) ;4997;
Global Max size of solve step (avg) ;63.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;63;
Global Max size of solve step (max) ;63;
Nb of solve step (avg) ;71.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;71;
Nb of solve step (max) ;71;
Total size of solve step (avg) ;711.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;711;
Total size of solve step (max) ;711;
Global Max size of solve for hyp (avg) ;16.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;16;
Global Max size of solve for hyp (max) ;16;
Nb of solve for hyp (avg) ;5.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;5;
Nb of solve for hyp (max) ;5;
Total size of solve for hyp (avg) ;51.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;51;
Total size of solve for hyp (max) ;51;
Global Max size of solve for extended hyp (avg) ;13.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;13;
Global Max size of solve for extended hyp (max) ;13;
Nb of solve for extended hyp (avg) ;2.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;2;
Nb of solve for extended hyp (max) ;2;
Total size of solve for extended hyp (avg) ;22.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;22;
Total size of solve for extended hyp (max) ;22;
Global Max size of solve for own context (avg) ;17.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;17;
Global Max size of solve for own context (max) ;17;
Nb of solve for own context (avg) ;7.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;7;
Nb of solve for own context (max) ;7;
Total size of solve for own context (avg) ;81.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;81;
Total size of solve for own context (max) ;81;
Global Max size of solve for external context (avg) ;63.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;63;
