;v0.3.1395e2_chain8_ECAI_Ligne_8All
Theory redundancy (avg) ;5.140000000000001;
Theory redundancy (stddev) ;0.020000000000000018;
Theory redundancy (min) ;5.12;
Theory redundancy (max) ;5.16;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;1701707.5;
Nb of Total number of external subsumes (stddev) ;91100.5;
Nb of Total number of external subsumes (min) ;1610607;
Nb of Total number of external subsumes (max) ;1792808;
Total size of Total number of external subsumes (avg) ;3474155.5;
Total size of Total number of external subsumes (stddev) ;187787.5;
Total size of Total number of external subsumes (min) ;3286368;
Total size of Total number of external subsumes (max) ;3661943;
Max size of Total number of external subsumes (avg) ;4.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;4;
Max size of Total number of external subsumes (max) ;4;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;3.556595687893822E18;
Product of nb of solve step (stddev) ;9.27243074316062E18;
Product of nb of solve step (min) ;-6619341389509673472;
Product of nb of solve step (max) ;0;
Product of total size of solve step (avg) ;-3.7998361126545838E18;
Product of total size of solve step (stddev) ;5.2922210710765015E18;
Product of total size of solve step (min) ;-9092057183731085616;
Product of total size of solve step (max) ;1492384958421917696;
Product of max size of solve step (avg) ;1.873128286008E15;
Product of max size of solve step (stddev) ;6.8757127992E13;
Product of max size of solve step (min) ;1804371158016000;
Product of max size of solve step (max) ;1941885414000000;
Product of min size of solve step (avg) ;384.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;384;
Product of min size of solve step (max) ;384;
Max of nb of solve step (avg) ;2612.0;
Max of nb of solve step (stddev) ;243.0;
Max of nb of solve step (min) ;2369;
Max of nb of solve step (max) ;2855;
Max of total size of solve step (avg) ;41129.0;
Max of total size of solve step (stddev) ;6012.0;
Max of total size of solve step (min) ;35117;
Max of total size of solve step (max) ;47141;
Max of max size of solve step (avg) ;90.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;90;
Max of max size of solve step (max) ;90;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;558.0;
Min of nb of solve step (stddev) ;7.0;
Min of nb of solve step (min) ;551;
Min of nb of solve step (max) ;565;
Min of total size of solve step (avg) ;5086.5;
Min of total size of solve step (stddev) ;30.5;
Min of total size of solve step (min) ;5056;
Min of total size of solve step (max) ;5117;
Min of max size of solve step (avg) ;61.5;
Min of max size of solve step (stddev) ;1.5;
Min of max size of solve step (min) ;60;
Min of max size of solve step (max) ;63;
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;11743.0;
Sum of nb of solve step (stddev) ;677.0;
Sum of nb of solve step (min) ;11066;
Sum of nb of solve step (max) ;12420;
Sum of total size of solve step (avg) ;133696.0;
Sum of total size of solve step (stddev) ;10589.0;
Sum of total size of solve step (min) ;123107;
Sum of total size of solve step (max) ;144285;
Sum of max size of solve step (avg) ;656.0;
Sum of max size of solve step (stddev) ;4.0;
Sum of max size of solve step (min) ;652;
Sum of max size of solve step (max) ;660;
Sum of min size of solve step (avg) ;17.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;17;
Sum of min size of solve step (max) ;17;
Average of nb of solve step (avg) ;1467.875;
Average of nb of solve step (stddev) ;84.625;
Average of nb of solve step (min) ;1383.25;
Average of nb of solve step (max) ;1552.5;
Average of total size of solve step (avg) ;16712.0;
Average of total size of solve step (stddev) ;1323.625;
Average of total size of solve step (min) ;15388.375;
Average of total size of solve step (max) ;18035.625;
Average of max size of solve step (avg) ;82.0;
Average of max size of solve step (stddev) ;0.5;
Average of max size of solve step (min) ;81.5;
Average of max size of solve step (max) ;82.5;
Average of min size of solve step (avg) ;2.125;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.125;
Average of min size of solve step (max) ;2.125;
Standard deviation of nb of solve step (avg) ;689.8495837907237;
Standard deviation of nb of solve step (stddev) ;81.44105533307629;
