;v0.3.1395e2_exEcai-3ag_ECAI_Clique_3All
Theory redundancy (avg) ;1.7;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.7;
Theory redundancy (max) ;1.7;
Manifestations redundancy (avg) ;3.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;3.0;
Manifestations redundancy (max) ;3.0;
Nb of Total number of external subsumes (avg) ;7391.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;7391;
Nb of Total number of external subsumes (max) ;7391;
Total size of Total number of external subsumes (avg) ;16670.0;
Total size of Total number of external subsumes (stddev) ;3.0;
Total size of Total number of external subsumes (min) ;16667;
Total size of Total number of external subsumes (max) ;16673;
Max size of Total number of external subsumes (avg) ;6.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;6;
Max size of Total number of external subsumes (max) ;6;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;756000.0;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;756000;
Product of nb of solve step (max) ;756000;
Product of total size of solve step (avg) ;3.99230716E8;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;399230716;
Product of total size of solve step (max) ;399230716;
Product of max size of solve step (avg) ;23125.0;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;23125;
Product of max size of solve step (max) ;23125;
Product of min size of solve step (avg) ;8.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;8;
Product of min size of solve step (max) ;8;
Max of nb of solve step (avg) ;105.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;105;
Max of nb of solve step (max) ;105;
Max of total size of solve step (avg) ;823.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;823;
Max of total size of solve step (max) ;823;
Max of max size of solve step (avg) ;37.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;37;
Max of max size of solve step (max) ;37;
Max of min size of solve step (avg) ;2.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;2;
Max of min size of solve step (max) ;2;
Min of nb of solve step (avg) ;75.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;75;
Min of nb of solve step (max) ;75;
Min of total size of solve step (avg) ;692.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;692;
Min of total size of solve step (max) ;692;
Min of max size of solve step (avg) ;25.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;25;
Min of max size of solve step (max) ;25;
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;276.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;276;
Sum of nb of solve step (max) ;276;
Sum of total size of solve step (avg) ;2216.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;2216;
Sum of total size of solve step (max) ;2216;
Sum of max size of solve step (avg) ;87.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;87;
Sum of max size of solve step (max) ;87;
Sum of min size of solve step (avg) ;6.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;6;
Sum of min size of solve step (max) ;6;
Average of nb of solve step (avg) ;92.0;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;92.0;
Average of nb of solve step (max) ;92.0;
Average of total size of solve step (avg) ;738.6666666666666;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;738.6666666666666;
Average of total size of solve step (max) ;738.6666666666666;
Average of max size of solve step (avg) ;29.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;29.0;
Average of max size of solve step (max) ;29.0;
Average of min size of solve step (avg) ;2.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.0;
Average of min size of solve step (max) ;2.0;
Standard deviation of nb of solve step (avg) ;12.569805089976535;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;12.569805089976535;
Standard deviation of nb of solve step (max) ;12.569805089976535;
Standard deviation of total size of solve step (avg) ;59.74575763646785;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;59.74575763646785;
Standard deviation of total size of solve step (max) ;59.74575763646785;
Standard deviation of max size of solve step (avg) ;5.656854249492381;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;5.656854249492381;
Standard deviation of max size of solve step (max) ;5.656854249492381;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;24.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;24;
Product of nb of solve for hyp (max) ;24;
Product of total size of solve for hyp (avg) ;13024.0;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;13024;
Product of total size of solve for hyp (max) ;13024;
Product of max size of solve for hyp (avg) ;1536.0;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;1536;
Product of max size of solve for hyp (max) ;1536;
Product of min size of solve for hyp (avg) ;168.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;168;
Product of min size of solve for hyp (max) ;168;
Max of nb of solve for hyp (avg) ;4.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;4;
Max of nb of solve for hyp (max) ;4;
Max of total size of solve for hyp (avg) ;37.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;37;
Max of total size of solve for hyp (max) ;37;
Max of max size of solve for hyp (avg) ;16.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;16;
Max of max size of solve for hyp (max) ;16;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;2.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;2;
Min of nb of solve for hyp (max) ;2;
Min of total size of solve for hyp (avg) ;16.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;16;
Min of total size of solve for hyp (max) ;16;
Min of max size of solve for hyp (avg) ;8.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;8;
Min of max size of solve for hyp (max) ;8;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;9.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;9;
Sum of nb of solve for hyp (max) ;9;
Sum of total size of solve for hyp (avg) ;75.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;75;
Sum of total size of solve for hyp (max) ;75;
Sum of max size of solve for hyp (avg) ;36.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;36;
Sum of max size of solve for hyp (max) ;36;
Sum of min size of solve for hyp (avg) ;18.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;18;
