;v0.3.139e1_DAREscheduleBis_ECAI-CL_DARE_8Summ
Theory redundancy (avg) ;3.4615384615384617;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;3.4615384615384617;
Theory redundancy (max) ;3.4615384615384617;
Manifestation redundancy (avg) ;8.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;8.0;
Manifestation redundancy (max) ;8.0;
Nb external subsumes (clause) (avg) ;1144730.0;
Nb external subsumes (clause) (stddev) ;0.0;
Nb external subsumes (clause) (min) ;1144730;
Nb external subsumes (clause) (max) ;1144730;
Nb external subsumes (literal) (avg) ;2744520.0;
Nb external subsumes (literal) (stddev) ;0.0;
Nb external subsumes (literal) (min) ;2744520;
Nb external subsumes (literal) (max) ;2744520;
Global Max size of solve step (avg) ;1944.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;1944;
Global Max size of solve step (max) ;1944;
Nb of solve step (avg) ;8436.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;8436;
Nb of solve step (max) ;8436;
Total size of solve step (avg) ;170533.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;170533;
Total size of solve step (max) ;170533;
Global Max size of solve for hyp (avg) ;105.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;105;
Global Max size of solve for hyp (max) ;105;
Nb of solve for hyp (avg) ;76.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;76;
Nb of solve for hyp (max) ;76;
Total size of solve for hyp (avg) ;2204.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;2204;
Total size of solve for hyp (max) ;2204;
Global Max size of solve for extended hyp (avg) ;1944.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;1944;
Global Max size of solve for extended hyp (max) ;1944;
Nb of solve for extended hyp (avg) ;76.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;76;
Nb of solve for extended hyp (max) ;76;
Total size of solve for extended hyp (avg) ;48550.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;48550;
Total size of solve for extended hyp (max) ;48550;
Global Max size of solve for own context (avg) ;120.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;120;
Global Max size of solve for own context (max) ;120;
Nb of solve for own context (avg) ;1188.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;1188;
Nb of solve for own context (max) ;1188;
Total size of solve for own context (avg) ;29848.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;29848;
Total size of solve for own context (max) ;29848;
Global Max size of solve for external context (avg) ;114.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;114;
Global Max size of solve for external context (max) ;114;
Nb of solve for external context (avg) ;1107.0;
Nb of solve for external context (stddev) ;0.0;
Nb of solve for external context (min) ;1107;
Nb of solve for external context (max) ;1107;
Total size of solve for external context (avg) ;18583.0;
Total size of solve for external context (stddev) ;0.0;
Total size of solve for external context (min) ;18583;
Total size of solve for external context (max) ;18583;
Global Max size of solve for covered manif. (avg) ;92.0;
Global Max size of solve for covered manif. (stddev) ;0.0;
Global Max size of solve for covered manif. (min) ;92;
Global Max size of solve for covered manif. (max) ;92;
Nb of solve for covered manif. (avg) ;1078.0;
Nb of solve for covered manif. (stddev) ;0.0;
Nb of solve for covered manif. (min) ;1078;
Nb of solve for covered manif. (max) ;1078;
Total size of solve for covered manif. (avg) ;24216.0;
Total size of solve for covered manif. (stddev) ;0.0;
Total size of solve for covered manif. (min) ;24216;
Total size of solve for covered manif. (max) ;24216;
Global Max size of solve for prove manif (avg) ;92.0;
Global Max size of solve for prove manif (stddev) ;0.0;
Global Max size of solve for prove manif (min) ;92;
Global Max size of solve for prove manif (max) ;92;
Nb of solve for prove manif (avg) ;292.0;
Nb of solve for prove manif (stddev) ;0.0;
Nb of solve for prove manif (min) ;292;
Nb of solve for prove manif (max) ;292;
Total size of solve for prove manif (avg) ;8417.0;
Total size of solve for prove manif (stddev) ;0.0;
Total size of solve for prove manif (min) ;8417;
Total size of solve for prove manif (max) ;8417;
Global Max size of solve for add manif (avg) ;3.0;
Global Max size of solve for add manif (stddev) ;0.0;
Global Max size of solve for add manif (min) ;3;
Global Max size of solve for add manif (max) ;3;
Nb of solve for add manif (avg) ;7.0;
Nb of solve for add manif (stddev) ;0.0;
Nb of solve for add manif (min) ;7;
Nb of solve for add manif (max) ;7;
Total size of solve for add manif (avg) ;21.0;
Total size of solve for add manif (stddev) ;0.0;
Total size of solve for add manif (min) ;21;
Total size of solve for add manif (max) ;21;
Global Max size of solve for addToTheory (avg) ;42.0;
Global Max size of solve for addToTheory (stddev) ;0.0;
Global Max size of solve for addToTheory (min) ;42;
Global Max size of solve for addToTheory (max) ;42;
Nb of solve for addToTheory (avg) ;155.0;
Nb of solve for addToTheory (stddev) ;0.0;
Nb of solve for addToTheory (min) ;155;
Nb of solve for addToTheory (max) ;155;
Total size of solve for addToTheory (avg) ;1677.0;
Total size of solve for addToTheory (stddev) ;0.0;
Total size of solve for addToTheory (min) ;1677;
Total size of solve for addToTheory (max) ;1677;
Global Max size of solve for hyp (NC) (avg) ;0.0;
Global Max size of solve for hyp (NC) (stddev) ;0.0;
Global Max size of solve for hyp (NC) (min) ;0;
Global Max size of solve for hyp (NC) (max) ;0;
Nb of solve for hyp (NC) (avg) ;0.0;
Nb of solve for hyp (NC) (stddev) ;0.0;
Nb of solve for hyp (NC) (min) ;0;
Nb of solve for hyp (NC) (max) ;0;
Total size of solve for hyp (NC) (avg) ;0.0;
Total size of solve for hyp (NC) (stddev) ;0.0;
Total size of solve for hyp (NC) (min) ;0;
Total size of solve for hyp (NC) (max) ;0;
Global Max size of solve for extended hyp (NC) (avg) ;52.0;
Global Max size of solve for extended hyp (NC) (stddev) ;0.0;
Global Max size of solve for extended hyp (NC) (min) ;52;
Global Max size of solve for extended hyp (NC) (max) ;52;
Nb of solve for extended hyp (NC) (avg) ;2469.0;
Nb of solve for extended hyp (NC) (stddev) ;0.0;
