;v0.3.139e1_DAREscheduleVariant_ECAI-CL_DARE_8All
Theory redundancy (avg) ;1.7058823529411764;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.7058823529411764;
Theory redundancy (max) ;1.7058823529411764;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;216346.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;216346;
Nb of Total number of external subsumes (max) ;216346;
Total size of Total number of external subsumes (avg) ;626824.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;626824;
Total size of Total number of external subsumes (max) ;626824;
Max size of Total number of external subsumes (avg) ;14.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;14;
Max size of Total number of external subsumes (max) ;14;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;2.9804749198828326E17;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;298047491988283296;
Product of nb of solve step (max) ;298047491988283296;
Product of total size of solve step (avg) ;6.6717539032272896E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;6671753903227289600;
Product of total size of solve step (max) ;6671753903227289600;
Product of max size of solve step (avg) ;4.0071105134346688E17;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;400711051343466864;
Product of max size of solve step (max) ;400711051343466864;
Product of min size of solve step (avg) ;27.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;27;
Product of min size of solve step (max) ;27;
Max of nb of solve step (avg) ;1278.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;1278;
Max of nb of solve step (max) ;1278;
Max of total size of solve step (avg) ;25696.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;25696;
Max of total size of solve step (max) ;25696;
Max of max size of solve step (avg) ;793.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;793;
Max of max size of solve step (max) ;793;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;42.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;42;
Min of nb of solve step (max) ;42;
Min of total size of solve step (avg) ;300.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;300;
Min of total size of solve step (max) ;300;
Min of max size of solve step (avg) ;28.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;28;
Min of max size of solve step (max) ;28;
Min of min size of solve step (avg) ;1.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;1;
Min of min size of solve step (max) ;1;
Sum of nb of solve step (avg) ;2229.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;2229;
Sum of nb of solve step (max) ;2229;
Sum of total size of solve step (avg) ;39391.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;39391;
Sum of total size of solve step (max) ;39391;
Sum of max size of solve step (avg) ;2134.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;2134;
Sum of max size of solve step (max) ;2134;
Sum of min size of solve step (avg) ;14.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;14;
Sum of min size of solve step (max) ;14;
Average of nb of solve step (avg) ;278.625;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;278.625;
Average of nb of solve step (max) ;278.625;
Average of total size of solve step (avg) ;4923.875;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;4923.875;
Average of total size of solve step (max) ;4923.875;
Average of max size of solve step (avg) ;266.75;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;266.75;
Average of max size of solve step (max) ;266.75;
Average of min size of solve step (avg) ;1.75;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;1.75;
Average of min size of solve step (max) ;1.75;
Standard deviation of nb of solve step (avg) ;385.3206254212198;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;385.3206254212198;
Standard deviation of nb of solve step (max) ;385.3206254212198;
Standard deviation of total size of solve step (avg) ;8030.96142185822;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;8030.96142185822;
Standard deviation of total size of solve step (max) ;8030.96142185822;
Standard deviation of max size of solve step (avg) ;254.71589565631746;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;254.71589565631746;
Standard deviation of max size of solve step (max) ;254.71589565631746;
Standard deviation of min size of solve step (avg) ;0.9682458365518543;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.9682458365518543;
Standard deviation of min size of solve step (max) ;0.9682458365518543;
Product of nb of solve for hyp (avg) ;27648.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;27648;
Product of nb of solve for hyp (max) ;27648;
Product of total size of solve for hyp (avg) ;1.443614835456E13;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;14436148354560;
Product of total size of solve for hyp (max) ;14436148354560;
Product of max size of solve for hyp (avg) ;4.0226311125E10;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;40226311125;
Product of max size of solve for hyp (max) ;40226311125;
Product of min size of solve for hyp (avg) ;21870.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;21870;
Product of min size of solve for hyp (max) ;21870;
Max of nb of solve for hyp (avg) ;9.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;9;
Max of nb of solve for hyp (max) ;9;
Max of total size of solve for hyp (avg) ;131.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;131;
Max of total size of solve for hyp (max) ;131;
Max of max size of solve for hyp (avg) ;39.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;39;
Max of max size of solve for hyp (max) ;39;
Max of min size of solve for hyp (avg) ;10.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;10;
Max of min size of solve for hyp (max) ;10;
Min of nb of solve for hyp (avg) ;2.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;2;
Min of nb of solve for hyp (max) ;2;
Min of total size of solve for hyp (avg) ;18.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;18;
Min of total size of solve for hyp (max) ;18;
Min of max size of solve for hyp (avg) ;15.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;15;
Min of max size of solve for hyp (max) ;15;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;33.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;33;
Sum of nb of solve for hyp (max) ;33;
Sum of total size of solve for hyp (avg) ;467.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;467;
Sum of total size of solve for hyp (max) ;467;
Sum of max size of solve for hyp (avg) ;180.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;180;
Sum of max size of solve for hyp (max) ;180;
Sum of min size of solve for hyp (avg) ;31.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;31;
Sum of min size of solve for hyp (max) ;31;
Average of nb of solve for hyp (avg) ;4.125;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;4.125;
Average of nb of solve for hyp (max) ;4.125;
Average of total size of solve for hyp (avg) ;58.375;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;58.375;
Average of total size of solve for hyp (max) ;58.375;
Average of max size of solve for hyp (avg) ;22.5;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;22.5;
Average of max size of solve for hyp (max) ;22.5;
Average of min size of solve for hyp (avg) ;3.875;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;3.875;
Average of min size of solve for hyp (max) ;3.875;
Standard deviation of nb of solve for hyp (avg) ;2.2603926650031405;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;2.2603926650031405;
Standard deviation of nb of solve for hyp (max) ;2.2603926650031405;
Standard deviation of total size of solve for hyp (avg) ;41.86268475623607;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;41.86268475623607;
Standard deviation of total size of solve for hyp (max) ;41.86268475623607;
Standard deviation of max size of solve for hyp (avg) ;8.351646544245034;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;8.351646544245034;
Standard deviation of max size of solve for hyp (max) ;8.351646544245034;
Standard deviation of min size of solve for hyp (avg) ;2.315032397181517;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.315032397181517;
Standard deviation of min size of solve for hyp (max) ;2.315032397181517;
Product of nb of solve for extended hyp (avg) ;1080.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;1080;
Product of nb of solve for extended hyp (max) ;1080;
Product of total size of solve for extended hyp (avg) ;1.86406273779610496E17;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;186406273779610500;
Product of total size of solve for extended hyp (max) ;186406273779610500;
Product of max size of solve for extended hyp (avg) ;2.605594016959713E15;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;2605594016959713;
Product of max size of solve for extended hyp (max) ;2605594016959713;
Product of min size of solve for extended hyp (avg) ;3.027619377E9;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;3027619377;
Product of min size of solve for extended hyp (max) ;3027619377;
Max of nb of solve for extended hyp (avg) ;8.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;8;
Max of nb of solve for extended hyp (max) ;8;
Max of total size of solve for extended hyp (avg) ;5500.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;5500;
Max of total size of solve for extended hyp (max) ;5500;
Max of max size of solve for extended hyp (avg) ;793.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;793;
Max of max size of solve for extended hyp (max) ;793;
Max of min size of solve for extended hyp (avg) ;633.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;633;
Max of min size of solve for extended hyp (max) ;633;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;9.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;9;
Min of total size of solve for extended hyp (max) ;9;
Min of max size of solve for extended hyp (avg) ;9.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;9;
Min of max size of solve for extended hyp (max) ;9;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;25.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;25;
Sum of nb of solve for extended hyp (max) ;25;
Sum of total size of solve for extended hyp (avg) ;7945.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;7945;
Sum of total size of solve for extended hyp (max) ;7945;
Sum of max size of solve for extended hyp (avg) ;2004.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;2004;
Sum of max size of solve for extended hyp (max) ;2004;
Sum of min size of solve for extended hyp (avg) ;696.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;696;
Sum of min size of solve for extended hyp (max) ;696;
Average of nb of solve for extended hyp (avg) ;3.125;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;3.125;
Average of nb of solve for extended hyp (max) ;3.125;
Average of total size of solve for extended hyp (avg) ;993.125;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;993.125;
Average of total size of solve for extended hyp (max) ;993.125;
Average of max size of solve for extended hyp (avg) ;250.5;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;250.5;
Average of max size of solve for extended hyp (max) ;250.5;
Average of min size of solve for extended hyp (avg) ;87.0;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;87.0;
Average of min size of solve for extended hyp (max) ;87.0;
Standard deviation of nb of solve for extended hyp (avg) ;2.2603926650031405;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;2.2603926650031405;
