;v0.3.13e10_exEcai-3ag_ECAI-CL_Clique_3Summ
Theory redundancy (avg) ;1.5999999999999999;
Theory redundancy (stddev) ;2.220446049250313E-16;
Theory redundancy (min) ;1.6;
Theory redundancy (max) ;1.6;
Manifestation redundancy (avg) ;3.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;3.0;
Manifestation redundancy (max) ;3.0;
Nb external subsumes (clause) (avg) ;5264.7;
Nb external subsumes (clause) (stddev) ;0.45825756949558405;
Nb external subsumes (clause) (min) ;5264;
Nb external subsumes (clause) (max) ;5265;
Nb external subsumes (literal) (avg) ;11874.7;
Nb external subsumes (literal) (stddev) ;1.9;
Nb external subsumes (literal) (min) ;11870;
Nb external subsumes (literal) (max) ;11877;
Global Max size of solve step (avg) ;37.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;37;
Global Max size of solve step (max) ;37;
Nb of solve step (avg) ;200.0;
Nb of solve step (stddev) ;0.0;
Nb of solve step (min) ;200;
Nb of solve step (max) ;200;
Total size of solve step (avg) ;1794.0;
Total size of solve step (stddev) ;0.0;
Total size of solve step (min) ;1794;
Total size of solve step (max) ;1794;
Global Max size of solve for hyp (avg) ;16.0;
Global Max size of solve for hyp (stddev) ;0.0;
Global Max size of solve for hyp (min) ;16;
Global Max size of solve for hyp (max) ;16;
Nb of solve for hyp (avg) ;11.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;11;
Nb of solve for hyp (max) ;11;
Total size of solve for hyp (avg) ;95.0;
Total size of solve for hyp (stddev) ;0.0;
Total size of solve for hyp (min) ;95;
Total size of solve for hyp (max) ;95;
Global Max size of solve for extended hyp (avg) ;14.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;14;
Global Max size of solve for extended hyp (max) ;14;
Nb of solve for extended hyp (avg) ;5.0;
Nb of solve for extended hyp (stddev) ;0.0;
Nb of solve for extended hyp (min) ;5;
Nb of solve for extended hyp (max) ;5;
Total size of solve for extended hyp (avg) ;58.0;
Total size of solve for extended hyp (stddev) ;0.0;
Total size of solve for extended hyp (min) ;58;
Total size of solve for extended hyp (max) ;58;
Global Max size of solve for own context (avg) ;37.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;37;
Global Max size of solve for own context (max) ;37;
Nb of solve for own context (avg) ;28.0;
Nb of solve for own context (stddev) ;0.0;
Nb of solve for own context (min) ;28;
Nb of solve for own context (max) ;28;
Total size of solve for own context (avg) ;353.0;
Total size of solve for own context (stddev) ;0.0;
Total size of solve for own context (min) ;353;
Total size of solve for own context (max) ;353;
Global Max size of solve for external context (avg) ;36.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;36;
Global Max size of solve for external context (max) ;36;
Nb of solve for external context (avg) ;44.0;
Nb of solve for external context (stddev) ;0.0;
Nb of solve for external context (min) ;44;
Nb of solve for external context (max) ;44;
Total size of solve for external context (avg) ;404.0;
Total size of solve for external context (stddev) ;0.0;
Total size of solve for external context (min) ;404;
Total size of solve for external context (max) ;404;
Global Max size of solve for covered manif. (avg) ;25.0;
Global Max size of solve for covered manif. (stddev) ;0.0;
Global Max size of solve for covered manif. (min) ;25;
Global Max size of solve for covered manif. (max) ;25;
Nb of solve for covered manif. (avg) ;17.0;
Nb of solve for covered manif. (stddev) ;0.0;
Nb of solve for covered manif. (min) ;17;
Nb of solve for covered manif. (max) ;17;
Total size of solve for covered manif. (avg) ;221.0;
Total size of solve for covered manif. (stddev) ;0.0;
Total size of solve for covered manif. (min) ;221;
Total size of solve for covered manif. (max) ;221;
Global Max size of solve for prove manif (avg) ;25.0;
Global Max size of solve for prove manif (stddev) ;0.0;
Global Max size of solve for prove manif (min) ;25;
Global Max size of solve for prove manif (max) ;25;
Nb of solve for prove manif (avg) ;5.0;
Nb of solve for prove manif (stddev) ;0.0;
Nb of solve for prove manif (min) ;5;
Nb of solve for prove manif (max) ;5;
Total size of solve for prove manif (avg) ;111.0;
