;v0.3.13e10_exEcai-3ag_Inc-CL_Clique_3All
Theory redundancy (avg) ;1.5999999999999999;
Theory redundancy (stddev) ;2.220446049250313E-16;
Theory redundancy (min) ;1.6;
Theory redundancy (max) ;1.6;
Manifestations redundancy (avg) ;3.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;3.0;
Manifestations redundancy (max) ;3.0;
Nb of Total number of external subsumes (avg) ;5304.4;
Nb of Total number of external subsumes (stddev) ;0.6633249580710799;
Nb of Total number of external subsumes (min) ;5303;
Nb of Total number of external subsumes (max) ;5305;
Total size of Total number of external subsumes (avg) ;12019.9;
Total size of Total number of external subsumes (stddev) ;1.9209372712298547;
Total size of Total number of external subsumes (min) ;12017;
Total size of Total number of external subsumes (max) ;12022;
Max size of Total number of external subsumes (avg) ;6.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;6;
Max size of Total number of external subsumes (max) ;6;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;231150.0;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;231150;
Product of nb of solve step (max) ;231150;
Product of total size of solve step (avg) ;1.56742E8;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;156742000;
Product of total size of solve step (max) ;156742000;
Product of max size of solve step (avg) ;18500.0;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;18500;
Product of max size of solve step (max) ;18500;
Product of min size of solve step (avg) ;8.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;8;
Product of min size of solve step (max) ;8;
Max of nb of solve step (avg) ;69.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;69;
Max of nb of solve step (max) ;69;
Max of total size of solve step (avg) ;719.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;719;
Max of total size of solve step (max) ;719;
Max of max size of solve step (avg) ;37.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;37;
Max of max size of solve step (max) ;37;
Max of min size of solve step (avg) ;2.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;2;
Max of min size of solve step (max) ;2;
Min of nb of solve step (avg) ;50.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;50;
Min of nb of solve step (max) ;50;
Min of total size of solve step (avg) ;400.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;400;
Min of total size of solve step (max) ;400;
Min of max size of solve step (avg) ;20.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;20;
Min of max size of solve step (max) ;20;
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;186.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;186;
Sum of nb of solve step (max) ;186;
Sum of total size of solve step (avg) ;1664.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;1664;
Sum of total size of solve step (max) ;1664;
Sum of max size of solve step (avg) ;82.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;82;
Sum of max size of solve step (max) ;82;
Sum of min size of solve step (avg) ;6.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;6;
Sum of min size of solve step (max) ;6;
Average of nb of solve step (avg) ;62.0;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;62.0;
Average of nb of solve step (max) ;62.0;
Average of total size of solve step (avg) ;554.6666666666667;
Average of total size of solve step (stddev) ;1.1368683772161603E-13;
Average of total size of solve step (min) ;554.6666666666666;
Average of total size of solve step (max) ;554.6666666666666;
Average of max size of solve step (avg) ;27.333333333333336;
Average of max size of solve step (stddev) ;3.552713678800501E-15;
