;v0.3.13e10_exEcai-3ag_Inc_Clique_3Summ
Theory redundancy (avg) ;1.6999999999999997;
Theory redundancy (stddev) ;2.220446049250313E-16;
Theory redundancy (min) ;1.7;
Theory redundancy (max) ;1.7;
Manifestation redundancy (avg) ;3.0;
Manifestation redundancy (stddev) ;0.0;
Manifestation redundancy (min) ;3.0;
Manifestation redundancy (max) ;3.0;
Nb external subsumes (clause) (avg) ;8105.9;
Nb external subsumes (clause) (stddev) ;110.98058388745302;
Nb external subsumes (clause) (min) ;7966;
Nb external subsumes (clause) (max) ;8198;
Nb external subsumes (literal) (avg) ;18393.4;
Nb external subsumes (literal) (stddev) ;311.6655900159657;
Nb external subsumes (literal) (min) ;18005;
Nb external subsumes (literal) (max) ;18656;
Global Max size of solve step (avg) ;37.0;
Global Max size of solve step (stddev) ;0.0;
Global Max size of solve step (min) ;37;
Global Max size of solve step (max) ;37;
Nb of solve step (avg) ;276.8;
Nb of solve step (stddev) ;6.368673331236264;
Nb of solve step (min) ;269;
Nb of solve step (max) ;282;
Total size of solve step (avg) ;2239.2;
Total size of solve step (stddev) ;69.56550869504227;
Total size of solve step (min) ;2154;
Total size of solve step (max) ;2296;
Global Max size of solve for hyp (avg) ;19.6;
Global Max size of solve for hyp (stddev) ;2.9393876913398134;
Global Max size of solve for hyp (min) ;16;
Global Max size of solve for hyp (max) ;22;
Nb of solve for hyp (avg) ;9.0;
Nb of solve for hyp (stddev) ;0.0;
Nb of solve for hyp (min) ;9;
Nb of solve for hyp (max) ;9;
Total size of solve for hyp (avg) ;86.4;
Total size of solve for hyp (stddev) ;9.308061022576076;
Total size of solve for hyp (min) ;75;
Total size of solve for hyp (max) ;94;
Global Max size of solve for extended hyp (avg) ;15.0;
Global Max size of solve for extended hyp (stddev) ;0.0;
Global Max size of solve for extended hyp (min) ;15;
Global Max size of solve for extended hyp (max) ;15;
Nb of solve for extended hyp (avg) ;5.4;
Nb of solve for extended hyp (stddev) ;0.48989794855663565;
Nb of solve for extended hyp (min) ;5;
Nb of solve for extended hyp (max) ;6;
Total size of solve for extended hyp (avg) ;70.4;
Total size of solve for extended hyp (stddev) ;5.388877434122992;
Total size of solve for extended hyp (min) ;66;
Total size of solve for extended hyp (max) ;77;
Global Max size of solve for own context (avg) ;37.0;
Global Max size of solve for own context (stddev) ;0.0;
Global Max size of solve for own context (min) ;37;
Global Max size of solve for own context (max) ;37;
Nb of solve for own context (avg) ;46.6;
Nb of solve for own context (stddev) ;0.4898979485566356;
Nb of solve for own context (min) ;46;
Nb of solve for own context (max) ;47;
Total size of solve for own context (avg) ;456.4;
Total size of solve for own context (stddev) ;1.9595917942265424;
Total size of solve for own context (min) ;454;
Total size of solve for own context (max) ;458;
Global Max size of solve for external context (avg) ;37.0;
Global Max size of solve for external context (stddev) ;0.0;
Global Max size of solve for external context (min) ;37;
Global Max size of solve for external context (max) ;37;
Nb of solve for external context (avg) ;60.4;
Nb of solve for external context (stddev) ;1.9595917942265426;
Nb of solve for external context (min) ;58;
Nb of solve for external context (max) ;62;
Total size of solve for external context (avg) ;437.0;
Total size of solve for external context (stddev) ;7.3484692283495345;
Total size of solve for external context (min) ;428;
Total size of solve for external context (max) ;443;
Global Max size of solve for covered manif. (avg) ;25.0;
Global Max size of solve for covered manif. (stddev) ;0.0;
Global Max size of solve for covered manif. (min) ;25;
Global Max size of solve for covered manif. (max) ;25;
Nb of solve for covered manif. (avg) ;17.6;
Nb of solve for covered manif. (stddev) ;0.4898979485566356;
Nb of solve for covered manif. (min) ;17;
Nb of solve for covered manif. (max) ;18;
Total size of solve for covered manif. (avg) ;231.6;
Total size of solve for covered manif. (stddev) ;7.8383671769061705;
Total size of solve for covered manif. (min) ;222;
Total size of solve for covered manif. (max) ;238;
Global Max size of solve for prove manif (avg) ;25.0;
Global Max size of solve for prove manif (stddev) ;0.0;
Global Max size of solve for prove manif (min) ;25;
Global Max size of solve for prove manif (max) ;25;
Nb of solve for prove manif (avg) ;6.0;
Nb of solve for prove manif (stddev) ;0.0;
Nb of solve for prove manif (min) ;6;
Nb of solve for prove manif (max) ;6;
Total size of solve for prove manif (avg) ;132.4;
Total size of solve for prove manif (stddev) ;4.40908153700972;
Total size of solve for prove manif (min) ;127;
Total size of solve for prove manif (max) ;136;
Global Max size of solve for add manif (avg) ;8.0;
