infile,outfile,method,timeout,var,csq,max CPU time by SOLAR,min consequences sent,nbAg+,root-extensions,min CPU time by SOLAR,distrib,min total size messages,inferences,min extensions,max inferences,nbConsequencesFound,root-CPU time by SOLAR,nb Messages,root-total size messages,max total size messages,max nb Messages,CPU time by SOLAR,max extensions,max clauses sents,consequences sent,method,root-clauses sents,min nb Messages,root-consequences sent,root-nb Messages,min clauses sents,root-inferences,total time,root,clauses sents,max consequences sent,min inferences,extensions,problem,total size messages
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-2_ld-1--1,SOLAR-Inc-Carc,1200000,_max-2_ld-1--1,Problems/Bio/glucolysis_max-2_ld-1--1_MONO,23468,0,1,8193161,23468,Mono,0,19924389,8193161,19924389,2,23468,0,0,0,0,23468,8193161,0,0,SOLAR-Inc-Carc,0,0,0,0,0,19924389,30803,0,0,0,19924389,8193161,Problems/Bio/glucolysis_max-2_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-4_ld2--1,SOLAR-Inc-Carc,1200000,_max-4_ld2--1,Problems/Bio/glucolysis_max-4_ld2--1_MONO,69052,0,1,27151841,69052,Mono,0,66070131,27151841,66070131,3,69052,0,0,0,0,69052,27151841,0,0,SOLAR-Inc-Carc,0,0,0,0,0,66070131,79863,0,0,0,66070131,27151841,Problems/Bio/glucolysis_max-4_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-4_ld-1--1,SOLAR-Inc-Carc,1200000,_max-4_ld-1--1,Problems/Bio/glucolysis_max-4_ld-1--1_MONO,78855,0,1,27151841,78855,Mono,0,66070131,27151841,66070131,3,78855,0,0,0,0,78855,27151841,0,0,SOLAR-Inc-Carc,0,0,0,0,0,66070131,95432,0,0,0,66070131,27151841,Problems/Bio/glucolysis_max-4_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-6_ld-1--1,SOLAR-Inc-Carc,1200000,_max-6_ld-1--1,Problems/Bio/glucolysis_max-6_ld-1--1_MONO,141559,0,1,46676375,141559,Mono,0,114213219,46676375,114213219,6,141559,0,0,0,0,141559,46676375,0,0,SOLAR-Inc-Carc,0,0,0,0,0,114213219,170223,0,0,0,114213219,46676375,Problems/Bio/glucolysis_max-6_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-4_ld-1--1,SOLAR-Inc-Carc,1200000,_min-4_ld-1--1,Problems/Bio/glucolysis_min-4_ld-1--1_MONO,160807,0,1,46676651,160807,Mono,0,115388399,46676651,115388399,4,160807,0,0,0,0,160807,46676651,0,0,SOLAR-Inc-Carc,0,0,0,0,0,115388399,181590,0,0,0,115388399,46676651,Problems/Bio/glucolysis_min-4_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-5_ld2--1,SOLAR-Inc-Carc,1200000,_max-5_ld2--1,Problems/Bio/glucolysis_max-5_ld2--1_MONO,116844,0,1,34567239,116844,Mono,0,84459082,34567239,84459082,4,116844,0,0,0,0,116844,34567239,0,0,SOLAR-Inc-Carc,0,0,0,0,0,84459082,132534,0,0,0,84459082,34567239,Problems/Bio/glucolysis_max-5_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-5_ld2--1,SOLAR-Inc-Carc,1200000,_min-5_ld2--1,Problems/Bio/glucolysis_min-5_ld2--1_MONO,177547,0,1,63055881,177547,Mono,0,156513286,63055881,156513286,5,177547,0,0,0,0,177547,63055881,0,0,SOLAR-Inc-Carc,0,0,0,0,0,156513286,222611,0,0,0,156513286,63055881,Problems/Bio/glucolysis_min-5_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-5_ld-1--1,SOLAR-Inc-Carc,1200000,_max-5_ld-1--1,Problems/Bio/glucolysis_max-5_ld-1--1_MONO,111192,0,1,34567239,111192,Mono,0,84459082,34567239,84459082,4,111192,0,0,0,0,111192,34567239,0,0,SOLAR-Inc-Carc,0,0,0,0,0,84459082,124800,0,0,0,84459082,34567239,Problems/Bio/glucolysis_max-5_ld-1--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-8_ld2--1,SOLAR-Inc-Carc,1200000,_max-8_ld2--1,Problems/Bio/glucolysis_max-8_ld2--1_MONO,355261,0,1,94400563,355261,Mono,0,236823510,94400563,236823510,16,355261,0,0,0,0,355261,94400563,0,0,SOLAR-Inc-Carc,0,0,0,0,0,236823510,391757,0,0,0,236823510,94400563,Problems/Bio/glucolysis_max-8_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-6_ld2--1,SOLAR-Inc-Carc,1200000,_max-6_ld2--1,Problems/Bio/glucolysis_max-6_ld2--1_MONO,175988,0,1,46676375,175988,Mono,0,114213219,46676375,114213219,6,175988,0,0,0,0,175988,46676375,0,0,SOLAR-Inc-Carc,0,0,0,0,0,114213219,187532,0,0,0,114213219,46676375,Problems/Bio/glucolysis_max-6_ld2--1,0
