problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
ALG002-1.C1i2_all_ld-1--1;Mono;1;Solar;0;3;172;125;1007;3923;0;0;0;0;125;1007;3923;0;0;0;0;125;1007;3923;0;0;0;0;125;1007;3923;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;3;153;144;1007;3923;0;0;0;0;144;1007;3923;0;0;0;0;144;1007;3923;0;0;0;0;144;1007;3923;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;5;1629;1602;82612;297582;0;0;0;0;1602;82612;297582;0;0;0;0;1602;82612;297582;0;0;0;0;1602;82612;297582;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;5;1544;1516;82612;297582;0;0;0;0;1516;82612;297582;0;0;0;0;1516;82612;297582;0;0;0;0;1516;82612;297582;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;3;138;131;1007;3923;0;0;0;0;131;1007;3923;0;0;0;0;131;1007;3923;0;0;0;0;131;1007;3923;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;3;9733;162;1007;3923;0;0;0;0;162;1007;3923;0;0;0;0;162;1007;3923;0;0;0;0;162;1007;3923;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;5;2120;2086;82612;297582;0;0;0;0;2086;82612;297582;0;0;0;0;2086;82612;297582;0;0;0;0;2086;82612;297582;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;1;36;31;5;20;0;0;0;0;31;5;20;0;0;0;0;31;5;20;0;0;0;0;31;5;20;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;1;44;38;34;147;0;0;0;0;38;34;147;0;0;0;0;38;34;147;0;0;0;0;38;34;147;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;3;138;132;1007;3923;0;0;0;0;132;1007;3923;0;0;0;0;132;1007;3923;0;0;0;0;132;1007;3923;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;1;1043;31;9;49;0;0;6;6;23;7;42;0;0;3;3;8;2;7;0;0;3;3;8;7;42;0;0;3;3
ALG002-1.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;1;1039;34;15;66;0;0;6;9;25;10;50;0;0;3;5;9;5;16;0;0;3;4;9;10;50;0;0;3;5
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;1;35;30;5;20;0;0;0;0;30;5;20;0;0;0;0;30;5;20;0;0;0;0;30;5;20;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;Mono;1;Solar;0;3;131;124;1007;3923;0;0;0;0;124;1007;3923;0;0;0;0;124;1007;3923;0;0;0;0;124;1007;3923;0;0;0;0
ALG002-1.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;4;600209;1238;49107;146368;0;0;8;73;1205;48882;145683;0;0;5;48;33;225;685;0;0;3;25;1205;48882;145683;0;0;3;48
ALG002-1.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;1;600197;29;6;25;0;0;4;7;29;6;25;0;0;3;7;0;0;0;0;0;1;0;0;0;0;0;0;1;0
ALG002-1.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;4;600198;1320;52813;156969;0;0;8;79;1285;52552;156078;0;0;5;55;35;261;891;0;0;3;24;1285;52552;156078;0;0;3;55
ALG002-1.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;0;605822;548464;141604;1209275;0;0;2;0;548464;141604;1209275;0;0;1;0;0;0;0;0;0;1;0;548464;141604;1209275;0;0;1;0
ALG002-1.C1i2_all_ld-1-4;_kmet4;4;DICF-PB-Async;0;3;600232;114;137;522;0;0;61;336;52;64;258;0;0;25;118;0;0;0;0;0;1;0;30;35;138;0;0;17;106
ALG002-1.C1i2_all_ld-1-4;_kmet4;4;DICF-PB-Async;0;3;600204;74;79;328;0;0;38;122;44;36;164;0;0;18;59;0;0;0;0;0;1;0;16;19;77;0;0;11;44
ALG002-1.C1i2_all_ld-1-4;_kmet4;4;DICF-PB-Async;0;0;600217;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
ALG002-1.C1i2_all_ld-1-4;_kmet4;4;DICF-PB-Async;0;0;600218;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
ALG002-1.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;3;1046;118;819;3571;0;0;3;3;118;819;3571;0;0;2;3;0;0;0;0;0;1;0;118;819;3571;0;0;2;3
ALG002-1.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;3;1041;220;3067;11879;0;0;6;7;199;3064;11870;0;0;3;5;21;3;9;0;0;3;2;199;3064;11870;0;0;3;5
ALG002-1.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;4;2039;729;19154;70975;0;0;5;57;723;19101;70780;0;0;3;55;6;53;195;0;0;2;2;723;19101;70780;0;0;3;55
