problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;1;1100;37;6;22;0;0;14;9;30;2;8;0;0;4;3;0;0;0;0;0;1;0;30;2;8;0;0;4;3
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;0;600232;0;0;0;0;0;9;4;0;0;0;0;0;3;2;0;0;0;0;0;1;0;0;0;0;0;0;3;2
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;1;5079;40;6;22;0;0;14;9;33;2;8;0;0;4;3;0;0;0;0;0;1;0;33;2;8;0;0;4;3
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;2;1081;60;24;99;0;0;32;27;37;9;38;0;0;10;9;2;2;7;0;0;4;3;37;9;38;0;0;10;9
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;1;1077;37;6;22;0;0;14;9;31;2;8;0;0;4;3;0;0;0;0;0;1;0;31;2;8;0;0;4;3
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;1;1068;33;6;22;0;0;14;9;28;2;8;0;0;4;3;0;0;0;0;0;1;0;28;2;8;0;0;4;3
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;2;1079;50;23;94;0;0;32;27;29;9;38;0;0;10;9;2;2;7;0;0;4;3;29;9;38;0;0;10;9
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;1;1075;32;6;22;0;0;14;9;27;2;8;0;0;4;3;0;0;0;0;0;1;0;27;2;8;0;0;4;3
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;1;1078;32;6;22;0;0;14;9;26;2;8;0;0;4;3;0;0;0;0;0;1;0;26;2;8;0;0;4;3
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;1;1068;30;6;22;0;0;14;9;25;2;8;0;0;4;3;0;0;0;0;0;1;0;25;2;8;0;0;4;3
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;1;1074;32;6;22;0;0;14;9;27;2;8;0;0;4;3;0;0;0;0;0;1;0;27;2;8;0;0;4;3
COM003-2.C2i1_all_ld-1-4;_agent5;5;DICF-PB-NewAsync;0;2;137092;140;20;83;0;0;31;26;109;7;30;0;0;9;8;2;2;7;0;0;4;3;109;7;30;0;0;9;8
