problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,Mono,1,Solar,0,5,1772,1745,166129,563037,0,0,0,0,1745,166129,563037,0,0,0,0,1745,166129,563037,0,0,0,0,1745,166129,563037,0,0,0,0
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,3,1049,211,1122,3721,0,0,9,192,131,732,2409,0,0,5,103,80,390,1312,0,0,4,89,80,390,1312,0,0,4,89
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,3,1047,200,1122,3721,0,0,9,192,116,732,2409,0,0,5,103,84,390,1312,0,0,4,89,84,390,1312,0,0,4,89
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,3,95074,20055,1028827,4711487,0,0,74,32102,11984,528678,2486712,0,0,34,23410,103,1921,10461,0,0,9,213,5451,528678,1950680,0,0,10,213
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,3,91072,19699,1042264,4936917,0,0,68,30838,11829,528646,2560408,0,0,28,21734,178,6683,19898,0,0,9,213,5148,528646,1950523,0,0,10,213
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,3,1069,359,1717,5760,0,0,46,572,187,1073,3606,0,0,15,295,13,42,88,0,0,7,42,107,428,1430,0,0,9,120
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,3,1065,347,1721,5775,0,0,46,572,175,1073,3608,0,0,15,295,11,42,87,0,0,7,42,104,432,1444,0,0,9,120
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,3,1064,264,1115,3812,0,0,32,287,146,728,2399,0,0,11,117,7,17,65,0,0,5,30,88,338,1235,0,0,8,110
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet6,6,DICF+AC0-PB+AC0-Async,0,2,18079,13138,1046906,1935715,0,0,163,18325,7763,667904,1196684,0,0,63,9501,85,1839,11058,0,0,11,38,211,2280,11928,0,0,12,316
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet6,6,DICF+AC0-PB+AC0-Async,0,3,21094,21395,1875227,12369765,0,0,110,2478,19377,1821208,12093232,0,0,28,1096,18,80,235,0,0,8,87,1382,49705,257645,0,0,26,332
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet6,6,DICF+AC0-PB+AC0-Async,0,2,18102,13064,1009469,1860314,0,0,161,17709,7760,667904,1196684,0,0,63,9501,110,1857,11058,0,0,11,38,215,2280,11928,0,0,12,316
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet6,6,DICF+AC0-PB+AC0-Async,0,3,1083,641,3488,14697,0,0,77,1245,288,1718,6902,0,0,26,566,3,56,113,0,0,1,0,147,509,2054,0,0,16,221
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet6,6,DICF+AC0-PB+AC0-Async,0,3,3096,2324,57308,227692,0,0,121,3265,1035,32442,122361,0,0,31,960,16,80,235,0,0,8,87,626,11364,52862,0,0,31,844
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet6,6,DICF+AC0-PB+AC0-Async,0,3,15089,15535,1376557,8888145,0,0,110,2355,13412,1322537,8611608,0,0,28,1096,20,80,235,0,0,8,87,1394,49705,257645,0,0,26,332
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet6,6,DICF+AC0-PB+AC0-Async,0,3,4080,3469,122551,360793,0,0,126,6017,2099,88420,267429,0,0,40,2099,14,80,232,0,0,8,87,375,4567,18391,0,0,35,1720
PUZ019+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-4,+AF8-kmet6,6,DICF+AC0-PB+AC0-Async,0,3,2080,756,7677,33290,0,0,99,1941,310,3710,14612,0,0,29,858,14,70,150,0,0,4,12,162,1042,4243,0,0,17,321
PUZ019-1.C1i2_all_ld2-4;_kmet6;6;DICF-PB-Async;0;3;1081;576;3488;14697;0;0;77;1249;241;1718;6902;0;0;26;566;2;56;113;0;0;1;0;142;509;2054;0;0;16;221
PUZ019-1.C1i2_all_ld2-4;_kmet6;6;DICF-PB-Async;0;1;1078;705;5745;28894;0;0;101;1286;295;3671;20512;0;0;29;477;12;62;238;0;0;9;66;124;420;1958;0;0;19;231
