problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1162;155;1347;3555;0;0;22;38;78;609;1599;0;0;6;10;15;50;130;0;0;5;8;31;582;1558;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1048;156;1347;3555;0;0;22;38;63;609;1599;0;0;6;10;31;50;130;0;0;5;8;31;582;1558;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;0;1765;0;0;0;0;0;9;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;0;1106;109;1174;3031;0;0;9;0;109;1174;3031;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;0;1102;94;1174;3031;0;0;9;0;94;1174;3031;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;0;1096;94;1174;3031;0;0;9;0;94;1174;3031;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;2105;452;1411;3726;0;0;22;38;156;645;1697;0;0;6;10;93;50;130;0;0;5;8;156;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1100;123;1411;3726;0;0;22;38;46;645;1697;0;0;6;10;15;50;130;0;0;5;8;31;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1101;155;1411;3726;0;0;22;38;63;645;1697;0;0;6;10;15;50;130;0;0;5;8;46;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1117;156;1411;3726;0;0;22;38;63;645;1697;0;0;6;10;15;50;130;0;0;5;8;47;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1107;124;1411;3726;0;0;22;38;47;645;1697;0;0;6;10;0;50;130;0;0;5;8;31;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1103;156;1411;3726;0;0;22;38;79;645;1697;0;0;6;10;0;50;130;0;0;5;8;31;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1134;125;1411;3726;0;0;22;38;63;645;1697;0;0;6;10;15;50;130;0;0;5;8;16;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1107;171;1411;3726;0;0;22;38;94;645;1697;0;0;6;10;15;50;130;0;0;5;8;31;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1095;170;1411;3726;0;0;22;38;94;645;1697;0;0;6;10;15;50;130;0;0;5;8;46;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;2105;140;1411;3726;0;0;22;38;47;645;1697;0;0;6;10;15;50;130;0;0;5;8;47;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1102;155;1411;3726;0;0;22;38;78;645;1697;0;0;6;10;15;50;130;0;0;5;8;31;610;1631;0;0;5;10
glucolysis_max-4_ld-1--1;_kmet4;4;DICF-PB-Token-FixedOrder-3-2-1-0;0;3;1111;155;1411;3726;0;0;22;38;63;645;1697;0;0;6;10;15;50;130;0;0;5;8;31;610;1631;0;0;5;10
