problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
toy-pb1;;4;DICF-PB-Async;0;1;1054;46;48;194;0;0;20;21;31;23;92;0;0;8;11;0;4;16;0;0;3;2;31;15;63;0;0;6;5
toy-pb1;;4;DICF-PB-Async;0;0;1053;61;34;135;0;0;18;16;46;14;58;0;0;5;5;0;6;23;0;0;3;2;46;7;26;0;0;5;4
toy-pb1;;4;DICF-PB-Async;0;1;1052;61;51;199;0;0;20;21;46;23;90;0;0;8;11;0;6;23;0;0;3;2;46;15;59;0;0;6;5
test;;2;DICF-PB-Async;0;1;1047;31;21;74;0;0;7;5;31;13;47;0;0;4;3;0;8;27;0;0;3;2;31;8;27;0;0;4;3
test;;2;DICF-PB-Async;0;1;1046;31;24;82;0;0;7;5;31;13;47;0;0;4;3;0;11;35;0;0;3;2;31;11;35;0;0;4;3
test;;2;DICF-PB-Async;0;1;1045;30;25;84;0;0;7;5;15;13;45;0;0;4;3;15;12;39;0;0;3;2;15;12;39;0;0;4;3
test;;2;DICF-PB-Async;0;1;1047;31;24;82;0;0;7;5;31;13;47;0;0;4;3;0;11;35;0;0;3;2;31;11;35;0;0;4;3
test;;2;DICF-PB-Async;0;1;1046;62;25;83;0;0;7;5;31;13;44;0;0;4;3;31;12;39;0;0;3;2;31;12;39;0;0;4;3
test;;2;DICF-PB-Async;0;1;1051;31;20;72;0;0;7;5;31;11;38;0;0;4;3;0;9;34;0;0;3;2;31;11;38;0;0;4;3
test;;2;DICF-PB-Async;0;1;1046;46;23;76;0;0;7;5;31;12;39;0;0;4;3;15;11;37;0;0;3;2;31;12;39;0;0;4;3
toy-pb1;;4;DICF-PB-Async;0;1;1053;46;51;206;0;0;20;21;31;26;108;0;0;8;11;0;5;20;0;0;3;2;31;14;55;0;0;6;5
toy-pb1;;4;DICF-PB-Async;0;0;1054;92;141;577;0;0;33;47;47;47;197;0;0;11;17;15;17;65;0;0;6;6;47;47;197;0;0;11;14
toy-pb1;;4;DICF-PB-Async;0;1;1054;77;50;194;0;0;20;21;62;26;105;0;0;8;11;0;6;23;0;0;3;2;62;12;43;0;0;6;5
toy-pb1;;4;DICF-PB-Async;0;0;1053;31;37;147;0;0;18;16;31;14;56;0;0;5;5;0;6;23;0;0;3;2;31;10;40;0;0;5;4
test;;2;DICF-PB-Async;0;1;2069;109;13;47;0;0;7;5;94;7;25;0;0;4;3;15;6;22;0;0;3;2;94;7;25;0;0;4;3
test;;2;DICF-PB-Async;0;1;1044;62;13;47;0;0;7;5;31;7;25;0;0;4;3;31;6;22;0;0;3;2;31;7;25;0;0;4;3
test;;2;DICF-PB-Async;0;1;1046;31;13;47;0;0;7;5;31;7;25;0;0;4;3;0;6;22;0;0;3;2;31;7;25;0;0;4;3
toy-pb1;;4;DICF-PB-Async;0;0;1055;46;23;97;0;0;18;16;46;7;33;0;0;5;5;0;3;15;0;0;3;2;46;7;26;0;0;5;4
toy-pb1;;4;DICF-PB-Async;0;1;1058;46;87;358;0;0;37;60;46;40;169;0;0;14;32;0;12;47;0;0;6;5;46;20;80;0;0;10;12
toy-pb1;;4;DICF-PB-Async;0;1;1053;76;89;365;0;0;39;65;46;29;122;0;0;12;24;0;16;63;0;0;9;11;46;17;68;0;0;9;11
toy-pb1;;4;DICF-PB-Async;0;1;1055;47;65;269;0;0;32;44;47;25;105;0;0;10;15;0;8;32;0;0;6;6;47;20;80;0;0;9;11
toy-pb1;;4;DICF-PB-Async;0;1;1053;31;74;308;0;0;35;56;31;40;169;0;0;14;32;0;8;32;0;0;6;6;31;14;54;0;0;8;10
toy-pb1;;4;DICF-PB-Async;0;0;1054;91;67;283;0;0;39;56;46;22;88;0;0;11;19;15;8;35;0;0;9;11;46;8;35;0;0;9;11
toy-pb1;;4;DICF-PB-Async;0;1;1055;47;74;306;0;0;32;52;47;40;169;0;0;14;32;0;8;32;0;0;4;3;47;14;54;0;0;8;10
toy-pb1;;4;DICF-PB-Async;0;0;1055;107;40;174;0;0;28;37;62;15;68;0;0;9;16;15;6;26;0;0;6;6;62;6;26;0;0;7;8
toy-pb1;;4;DICF-PB-Async;0;1;1053;31;85;339;0;0;35;57;31;44;179;0;0;13;29;0;5;25;0;0;6;7;31;20;72;0;0;7;7
toy-pb1;;4;DICF-PB-Async;0;1;1052;76;96;399;0;0;45;80;46;50;213;0;0;19;41;0;14;59;0;0;8;10;46;16;64;0;0;8;10
toy-pb1;;4;DICF-PB-Async;0;1;1054;46;34;136;0;0;20;21;31;15;64;0;0;8;11;0;2;9;0;0;3;2;31;11;40;0;0;6;5
toy-pb1;;4;DICF-PB-Async;0;1;1058;107;242;865;0;0;42;93;62;85;290;0;0;12;29;15;34;131;0;0;9;17;62;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1052;92;242;865;0;0;42;93;47;85;290;0;0;12;29;15;34;131;0;0;9;17;47;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1051;155;284;995;0;0;43;97;78;101;342;0;0;12;32;15;47;170;0;0;9;21;78;101;342;0;0;9;22
toy-pb1;;4;DICF-PB-Async;0;1;1052;125;242;865;0;0;42;93;78;85;290;0;0;12;29;0;34;131;0;0;9;17;78;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1054;46;242;865;0;0;42;93;31;85;290;0;0;12;29;0;34;131;0;0;9;17;31;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1055;62;242;865;0;0;42;93;62;85;290;0;0;12;29;0;34;131;0;0;9;17;62;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1053;46;242;865;0;0;42;93;46;85;290;0;0;12;29;0;34;131;0;0;9;17;46;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1054;108;242;865;0;0;42;93;47;85;290;0;0;12;29;15;34;131;0;0;9;17;47;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1053;46;242;865;0;0;42;93;46;85;290;0;0;12;29;0;34;131;0;0;9;17;46;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1053;62;242;865;0;0;42;93;62;85;290;0;0;12;29;0;34;131;0;0;9;17;62;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1053;125;242;865;0;0;42;93;78;85;290;0;0;12;29;0;34;131;0;0;9;17;78;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1053;110;242;865;0;0;42;93;78;85;290;0;0;12;29;0;34;131;0;0;9;17;78;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1052;140;242;865;0;0;42;93;78;85;290;0;0;12;29;15;34;131;0;0;9;17;78;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1052;139;242;865;0;0;42;93;78;85;290;0;0;12;29;15;34;131;0;0;9;17;78;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1054;93;242;865;0;0;42;93;47;85;290;0;0;12;29;0;34;131;0;0;9;17;47;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1070;78;242;865;0;0;42;93;47;85;290;0;0;12;29;0;34;131;0;0;9;17;47;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1761;61;242;865;0;0;42;93;46;85;290;0;0;12;29;0;34;131;0;0;9;17;46;85;290;0;0;9;17
toy-pb1;;4;DICF-PB-Async;0;1;1053;46;52;191;0;0;33;33;31;19;68;0;0;9;10;0;9;34;0;0;8;7;31;14;49;0;0;8;7
toy-pb1;;4;DICF-PB-Async;0;1;1052;46;36;137;0;0;25;22;31;15;57;0;0;8;8;0;3;10;0;0;3;2;31;10;38;0;0;7;6
