problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
testPair_all_ld-1--1;Mono;1;Solar;0;1;180;71;15;43;0;0;0;0;71;15;43;0;0;0;0;71;15;43;0;0;0;0;71;15;43;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;1;89;75;15;43;0;0;0;0;75;15;43;0;0;0;0;75;15;43;0;0;0;0;75;15;43;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;1;863770;106;15;43;0;0;0;0;106;15;43;0;0;0;0;106;15;43;0;0;0;0;106;15;43;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;3;214;105;36;125;0;0;0;0;105;36;125;0;0;0;0;105;36;125;0;0;0;0;105;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;2;145;101;36;125;0;0;0;0;101;36;125;0;0;0;0;101;36;125;0;0;0;0;101;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;2;226;105;36;125;0;0;0;0;105;36;125;0;0;0;0;105;36;125;0;0;0;0;105;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;3;121;97;36;125;0;0;0;0;97;36;125;0;0;0;0;97;36;125;0;0;0;0;97;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;3;183;105;36;125;0;0;0;0;105;36;125;0;0;0;0;105;36;125;0;0;0;0;105;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;3;96;90;36;125;0;0;0;0;90;36;125;0;0;0;0;90;36;125;0;0;0;0;90;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;3;217;98;36;125;0;0;0;0;98;36;125;0;0;0;0;98;36;125;0;0;0;0;98;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;2;173;98;36;125;0;0;0;0;98;36;125;0;0;0;0;98;36;125;0;0;0;0;98;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;2;211;95;36;125;0;0;0;0;95;36;125;0;0;0;0;95;36;125;0;0;0;0;95;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;3;226;99;36;125;0;0;0;0;99;36;125;0;0;0;0;99;36;125;0;0;0;0;99;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;3;100;92;36;125;0;0;0;0;92;36;125;0;0;0;0;92;36;125;0;0;0;0;92;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;3;98;92;36;125;0;0;0;0;92;36;125;0;0;0;0;92;36;125;0;0;0;0;92;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;2;238;109;36;125;0;0;0;0;109;36;125;0;0;0;0;109;36;125;0;0;0;0;109;36;125;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;2;165;106;36;130;0;0;0;0;106;36;130;0;0;0;0;106;36;130;0;0;0;0;106;36;130;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;4;185;105;36;130;0;0;0;0;105;36;130;0;0;0;0;105;36;130;0;0;0;0;105;36;130;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;4;139;99;36;130;0;0;0;0;99;36;130;0;0;0;0;99;36;130;0;0;0;0;99;36;130;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;2;120;109;36;130;0;0;0;0;109;36;130;0;0;0;0;109;36;130;0;0;0;0;109;36;130;0;0;0;0
test2_all_ld-1--1;Mono;1;Solar;0;2;211;84;26;112;0;0;0;0;84;26;112;0;0;0;0;84;26;112;0;0;0;0;84;26;112;0;0;0;0
test2_all_ld-1--1;Mono;1;Solar;0;2;94;52;5;18;0;0;0;0;52;5;18;0;0;0;0;52;5;18;0;0;0;0;52;5;18;0;0;0;0
test2_all_ld-1--1;Mono;1;Solar;0;2;67;60;10;37;0;0;0;0;60;10;37;0;0;0;0;60;10;37;0;0;0;0;60;10;37;0;0;0;0
test2_all_ld-1--1;Mono;1;Solar;0;2;214;82;12;59;0;0;0;0;82;12;59;0;0;0;0;82;12;59;0;0;0;0;82;12;59;0;0;0;0
test2_all_ld-1--1;Mono;1;Solar;0;3;98;91;30;166;0;0;0;0;91;30;166;0;0;0;0;91;30;166;0;0;0;0;91;30;166;0;0;0;0
