problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
testPair_all_ld-1--1;Mono;1;Solar;0;0;7521;7482;1366;2048;0;0;0;0;7482;1366;2048;0;0;0;0;7482;1366;2048;0;0;0;0;7482;1366;2048;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;0;115974;115905;3414;5120;0;0;0;0;115905;3414;5120;0;0;0;0;115905;3414;5120;0;0;0;0;115905;3414;5120;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;0;115674;115510;3414;5120;0;0;0;0;115510;3414;5120;0;0;0;0;115510;3414;5120;0;0;0;0;115510;3414;5120;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;1536;96612;96202;3072;6144;0;0;0;0;96202;3072;6144;0;0;0;0;96202;3072;6144;0;0;0;0;96202;3072;6144;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;0;114648;114498;3414;5120;0;0;0;0;114498;3414;5120;0;0;0;0;114498;3414;5120;0;0;0;0;114498;3414;5120;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;0;93433;93304;3414;5120;0;0;0;0;93304;3414;5120;0;0;0;0;93304;3414;5120;0;0;0;0;93304;3414;5120;0;0;0;0
PUZ008-1.C1i2_all_ld-1--1;Mono;1;Solar;0;5;232;56;38;175;0;0;0;0;56;38;175;0;0;0;0;56;38;175;0;0;0;0;56;38;175;0;0;0;0
PUZ008-1.C1i2_all_ld-1--1;Mono;1;Solar;0;5;165;49;38;175;0;0;0;0;49;38;175;0;0;0;0;49;38;175;0;0;0;0;49;38;175;0;0;0;0
PUZ008-1.C1i2_all_ld-1--1;Mono;1;Solar;0;5;152;50;38;175;0;0;0;0;50;38;175;0;0;0;0;50;38;175;0;0;0;0;50;38;175;0;0;0;0
PUZ008-1.C1i2_all_ld-1--1;Mono;1;Solar;0;5;53;46;38;175;0;0;0;0;46;38;175;0;0;0;0;46;38;175;0;0;0;0;46;38;175;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;10;46;39;63;208;0;0;0;0;39;63;208;0;0;0;0;39;63;208;0;0;0;0;39;63;208;0;0;0;0
testPair_all_ld-1--1;Mono;1;Solar;0;10;42;37;63;208;0;0;0;0;37;63;208;0;0;0;0;37;63;208;0;0;0;0;37;63;208;0;0;0;0
testPair_all_ld-1-2;Mono;1;Solar;0;11;42;37;73;239;0;0;0;0;37;73;239;0;0;0;0;37;73;239;0;0;0;0;37;73;239;0;0;0;0
testPair_all_ld-1-2;Mono;1;Solar;0;4;39;33;41;141;0;0;0;0;33;41;141;0;0;0;0;33;41;141;0;0;0;0;33;41;141;0;0;0;0
testPair_all_ld-1-2;Mono;1;Solar;0;4;41;35;41;141;0;0;0;0;35;41;141;0;0;0;0;35;41;141;0;0;0;0;35;41;141;0;0;0;0
