problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
PUZ008-3.C2i1_all_ld-1--1;Mono;1;SOLAR-Inc;0;28;304;186;400;1396;0;0;0;0;186;400;1396;0;0;0;0;186;400;1396;0;0;0;0;186;400;1396;0;0;0;0
PUZ008-3.C2i1_all_ld-1--1;Mono;1;Solar-Carc;0;28;193;183;400;1396;0;0;0;0;183;400;1396;0;0;0;0;183;400;1396;0;0;0;0;183;400;1396;0;0;0;0
PUZ008-3.C2i1_all_ld-1--1;Mono;1;Solar;0;28;245;179;400;1396;0;0;0;0;179;400;1396;0;0;0;0;179;400;1396;0;0;0;0;179;400;1396;0;0;0;0
PUZ008-3.C2i1_all_ld-1--1;_agent2;2;DICF-PB-Star;0;0;600289;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
PUZ008-3.C2i1_all_ld-1--1;_agent2;2;DICF-PB-Star-FixedRoot-1;0;0;600299;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
PUZ008-3.C2i1_all_ld-1--1;_agent2;2;DICF-PB-Async;0;0;600269;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
PUZ008-3.C2i1_all_ld-1--1;_agent2;2;DICF-PB-NewAsync;0;0;600273;148;353;1059;0;0;378;376;148;353;1059;0;0;377;376;0;0;0;0;0;1;0;0;0;0;0;0;377;376
PUZ008-3.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Star;0;1;74129;72502;1392271;6798311;0;0;16;312;72261;1391960;6797530;0;0;8;311;40;1;4;0;0;2;0;72261;1391960;6797530;0;0;8;311
PUZ008-3.C2i1_all_ld-1--1;_agent4;4;DICF-PB-NewAsync;0;1;600296;290;756;2646;0;0;782;778;136;378;1508;0;0;777;776;0;0;0;0;0;1;0;0;0;0;0;0;777;776
PUZ008-3.C2i1_all_ld-1--1;_agent4;4;DICF-PB-Star-FixedRoot-1;0;1;73128;71930;1392117;6798004;0;0;14;159;71795;1391960;6797530;0;0;7;156;0;0;0;0;0;2;0;71795;1391960;6797530;0;0;3;156
