problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,SOLAR+AC0-Inc,0,1,69,58,36,124,0,0,0,0,58,36,124,0,0,0,0,58,36,124,0,0,0,0,58,36,124,0,0,0,0
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar+AC0-Carc,0,1,66,57,36,124,0,0,0,0,57,36,124,0,0,0,0,57,36,124,0,0,0,0,57,36,124,0,0,0,0
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,Mono,1,Solar,0,1,66,58,36,124,0,0,0,0,58,36,124,0,0,0,0,58,36,124,0,0,0,0,58,36,124,0,0,0,0
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,1,1107,92,158,671,0,0,8,8,54,139,583,0,0,5,5,38,19,88,0,0,3,3,38,139,583,0,0,5,3
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1102,89,156,660,0,0,6,6,55,137,572,0,0,4,4,34,19,88,0,0,2,2,34,137,572,0,0,2,2
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,1,1102,89,156,660,0,0,5,6,55,137,572,0,0,3,4,34,19,88,0,0,2,2,34,137,572,0,0,2,2
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-NewAsync,0,1,1102,69,32,143,0,0,7,5,60,17,78,0,0,5,4,9,15,65,0,0,2,1,9,15,65,0,0,2,1
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-xagent2,2,DICF+AC0-PB+AC0-Star,0,1,1102,75,79,309,0,0,8,9,57,56,201,0,0,5,7,18,23,108,0,0,3,2,57,23,108,0,0,5,7
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-xagent2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1102,77,80,312,0,0,8,11,58,57,204,0,0,5,8,19,23,108,0,0,3,3,58,23,108,0,0,3,8
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-xagent2,2,DICF+AC0-PB+AC0-Async,0,1,1102,77,79,309,0,0,7,10,58,56,201,0,0,4,7,19,23,108,0,0,3,3,58,23,108,0,0,4,7
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-xagent2,2,DICF+AC0-PB+AC0-NewAsync,0,0,1103,89,66,313,0,0,12,10,74,46,222,0,0,9,8,15,20,91,0,0,3,2,74,46,222,0,0,9,8
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,1,1119,103,104,537,0,0,28,32,56,46,226,0,0,14,16,9,13,76,0,0,4,5,24,46,226,0,0,14,16
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-NewAsync,0,1,1119,145,68,387,0,0,48,44,73,21,119,0,0,15,14,21,15,88,0,0,9,8,24,15,89,0,0,15,14
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1118,108,146,722,0,0,24,28,52,69,329,0,0,12,13,9,10,47,0,0,3,4,21,54,280,0,0,4,7
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,1,1119,113,143,757,0,0,24,34,69,54,280,0,0,12,18,11,19,107,0,0,3,3,21,54,280,0,0,3,7
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,1,1119,107,117,619,0,0,26,25,54,48,253,0,0,13,10,13,13,66,0,0,4,5,13,24,122,0,0,4,5
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,1,1120,104,112,580,0,0,26,31,61,42,199,0,0,7,9,12,21,123,0,0,6,7,16,42,199,0,0,7,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,1,1119,120,148,790,0,0,30,42,56,59,317,0,0,9,16,18,20,98,0,0,7,7,28,59,317,0,0,9,16
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-2+AC0-1+AC0-0,0,1,1120,102,101,525,0,0,29,30,51,48,249,0,0,9,11,8,7,37,0,0,6,4,23,48,249,0,0,9,11
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-1+AC0-0+AC0-3,0,1,1120,105,129,643,0,0,26,30,51,57,303,0,0,8,11,8,7,37,0,0,6,4,25,57,303,0,0,8,11
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-0+AC0-3+AC0-2,0,1,1119,101,101,525,0,0,29,30,51,48,249,0,0,9,11,7,7,37,0,0,6,4,23,48,249,0,0,9,11
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-0+AC0-3+AC0-2+AC0-1,0,1,1121,102,101,525,0,0,28,30,52,48,249,0,0,9,11,7,7,37,0,0,6,4,23,48,249,0,0,9,11
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-0,0,1,1121,103,112,580,0,0,25,31,61,42,199,0,0,7,9,12,21,123,0,0,6,7,16,42,199,0,0,6,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-0+AC0-1,0,1,1120,105,112,580,0,0,24,31,60,42,199,0,0,7,9,13,21,123,0,0,5,7,17,42,199,0,0,6,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-0+AC0-1+AC0-2,0,1,1121,105,112,580,0,0,27,31,61,42,199,0,0,7,9,13,21,123,0,0,6,7,16,42,199,0,0,7,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld+AC0-1+AC0ALQ-1,+AF8-xagent4,4,DICF+AC0-PB+AC0-Star,0,1,1117,117,209,961,0,0,22,33,66,146,636,0,0,11,18,4,10,51,0,0,3,3,66,43,217,0,0,11,18
