problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
RNG005-2.C1i2_all_ld-1-4;Mono;1;SOLAR-Inc;0;12214;605873;600022;774160;2222080;0;0;0;0;600022;774160;2222080;0;0;0;0;600022;774160;2222080;0;0;0;0;600022;774160;2222080;0;0;0;0
RNG005-2.C1i2_all_ld-1-4;Mono;1;Solar-Carc;0;12328;604026;600208;819490;2196480;0;0;0;0;600208;819490;2196480;0;0;0;0;600208;819490;2196480;0;0;0;0;600208;819490;2196480;0;0;0;0
RNG005-2.C1i2_all_ld-1-4;Mono;1;Solar;0;12898;604049;600245;856770;2294784;0;0;0;0;600245;856770;2294784;0;0;0;0;600245;856770;2294784;0;0;0;0;600245;856770;2294784;0;0;0;0
RNG005-2.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Star;0;0;600525;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
RNG005-2.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Star-FixedRoot-1;0;0;600962;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
RNG005-2.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;0;600648;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
RNG005-2.C1i2_all_ld-1-4;_kmet2;2;DICF-PB-NewAsync;0;0;600407;159;40;160;0;0;3623;3621;159;40;160;0;0;1997;1996;0;0;0;0;0;1626;1625;159;40;160;0;0;1997;1996
RNG005-2.C1i2_all_ld-1-4;_kmet4;4;DICF-PB-Star;0;0;600480;0;0;0;0;0;9;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0
RNG005-2.C1i2_all_ld-1-4;_kmet4;4;DICF-PB-NewAsync;0;0;600432;0;0;0;0;0;32051;32047;0;0;0;0;0;9154;9153;0;0;0;0;0;7100;7099;0;0;0;0;0;7100;7099
RNG005-2.C1i2_all_ld-1-4;_kmet4;4;DICF-PB-Star-FixedRoot-1;0;0;600462;0;0;0;0;0;9;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
RNG005-2.C1i2_all_ld-1-4;_kmet4;4;DICF-PB-Star-FixedRoot-2;0;0;600540;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
RNG005-2.C1i2_all_ld-1-4;_kmet4;4;DICF-PB-Token;0;0;600488;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
RNG005-2.C1i2_all_ld-1-4;_kmet4;4;DICF-PB-Async;0;0;600370;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
RNG005-2.C1i2_all_ld-1-4;_kmet8;8;DICF-PB-Async;0;0;600680;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
RNG005-2.C1i2_all_ld-1-4;_kmet8;8;DICF-PB-NewAsync;0;0;600498;49;7;43;0;0;67027;67019;49;7;43;0;0;14231;14230;0;0;0;0;0;1;0;0;0;0;0;0;9841;9840
RNG005-2.C1i2_all_ld-1-4;_kmet8;8;DICF-PB-Star;0;0;600701;0;0;0;0;0;21;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;8;0
RNG005-2.C1i2_all_ld-1-4;_kmet8;8;DICF-PB-Star-FixedRoot-1;0;0;600766;0;0;0;0;0;21;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
RNG005-2.C1i2_all_ld-1-4;_kmet8;8;DICF-PB-Star-FixedRoot-2;0;0;600695;0;0;0;0;0;21;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
RNG005-2.C1i2_all_ld-1-4;_kmet8;8;DICF-PB-Star-FixedRoot-3;0;0;600761;0;0;0;0;0;21;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
RNG005-2.C1i2_all_ld-1-4;_kmet8;8;DICF-PB-Star-FixedRoot-4;0;0;600789;0;0;0;0;0;21;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
RNG005-2.C1i2_all_ld-1-4;_kmet8;8;DICF-PB-Star-FixedRoot-5;0;0;600542;0;0;0;0;0;21;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
RNG005-2.C1i2_all_ld-1-4;_kmet8;8;DICF-PB-Star-FixedRoot-6;0;0;600773;0;0;0;0;0;21;0;0;0;0;0;0;8;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
