problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
RNG006-2.C2i1_all_ld-1-4;Mono;1;SOLAR-Inc;0;28390;636720;600545;2837;114688;0;0;0;0;600545;2837;114688;0;0;0;0;600545;2837;114688;0;0;0;0;600545;2837;114688;0;0;0;0
RNG006-2.C2i1_all_ld-1-4;Mono;1;Solar-Carc;0;29658;613959;605505;2935;120832;0;0;0;0;605505;2935;120832;0;0;0;0;605505;2935;120832;0;0;0;0;605505;2935;120832;0;0;0;0
RNG006-2.C2i1_all_ld-1-4;Mono;1;Solar;0;27911;615142;604560;2797;112640;0;0;0;0;604560;2797;112640;0;0;0;0;604560;2797;112640;0;0;0;0;604560;2797;112640;0;0;0;0
RNG006-2.C2i1_all_ld-1-4;_kmet2;2;DICF-PB-Star;0;0;600629;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
RNG006-2.C2i1_all_ld-1-4;_kmet2;2;DICF-PB-Star-FixedRoot-1;0;0;600113;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
RNG006-2.C2i1_all_ld-1-4;_kmet2;2;DICF-PB-Async;0;0;600841;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
RNG006-2.C2i1_all_ld-1-4;_kmet2;2;DICF-PB-NewAsync;0;0;600188;0;0;0;0;0;6472;6470;0;0;0;0;0;3508;3507;0;0;0;0;0;2964;2963;0;0;0;0;0;3508;3507
RNG006-2.C2i1_all_ld-1-4;_kmet4;4;DICF-PB-Star;0;0;600868;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
RNG006-2.C2i1_all_ld-1-4;_kmet4;4;DICF-PB-NewAsync;0;0;600781;0;0;0;0;0;30025;30021;0;0;0;0;0;8323;8322;0;0;0;0;0;5818;5817;0;0;0;0;0;5818;5817
RNG006-2.C2i1_all_ld-1-4;_kmet4;4;DICF-PB-Star-FixedRoot-1;0;0;601061;0;0;0;0;0;9;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0
