problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,Mono,1,SOLAR+AC0-Inc,0,9,711,448,69,222,0,0,0,0,448,69,222,0,0,0,0,448,69,222,0,0,0,0,448,69,222,0,0,0,0
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,Mono,1,Solar+AC0-Carc,0,9,206,148,69,193,0,0,0,0,148,69,193,0,0,0,0,148,69,193,0,0,0,0,148,69,193,0,0,0,0
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,9,1223,181,90,330,0,0,8,19,122,48,165,0,0,5,12,59,42,165,0,0,3,7,122,42,165,0,0,5,12
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,9,1203,185,92,340,0,0,8,21,134,57,211,0,0,5,12,51,35,129,0,0,3,9,51,35,129,0,0,3,9
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,9,1194,140,83,294,0,0,4,9,79,48,165,0,0,2,6,61,35,129,0,0,2,3,61,35,129,0,0,2,6
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet2,2,DICF+AC0-PB+AC0-NewAsync,0,9,1196,179,83,294,0,0,4,9,103,48,165,0,0,2,6,76,35,129,0,0,2,3,103,35,129,0,0,2,6
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-NewAsync,0,9,1442,188,78,265,0,0,7,9,54,27,92,0,0,2,3,39,9,37,0,0,1,0,39,27,92,0,0,2,3
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-0+AC0-3+AC0-2,0,9,1349,200,132,538,0,0,16,86,93,42,168,0,0,5,27,25,24,113,0,0,3,18,43,42,168,0,0,4,20
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-0+AC0-3+AC0-2+AC0-1,0,9,1355,191,132,538,0,0,17,86,86,42,168,0,0,5,27,22,24,112,0,0,4,18,86,42,168,0,0,4,20
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-0,0,9,1403,206,132,538,0,0,17,87,82,42,167,0,0,5,27,35,24,113,0,0,4,18,35,42,167,0,0,5,27
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-0+AC0-1,0,9,1356,162,132,538,0,0,17,87,76,42,168,0,0,5,30,25,24,112,0,0,4,18,26,42,168,0,0,4,18
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-0+AC0-1+AC0-2,0,9,1365,185,132,538,0,0,15,87,82,42,168,0,0,5,27,21,24,113,0,0,3,18,39,42,168,0,0,5,27
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-1+AC0-0+AC0-3,0,9,1369,182,132,538,0,0,17,86,77,42,168,0,0,5,27,25,24,113,0,0,4,18,42,42,168,0,0,4,20
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,9,1352,146,78,265,0,0,7,9,43,27,92,0,0,2,3,26,9,37,0,0,1,0,26,27,92,0,0,2,3
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,9,1331,176,93,341,0,0,16,30,103,27,113,0,0,8,15,22,18,55,0,0,2,3,26,27,92,0,0,3,3
