problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ008+AC0-1.C1i2+AF8-all+AF8-ld2+AC0ALQ-1,Mono,1,Solar+AC0-Carc,0,16,1092,118,38,202,0,0,0,0,118,38,202,0,0,0,0,118,38,202,0,0,0,0,118,38,202,0,0,0,0
PUZ008+AC0-1.C1i2+AF8-all+AF8-ld2+AC0ALQ-1,Mono,1,SOLAR+AC0-Inc,0,16,1365,117,38,202,0,0,0,0,117,38,202,0,0,0,0,117,38,202,0,0,0,0,117,38,202,0,0,0,0
PUZ008+AC0-1.C1i2+AF8-all+AF8-ld2+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,21,4669,221,68,274,0,0,10,68,117,45,186,0,0,6,42,104,23,88,0,0,4,26,117,23,88,0,0,6,42
PUZ008+AC0-1.C1i2+AF8-all+AF8-ld2+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,26,4643,218,68,274,0,0,12,73,115,45,186,0,0,7,52,103,23,88,0,0,5,21,115,23,88,0,0,5,21
PUZ008+AC0-1.C1i2+AF8-all+AF8-ld2+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,29,4693,219,68,274,0,0,14,94,115,45,186,0,0,7,52,104,23,88,0,0,7,42,115,23,88,0,0,7,42
PUZ008+AC0-1.C1i2+AF8-all+AF8-ld2+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,30,5879,632,121,451,0,0,60,198,194,43,177,0,0,30,120,131,22,79,0,0,10,22,133,30,98,0,0,30,120
PUZ008+AC0-1.C1i2+AF8-all+AF8-ld2+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,30,2135,381,91,353,0,0,32,138,158,43,175,0,0,16,90,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ008+AC0-1.C1i2+AF8-all+AF8-ld2+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,22,2135,442,89,342,0,0,32,120,166,42,172,0,0,16,66,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ008+AC0-1.C1i2+AF8-all+AF8-ld2+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,26,2135,428,93,356,0,0,32,129,168,45,180,0,0,16,78,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ008+AC0-1.C1i2+AF8-all+AF8-ld2+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,22,2137,433,117,434,0,0,36,173,157,44,178,0,0,10,66,68,22,81,0,0,8,26,68,26,84,0,0,9,26
