problem,distrib,nbAg+,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root-CPU time by SOLAR,root-extensions,root-inferences,root-consequences sent,root-clauses sents,root-nb Messages,root-total size messages
PUZ008-3.C2i1_all_ld-1--1,_kmet2,2,DICF-PB-Token,0,0,700226,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
PUZ008-3.C2i1_all_ld-1--1,_kmet2,2,DICF-PB-Star,0,42,11092,8878,113900,658346,0,0,16,948,5881,80447,380389,0,0,9,712,2997,33453,277957,0,0,7,236,5881,33453,277957,0,0,9,712
PUZ008-3.C2i1_all_ld-1--1,_kmet2,2,DICF-PB-Star-FixedRoot-1,0,42,11076,7954,113900,658346,0,0,14,948,5382,80447,380389,0,0,8,670,2572,33453,277957,0,0,6,278,5382,33453,277957,0,0,6,670
PUZ008-3.C2i1_all_ld-1--1,_kmet2,2,DICF-PB-Async,0,42,11088,7909,113900,658346,0,0,22,1812,5320,80447,380389,0,0,11,1340,2589,33453,277957,0,0,11,472,5320,33453,277957,0,0,11,1340
PUZ008-3.C2i1_all_ld-1--1,_kmet2,2,DICF-PB-Token-FixedOrder-1-0,0,0,700113,452,555,3772,0,0,2,0,452,555,3772,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PUZ008-3.C2i1_all_ld-1--1,Mono,1,Solar-TrueNc,0,83,712114,699789,7572849,68663296,0,0,0,0,699789,7572849,68663296,0,0,0,0,699789,7572849,68663296,0,0,0,0,699789,7572849,68663296,0,0,0,0
PUZ008-3.C2i1_all_ld-1--1,_kmet4,4,DICF-PB-Star,0,0,700787,61916,95032,734630,0,0,20,19824,42807,60609,413322,0,0,10,19701,62,26,187,0,0,3,22,42807,60609,413322,0,0,10,19701
PUZ008-3.C2i1_all_ld-1--1,_kmet4,4,DICF-PB-Token,0,0,700905,671,940,7500,0,0,12,179,421,709,5343,0,0,3,73,15,9,50,0,0,3,9,15,9,50,0,0,3,9
PUZ008-3.C2i1_all_ld-1--1,_kmet4,4,DICF-PB-Token-FixedOrder-3-2-1-0,0,42,646798,92054,132957,963549,0,0,34,20479,75521,91684,590115,0,0,10,18780,155,1009,7129,0,0,8,522,75521,91684,590115,0,0,8,18780
PUZ008-3.C2i1_all_ld-1--1,_kmet4,4,DICF-PB-Star-FixedRoot-3,0,0,700741,746,701,5394,0,0,15,218,296,511,3895,0,0,7,96,15,9,50,0,0,2,9,15,9,50,0,0,2,9
PUZ008-3.C2i1_all_ld-1--1,_kmet4,4,DICF-PB-Star-FixedRoot-3,0,0,700483,607,701,5394,0,0,15,218,328,511,3895,0,0,7,96,15,9,50,0,0,2,9,15,9,50,0,0,2,9
PUZ008-3.C2i1_all_ld-1--1,_kmet4,4,DICF-PB-Async,0,334,786745,221306,204708,1692245,0,0,888,80354,125517,64294,554965,0,0,345,35714,20093,30238,250999,0,0,34,3084,125517,64294,438398,0,0,34,35714
PUZ008-3.C2i1_all_ld-1--1,_kmet6,6,DICF-PB-Star,0,0,706241,215171,310017,2480919,0,0,66,65281,63461,239630,1580350,0,0,31,37959,12792,7532,132804,0,0,7,50,52165,239630,1580350,0,0,31,37959
PUZ008-3.C2i1_all_ld-1--1,_kmet6,6,DICF-PB-Star-FixxedRoot-1,0,0,701613,245260,309843,2480293,0,0,66,65281,81181,239630,1580350,0,0,31,37959,12433,7532,132148,0,0,7,50,81181,239630,1580350,0,0,31,37959
PUZ008-3.C2i1_all_ld-1--1,_kmet6,6,DICF-PB-Star-FixedRoot-1,0,0,916405,590308,444633,3108144,0,0,46,49519,548373,413414,2736503,0,0,21,27329,2700,2805,50407,0,0,5,52,548373,413414,2736503,0,0,5,27329
PUZ008-3.C2i1_all_ld-1--1,_kmet4,4,DICF-PB-Star-FixedRoot-1,0,0,600224,233112,209735,1704399,0,0,21,29887,121756,121141,941062,0,0,10,16773,8459,20551,136688,0,0,3,102,28726,20551,136688,0,0,3,6255
PUZ008-3.C2i1_all_ld-1--1,_kmet4,4,DICF-PB-Star-FixedRoot-2,0,0,600673,939,977,7769,0,0,21,358,387,455,3472,0,0,10,183,14,13,68,0,0,3,13,14,13,68,0,0,3,13
PUZ008-3.C2i1_all_ld-1--1,_kmet4,4,DICF-PB-Star,0,0,600931,289208,240101,1953652,0,0,22,33450,141894,97580,793748,0,0,10,19701,12917,34291,320382,0,0,4,61,33846,60609,413322,0,0,10,19701
PUZ008-3.C2i1_all_ld2--1,_kmet2,2,DICF-PB-Async,0,42,11104,8331,113900,658346,0,0,22,1812,5679,80447,380389,0,0,11,1340,2652,33453,277957,0,0,11,472,5679,33453,277957,0,0,11,1340
PUZ008-3.C2i1_all_ld5--1,Mono,1,Solar-Carc,0,83,707833,699773,8009292,72580096,0,0,0,0,699773,8009292,72580096,0,0,0,0,699773,8009292,72580096,0,0,0,0,699773,8009292,72580096,0,0,0,0
PUZ008-3.C2i1_all_ld5--1,_kmet2,2,DICF-PB-Async,0,42,11085,8159,113900,658346,0,0,22,1812,5569,80447,380389,0,0,11,1340,2590,33453,277957,0,0,11,472,5569,33453,277957,0,0,11,1340
PUZ008-3.C2i1_all_ld5--1,_kmet2,2,DICF-PB-Async-PruneCsq,0,42,32127,28890,175089,609124,0,0,22,1812,18796,111042,440879,0,0,11,1340,10094,64047,168245,0,0,11,472,18796,111042,440879,0,0,11,1340
