,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,Mono,1,Solar+AC0-Carc,0,1,408,41,12,26,0,0,0,0,41,12,26,0,0,0,0,41,12,26,0,0,0,0,41,12,26,0,0,0,0
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,Mono,1,SOLAR+AC0-Inc,0,1,492,55,12,29,0,0,0,0,55,12,29,0,0,0,0,55,12,29,0,0,0,0,55,12,29,0,0,0,0
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,1,1521,42,13,39,0,0,5,3,39,10,25,0,0,3,2,3,3,14,0,0,2,1,39,10,25,0,0,3,2
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,1,1440,42,13,39,0,0,6,3,39,10,25,0,0,4,2,3,3,14,0,0,2,1,39,10,25,0,0,4,2
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,1,1467,43,16,48,0,0,6,5,39,10,25,0,0,4,4,4,6,23,0,0,2,1,39,10,25,0,0,2,4
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,5,1136,51,32,115,0,0,13,20,29,20,62,0,0,7,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,5,1542,60,44,161,0,0,20,32,27,20,62,0,0,10,14,0,0,0,0,0,3,0,8,12,46,0,0,10,14
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,5,1114,49,35,123,0,0,14,23,42,20,62,0,0,7,12,0,0,0,0,0,2,0,0,0,0,0,0,2,0
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,5,1117,48,34,119,0,0,16,17,40,22,67,0,0,8,10,0,0,0,0,0,2,0,0,0,0,0,0,3,0
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,5,1115,58,44,161,0,0,20,32,28,20,62,0,0,10,14,0,0,0,0,0,3,0,0,0,0,0,0,3,0
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,5,1115,63,52,195,0,0,18,47,44,21,64,0,0,6,17,5,8,34,0,0,3,8,5,8,34,0,0,4,8
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-0+AC0-3+AC0-2+AC0-1,0,5,1109,55,52,191,0,0,14,48,39,20,61,0,0,5,16,4,8,33,0,0,3,8,4,9,36,0,0,3,9
