problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
PUZ029-1.C2i1_all_ld-1--1;Mono;1;SOLAR-Inc;0;1;539;52;36;124;0;0;0;0;52;36;124;0;0;0;0;52;36;124;0;0;0;0;52;36;124;0;0;0;0
PUZ029-1.C2i1_all_ld-1--1;Mono;1;Solar-Carc;0;1;453;50;36;124;0;0;0;0;50;36;124;0;0;0;0;50;36;124;0;0;0;0;50;36;124;0;0;0;0
PUZ029-1.C2i1_all_ld-1--1;_kmet2;2;DICF-PB-Star-FixedRoot-1;0;1;1486;75;156;660;0;0;6;6;43;137;572;0;0;4;4;32;19;88;0;0;2;2;32;137;572;0;0;2;2
PUZ029-1.C2i1_all_ld-1--1;_kmet2;2;DICF-PB-Star;0;1;1495;77;158;671;0;0;8;8;42;139;583;0;0;5;5;35;19;88;0;0;3;3;35;139;583;0;0;5;3
PUZ029-1.C2i1_all_ld-1--1;_kmet2;2;DICF-PB-Async;0;1;1543;75;156;660;0;0;5;6;43;137;572;0;0;3;4;32;19;88;0;0;2;2;32;137;572;0;0;2;2
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Star;0;1;1585;83;104;537;0;0;28;32;43;46;226;0;0;14;16;9;13;76;0;0;4;5;20;46;226;0;0;14;16
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Star-FixedRoot-1;0;1;1123;82;130;632;0;0;24;28;37;54;280;0;0;12;13;8;10;47;0;0;3;4;19;54;280;0;0;4;7
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Star-FixedRoot-2;0;1;1122;90;137;728;0;0;24;34;51;54;280;0;0;12;18;9;19;107;0;0;3;3;19;54;280;0;0;3;7
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Star-FixedRoot-3;0;1;1124;87;116;619;0;0;26;25;40;47;253;0;0;13;10;11;13;66;0;0;4;5;11;24;122;0;0;4;5
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Token;0;1;1125;88;112;580;0;0;26;31;47;42;199;0;0;7;9;12;21;123;0;0;6;7;15;42;199;0;0;7;9
PUZ029-1.C2i1_all_ld-1--1;_kmet4;4;DICF-PB-Async;0;1;1124;92;116;606;0;0;28;40;46;45;226;0;0;7;14;13;20;103;0;0;7;8;18;45;226;0;0;7;14
