problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,Mono,1,Solar+AC0-Carc,0,9,389,129,69,193,0,0,0,0,129,69,193,0,0,0,0,129,69,193,0,0,0,0,129,69,193,0,0,0,0
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,Mono,1,SOLAR+AC0-Inc,0,9,1531,523,69,222,0,0,0,0,523,69,222,0,0,0,0,523,69,222,0,0,0,0,523,69,222,0,0,0,0
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,9,1493,150,78,265,0,0,7,9,49,27,92,0,0,2,3,30,9,37,0,0,1,0,49,27,92,0,0,2,3
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,9,1615,146,93,341,0,0,16,30,85,42,168,0,0,8,15,18,9,37,0,0,2,3,85,42,168,0,0,8,15
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,9,1460,158,93,341,0,0,16,30,89,27,113,0,0,8,15,22,18,55,0,0,2,3,23,27,92,0,0,3,3
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,9,1455,165,90,326,0,0,18,30,87,30,116,0,0,9,18,25,9,37,0,0,3,3,27,27,92,0,0,3,3
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,9,1689,178,90,326,0,0,16,27,93,36,142,0,0,8,15,27,9,37,0,0,2,3,28,27,92,0,0,3,3
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,9,1823,187,132,538,0,0,16,87,74,42,168,0,0,5,27,28,24,113,0,0,3,18,74,42,168,0,0,5,27
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-0+AC0-3+AC0-2+AC0-1,0,9,1441,196,132,538,0,0,17,86,84,42,168,0,0,5,27,24,24,112,0,0,4,18,84,42,168,0,0,4,20
flat30+AC0-1+AF8-TPnaiveshortdist+AF8-per10+AF8-seuil1+AF8-all+AF8-ld5+AC0-2,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-0+AC0-3+AC0-2,0,9,1456,201,132,538,0,0,16,86,87,42,168,0,0,5,27,22,24,113,0,0,3,18,44,42,168,0,0,4,20
