problem;distrib;nbAg+;method;root;nbConsequencesFound;total time;CPU time by SOLAR;extensions;inferences;consequences sent;clauses sents;nb Messages;total size messages;max CPU time by SOLAR;max extensions;max inferences;max consequences sent;max clauses sents;max nb Messages;max total size messages;min CPU time by SOLAR;min extensions;min inferences;min consequences sent;min clauses sents;min nb Messages;min total size messages;root-CPU time by SOLAR;root-extensions;root-inferences;root-consequences sent;root-clauses sents;root-nb Messages;root-total size messages
PUZ018-1.C2i1_all_ld-1--1;Mono;1;SOLAR-Inc;0;2;105;88;2;14;0;0;0;0;88;2;14;0;0;0;0;88;2;14;0;0;0;0;88;2;14;0;0;0;0
PUZ018-1.C2i1_all_ld-1--1;Mono;1;Solar-Carc;0;2;89;78;2;14;0;0;0;0;78;2;14;0;0;0;0;78;2;14;0;0;0;0;78;2;14;0;0;0;0
PUZ018-1.C2i1_all_ld-1--1;Mono;1;Solar;0;2;76;68;2;14;0;0;0;0;68;2;14;0;0;0;0;68;2;14;0;0;0;0;68;2;14;0;0;0;0
PUZ018-1.C2i1_all_ld-1--1;Mono;1;SOLAR-Inc;0;2;149;87;2;14;0;0;0;0;87;2;14;0;0;0;0;87;2;14;0;0;0;0;87;2;14;0;0;0;0
PUZ018-1.C2i1_all_ld-1--1;Mono;1;Solar-Carc;0;2;99;88;2;14;0;0;0;0;88;2;14;0;0;0;0;88;2;14;0;0;0;0;88;2;14;0;0;0;0
PUZ018-1.C2i1_all_ld-1--1;Mono;1;Solar;0;2;148;88;2;14;0;0;0;0;88;2;14;0;0;0;0;88;2;14;0;0;0;0;88;2;14;0;0;0;0
PUZ018-1.C2i1_all_ld-1--1;Mono;1;SOLAR-Inc;0;2;149;87;2;14;0;0;0;0;87;2;14;0;0;0;0;87;2;14;0;0;0;0;87;2;14;0;0;0;0
PUZ018-1.C2i1_all_ld-1--1;Mono;1;Solar-Carc;0;2;156;96;2;14;0;0;0;0;96;2;14;0;0;0;0;96;2;14;0;0;0;0;96;2;14;0;0;0;0
PUZ018-1.C2i1_all_ld-1--1;Mono;1;Solar;0;2;149;90;2;14;0;0;0;0;90;2;14;0;0;0;0;90;2;14;0;0;0;0;90;2;14;0;0;0;0
PUZ018-1.C2i1_all_ld-1--1;Mono;1;SOLAR-Inc;0;2;152;89;2;14;0;0;0;0;89;2;14;0;0;0;0;89;2;14;0;0;0;0;89;2;14;0;0;0;0
PUZ018-1.C2i1_all_ld-1--1;Mono;1;Solar-Carc;0;2;149;89;2;14;0;0;0;0;89;2;14;0;0;0;0;89;2;14;0;0;0;0;89;2;14;0;0;0;0
