problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,Mono,1,Solar+AC0-Carc,0,1,413,45,36,124,0,0,0,0,45,36,124,0,0,0,0,45,36,124,0,0,0,0,45,36,124,0,0,0,0
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,Mono,1,SOLAR+AC0-Inc,0,1,419,44,36,124,0,0,0,0,44,36,124,0,0,0,0,44,36,124,0,0,0,0,44,36,124,0,0,0,0
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,1470,74,156,660,0,0,5,5,42,137,572,0,0,3,3,32,19,88,0,0,2,2,32,137,572,0,0,2,2
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,0,1496,79,158,671,0,0,7,7,43,139,583,0,0,4,5,36,19,88,0,0,3,2,36,139,583,0,0,4,2
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,0,1510,75,156,660,0,0,4,5,43,137,572,0,0,2,3,32,19,88,0,0,2,2,32,137,572,0,0,2,2
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,0,1532,87,104,537,0,0,27,31,44,46,226,0,0,13,15,9,13,76,0,0,4,5,22,46,226,0,0,13,15
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,1124,85,130,632,0,0,23,27,38,54,280,0,0,11,12,9,10,47,0,0,3,4,20,54,280,0,0,4,7
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,0,1121,92,137,728,0,0,23,33,51,54,280,0,0,11,17,10,19,107,0,0,3,3,19,54,280,0,0,3,7
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,0,1124,89,116,619,0,0,25,24,41,47,253,0,0,12,9,12,13,66,0,0,4,5,12,24,122,0,0,4,5
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token,0,0,1125,93,123,659,0,0,25,33,50,45,226,0,0,7,9,12,22,130,0,0,6,7,16,45,226,0,0,6,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Async,0,0,1122,90,121,624,0,0,26,37,45,45,226,0,0,7,14,13,20,103,0,0,6,7,16,45,226,0,0,7,14
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-2+AC0-1+AC0-0,0,0,1125,87,114,584,0,0,24,27,39,47,241,0,0,7,9,7,7,37,0,0,5,4,21,47,241,0,0,7,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-1+AC0-0+AC0-3,0,0,1123,87,141,693,0,0,21,26,39,65,295,0,0,6,9,6,7,37,0,0,5,4,22,56,295,0,0,6,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-0+AC0-3+AC0-2,0,0,1118,84,114,584,0,0,24,27,37,47,241,0,0,7,9,7,7,37,0,0,5,4,20,47,241,0,0,7,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-0+AC0-3+AC0-2+AC0-1,0,0,1120,83,114,584,0,0,23,27,37,47,241,0,0,7,9,7,7,37,0,0,5,4,20,47,241,0,0,7,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-2+AC0-3+AC0-0,0,0,1126,111,123,659,0,0,24,33,65,45,226,0,0,7,9,12,22,130,0,0,5,7,18,45,226,0,0,5,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-2+AC0-3+AC0-0+AC0-1,0,0,1124,94,123,659,0,0,23,33,50,45,226,0,0,7,9,12,22,130,0,0,5,7,17,45,226,0,0,5,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet4,4,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-0+AC0-1+AC0-2,0,0,1116,93,123,659,0,0,26,33,49,45,226,0,0,7,9,12,22,130,0,0,6,7,17,45,226,0,0,6,9
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star,0,0,1159,105,168,954,0,0,39,49,33,50,289,0,0,18,26,8,2,9,0,0,2,2,27,50,289,0,0,18,26
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,1159,117,195,1173,0,0,37,54,33,82,523,0,0,17,26,8,2,9,0,0,2,2,10,26,148,0,0,3,6
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-2,0,0,1161,108,165,940,0,0,37,49,33,57,331,0,0,17,24,9,2,9,0,0,2,2,15,35,205,0,0,4,6
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-3,0,0,1155,147,288,1720,0,0,43,71,70,74,491,0,0,20,40,11,27,160,0,0,4,5,17,39,229,0,0,4,8
PUZ029+AC0-1.C2i1+AF8-all+AF8-ld5+AC0ALQ-1,+AF8-kmet6,6,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-4,0,0,1160,96,156,868,0,0,33,36,33,62,330,0,0,15,14,5,2,9,0,0,2,2,10,25,139,0,0,3,5
