problem,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0-4,Mono,1,SOLAR+AC0-Inc,0,2,75,54,9,28,0,0,0,0,54,9,28,0,0,0,0,54,9,28,0,0,0,0,54,9,28,0,0,0,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0-4,Mono,1,Solar+AC0-Carc,0,2,70,55,9,28,0,0,0,0,55,9,28,0,0,0,0,55,9,28,0,0,0,0,55,9,28,0,0,0,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0-4,Mono,1,Solar,0,2,66,55,9,28,0,0,0,0,55,9,28,0,0,0,0,55,9,28,0,0,0,0,55,9,28,0,0,0,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star,0,0,600362,208,435,1950,0,0,4,44,154,425,1914,0,0,2,35,54,10,36,0,0,2,9,54,10,36,0,0,2,9
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet2,2,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,600484,375,434,1947,0,0,5,45,288,424,1911,0,0,3,35,87,10,36,0,0,2,10,87,10,36,0,0,2,10
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet2,2,DICF+AC0-PB+AC0-Async,0,2,600443,271,435,1950,0,0,6,48,188,425,1914,0,0,3,37,83,10,36,0,0,3,11,83,10,36,0,0,3,11
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet2,2,DICF+AC0-PB+AC0-NewAsync,0,2,1171,113,16,59,0,0,18,17,91,10,36,0,0,11,11,22,6,23,0,0,7,6,91,10,36,0,0,11,11
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star,0,6,1233,116,30,131,0,0,22,27,72,9,42,0,0,11,14,12,5,21,0,0,3,2,20,8,42,0,0,11,14
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-NewAsync,0,5,600379,104,17,68,0,0,15,14,79,9,33,0,0,8,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0
COM003+AC0-2.C2i1+AF8-all+AF8-ld+AC0-1+AC0-4,+AF8-kmet4,4,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,6,1250,113,24,99,0,0,20,18,74,10,45,0,0,10,11,0,0,0,0,0,2,0,0,0,0,0,0,2,0
